"Date","October-20-2023"
"Time","17h09m38s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [�]",0.000000e+00
"Number of Basic Periods",1
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",1.499999e-02
"Number of Measurements",1024
"Record Rate",8
"Record Time [s]",1.228799e+02
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [�]","Ellipticity [�]","Power Split Ratio","Phase Difference [�]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-7.957620e-01,5.545513e-01,2.433840e-01,7.256405e+01,7.043175e+00,1.021190e-01,2.369592e+01,4.151969e+00,-4.407929e+01,3.909044e-08,
1.199999e-01,1.240030e-01,9.232968e-01,3.635192e-01,4.117534e+01,1.065824e+01,5.620015e-01,2.149049e+01,3.234897e+00,-4.397637e+01,4.002791e-08,
2.399999e-01,-6.275678e-01,6.525978e-01,-4.245878e-01,6.693994e+01,-1.256229e+01,1.862161e-01,-3.304850e+01,1.526664e+00,-4.402035e+01,3.962463e-08,
3.599998e-01,-3.554190e-01,5.746127e-01,-7.372229e-01,6.086916e+01,-2.374769e+01,3.222905e-01,-5.206612e+01,1.787200e+00,-4.402137e+01,3.961530e-08,
4.799997e-01,-6.592748e-01,7.050694e-01,-2.612162e-01,6.653879e+01,-7.571119e+00,1.703626e-01,-2.032881e+01,9.979796e-01,-4.401946e+01,3.963270e-08,
5.999997e-01,-7.080339e-01,5.900389e-01,3.879975e-01,7.009696e+01,1.141498e+01,1.459830e-01,3.332810e+01,2.386651e+00,-4.400330e+01,3.978045e-08,
7.199996e-01,2.431279e-01,7.079116e-01,6.631365e-01,3.552264e+01,2.076976e+01,6.215639e-01,4.312953e+01,1.150180e+00,-4.395584e+01,4.021758e-08,
8.399996e-01,-5.192654e-01,6.225947e-01,-5.854395e-01,6.491463e+01,-1.791702e+01,2.403673e-01,-4.323832e+01,1.701076e+00,-4.400921e+01,3.972637e-08,
9.599995e-01,7.297105e-01,4.477828e-01,-5.167331e-01,1.576756e+01,-1.555668e+01,8.648553e-01,-4.908894e+01,1.735357e+00,-4.391134e+01,4.063178e-08,
1.079999e+00,-7.313614e-01,5.166170e-01,4.452162e-01,7.238174e+01,1.321859e+01,1.343193e-01,4.075449e+01,3.293472e+00,-4.408694e+01,3.902169e-08,
1.199999e+00,6.955018e-01,7.055313e-01,1.360252e-01,2.270508e+01,3.908954e+00,8.477509e-01,1.091263e+01,1.898881e+00,-4.394901e+01,4.028085e-08,
1.319999e+00,-3.609314e-01,9.168515e-01,1.706219e-01,5.574389e+01,4.911991e+00,3.195343e-01,1.054190e+01,1.263364e+00,-4.396691e+01,4.011524e-08,
1.439999e+00,-8.399980e-01,-1.610946e-01,-5.181234e-01,-8.457182e+01,-1.560323e+01,8.000098e-02,-1.072715e+02,2.859073e+00,-4.402697e+01,3.956428e-08,
1.559999e+00,2.040597e-03,7.696544e-01,-6.384574e-01,4.492405e+01,-1.983845e+01,5.010203e-01,-3.967699e+01,2.459491e+00,-4.394432e+01,4.032444e-08,
1.679999e+00,-4.070343e-01,8.872359e-01,2.171071e-01,5.732204e+01,6.269588e+00,2.964829e-01,1.375011e+01,2.371628e+00,-4.399479e+01,3.985848e-08,
1.799999e+00,-8.180440e-02,9.709120e-01,2.250288e-01,4.740805e+01,6.502287e+00,4.590978e-01,1.304908e+01,2.860043e+00,-4.398544e+01,3.994439e-08,
1.919999e+00,-7.908688e-01,5.965507e-01,-1.365792e-01,7.148641e+01,-3.924973e+00,1.045656e-01,-1.289551e+01,1.048269e+00,-4.398821e+01,3.991889e-08,
2.039999e+00,-8.695261e-01,-1.803097e-01,-4.597964e-01,-8.414243e+01,-1.368698e+01,6.523693e-02,-1.114127e+02,2.899288e+00,-4.404989e+01,3.935597e-08,
2.159999e+00,-5.223184e-01,8.151803e-01,-2.503291e-01,6.132465e+01,-7.248494e+00,2.388408e-01,-1.707090e+01,2.153372e+00,-4.399892e+01,3.982059e-08,
2.279999e+00,-9.647556e-01,2.155115e-01,1.510011e-01,8.370387e+01,4.342474e+00,1.762218e-02,3.501754e+01,2.004124e+00,-4.403265e+01,3.951256e-08,
2.399999e+00,-2.083425e-01,9.100100e-01,3.584345e-01,5.144768e+01,1.050204e+01,3.958288e-01,2.149848e+01,3.001632e+00,-4.403045e+01,3.953256e-08,
2.519999e+00,5.166086e-01,6.737030e-01,5.284315e-01,2.625915e+01,1.594977e+01,7.583043e-01,3.810953e+01,1.028687e+00,-4.392995e+01,4.045804e-08,
2.639999e+00,-7.950033e-01,1.100052e-02,-6.065054e-01,8.960362e+01,-1.866862e+01,1.024984e-01,-8.896091e+01,1.697575e+00,-4.400967e+01,3.972215e-08,
2.759999e+00,-7.724847e-01,4.907165e-01,-4.030690e-01,7.378724e+01,-1.188509e+01,1.137576e-01,-3.939930e+01,3.125902e+00,-4.401988e+01,3.962886e-08,
2.879998e+00,-5.459456e-01,4.975147e-02,-8.363421e-01,8.739654e+01,-2.837793e+01,2.270272e-01,-8.659566e+01,1.456821e+00,-4.400582e+01,3.975742e-08,
2.999998e+00,-8.960870e-01,-3.477584e-01,2.758481e-01,-7.939474e+01,8.006280e+00,5.195649e-02,1.415779e+02,1.572443e+00,-4.401500e+01,3.967346e-08,
3.119998e+00,-2.051861e-01,9.595233e-01,1.929087e-01,5.103522e+01,5.561290e+00,3.974069e-01,1.136757e+01,2.450562e+00,-4.399645e+01,3.984328e-08,
3.239998e+00,-8.249955e-01,5.408942e-01,1.637553e-01,7.337492e+01,4.712467e+00,8.750223e-02,1.684364e+01,5.352480e-01,-4.398794e+01,3.992140e-08,
3.359998e+00,-7.443221e-01,4.950222e-01,-4.482607e-01,7.318677e+01,-1.331607e+01,1.278389e-01,-4.216199e+01,2.334845e+00,-4.403989e+01,3.944672e-08,
3.479998e+00,3.132858e-01,5.835414e-01,-7.492205e-01,3.088499e+01,-2.426145e+01,6.566429e-01,-5.208624e+01,2.555168e+00,-4.392237e+01,4.052871e-08,
3.599998e+00,-9.625839e-01,2.455395e-01,1.146412e-01,8.284497e+01,3.291465e+00,1.870806e-02,2.502764e+01,2.448310e+00,-4.402651e+01,3.956846e-08,
3.719998e+00,-5.825407e-01,7.847396e-01,2.117311e-01,6.329392e+01,6.111908e+00,2.087297e-01,1.509946e+01,2.374095e+00,-4.400192e+01,3.979315e-08,
3.839998e+00,-7.930920e-01,6.026479e-01,8.843390e-02,7.138492e+01,2.536758e+00,1.034540e-01,8.348130e+00,1.048755e+00,-4.399185e+01,3.988551e-08,
3.959998e+00,-4.501316e-01,7.343079e-01,-5.081077e-01,6.075417e+01,-1.526893e+01,2.749342e-01,-3.468147e+01,1.277428e+00,-4.399106e+01,3.989271e-08,
4.079998e+00,-2.877315e-01,8.295842e-01,-4.785400e-01,5.456425e+01,-1.429505e+01,3.561342e-01,-2.997821e+01,3.017926e+00,-4.398929e+01,3.990900e-08,
4.199998e+00,-8.956765e-01,5.472638e-02,4.413260e-01,8.825177e+01,1.309426e+01,5.216175e-02,8.293116e+01,1.762296e+00,-4.404384e+01,3.941091e-08,
4.319998e+00,8.169375e-02,8.998049e-01,4.285759e-01,4.240615e+01,1.268861e+01,5.408469e-01,2.546840e+01,2.060457e+00,-4.394201e+01,4.034583e-08,
4.439998e+00,-6.287982e-01,3.021966e-01,-7.164427e-01,7.716567e+01,-2.288078e+01,1.856009e-01,-6.712991e+01,1.376324e+00,-4.400547e+01,3.976059e-08,
4.559998e+00,-5.162735e-01,6.563746e-01,-5.501219e-01,6.409347e+01,-1.668769e+01,2.418632e-01,-3.996711e+01,3.674830e+00,-4.402080e+01,3.962046e-08,
4.679998e+00,-9.672466e-01,2.092318e-01,-1.437222e-01,8.389701e+01,-4.131646e+00,1.637670e-02,-3.448534e+01,1.733083e+00,-4.403133e+01,3.952452e-08,
4.799997e+00,-7.727387e-01,5.409932e-01,3.319657e-01,7.250210e+01,9.694065e+00,1.136306e-01,3.153423e+01,3.381225e+00,-4.402034e+01,3.962473e-08,
4.919997e+00,-1.599924e-01,9.600673e-01,2.295064e-01,4.973061e+01,6.634007e+00,4.200038e-01,1.344439e+01,3.111486e+00,-4.398515e+01,3.994712e-08,
5.039997e+00,7.940530e-01,5.122291e-01,-3.272632e-01,1.641266e+01,-9.551373e+00,8.970265e-01,-3.257451e+01,1.994217e-01,-4.396555e+01,4.012781e-08,
5.159997e+00,-7.946572e-01,5.110593e-01,-3.276252e-01,7.362708e+01,-9.562348e+00,1.026714e-01,-3.266274e+01,2.708663e+00,-4.404395e+01,3.940985e-08,
5.279997e+00,-7.935534e-01,4.412623e-01,-4.189995e-01,7.546169e+01,-1.238572e+01,1.032233e-01,-4.351757e+01,3.291237e+00,-4.407180e+01,3.915792e-08,
5.399997e+00,-9.339592e-01,-2.367311e-01,2.677286e-01,-8.288838e+01,7.764575e+00,3.302040e-02,1.314838e+02,1.503897e+00,-4.401095e+01,3.971046e-08,
5.519997e+00,-6.054126e-01,7.667368e-01,2.135189e-01,6.414725e+01,6.164324e+00,1.972937e-01,1.556132e+01,3.869420e+00,-4.402983e+01,3.953819e-08,
5.639997e+00,3.734305e-01,-7.776595e-01,5.057621e-01,-3.217489e+01,1.519098e+01,6.867153e-01,1.469615e+02,8.161861e-01,-4.398584e+01,3.994075e-08,
5.759997e+00,-6.132132e-01,-1.910353e-01,-7.664692e-01,-8.134827e+01,-2.501894e+01,1.933934e-01,-1.039953e+02,1.521260e+00,-4.398531e+01,3.994564e-08,
5.879997e+00,-4.632124e-01,6.869978e-01,-5.598824e-01,6.199503e+01,-1.702383e+01,2.683938e-01,-3.917899e+01,2.873080e+00,-4.400796e+01,3.973778e-08,
5.999997e+00,-8.149508e-01,5.730088e-01,8.669607e-02,7.244408e+01,2.486781e+00,9.252462e-02,8.603582e+00,2.701983e+00,-4.401697e+01,3.965543e-08,
6.119997e+00,5.805625e-02,9.675456e-01,2.459371e-01,4.328308e+01,7.118611e+00,5.290281e-01,1.426178e+01,2.262151e+00,-4.396917e+01,4.009437e-08,
6.239997e+00,-1.579960e-01,-1.283010e-01,-9.790690e-01,-7.046079e+01,-3.912831e+01,4.210020e-01,-9.746572e+01,8.783956e-01,-4.395188e+01,4.025425e-08,
6.359997e+00,2.808059e-01,8.644697e-01,-4.169415e-01,3.600232e+01,-1.232082e+01,6.404029e-01,-2.574843e+01,3.024541e+00,-4.392336e+01,4.051951e-08,
6.479997e+00,-8.584869e-01,3.512977e-01,3.736176e-01,7.887267e+01,1.096945e+01,7.075653e-02,4.676356e+01,3.586050e+00,-4.404358e+01,3.941321e-08,
6.599996e+00,1.536567e-03,9.770053e-01,2.132094e-01,4.495494e+01,6.155249e+00,5.007683e-01,1.231051e+01,2.361038e+00,-4.396745e+01,4.011018e-08,
6.719996e+00,-9.842299e-01,5.436910e-02,-1.683318e-01,8.841909e+01,-4.845419e+00,7.885070e-03,-7.210018e+01,1.731258e+00,-4.396971e+01,4.008934e-08,
6.839996e+00,-6.856898e-01,5.562752e-01,-4.694545e-01,7.047442e+01,-1.399945e+01,1.571551e-01,-4.016185e+01,3.619169e+00,-4.402585e+01,3.957444e-08,
6.959996e+00,-4.132232e-01,4.367255e-01,-7.990729e-01,6.670805e+01,-2.652083e+01,2.933884e-01,-6.134162e+01,1.057098e+00,-4.395990e+01,4.018003e-08,
7.079996e+00,-6.484633e-01,7.055381e-01,2.858519e-01,6.629313e+01,8.304888e+00,1.757683e-01,2.205555e+01,3.743047e+00,-4.404194e+01,3.942810e-08,
7.199996e+00,-1.586406e-02,9.957620e-01,9.058896e-02,4.545637e+01,2.598745e+00,4.920680e-01,5.198147e+00,2.982829e+00,-4.393411e+01,4.041934e-08,
7.319996e+00,-9.289812e-01,-1.377154e-01,-3.435525e-01,-8.578384e+01,-1.004673e+01,3.550938e-02,-1.118437e+02,1.921521e+00,-4.398780e+01,3.992274e-08,
7.439996e+00,-2.228053e-01,7.436028e-01,-6.304068e-01,5.333988e+01,-1.954007e+01,3.885974e-01,-4.029040e+01,3.175952e+00,-4.399042e+01,3.989862e-08,
7.559996e+00,-5.413128e-01,6.378890e-01,-5.477937e-01,6.515897e+01,-1.660789e+01,2.293436e-01,-4.065467e+01,8.812376e-01,-4.394674e+01,4.030197e-08,
7.679996e+00,-8.269677e-01,3.951927e-01,3.999339e-01,7.722886e+01,1.178702e+01,8.651615e-02,4.534164e+01,2.194746e+00,-4.402467e+01,3.958525e-08,
7.799996e+00,-1.262928e-02,8.918539e-01,4.521472e-01,4.540565e+01,1.344077e+01,4.936854e-01,2.688385e+01,2.056502e+00,-4.393903e+01,4.037360e-08,
7.919996e+00,7.079020e-02,8.343694e-01,5.466411e-01,4.257524e+01,1.656844e+01,5.353951e-01,3.323100e+01,1.342464e-01,-4.395127e+01,4.025994e-08,
8.039996e+00,-4.909659e-01,5.114842e-01,-7.052209e-01,6.691371e+01,-2.242369e+01,2.545171e-01,-5.404729e+01,1.985476e+00,-4.398053e+01,3.998957e-08,
8.159996e+00,3.056882e-01,8.949555e-01,-3.249759e-01,3.557074e+01,-9.482058e+00,6.528441e-01,-1.995695e+01,1.626058e+00,-4.393304e+01,4.042927e-08,
8.279996e+00,-9.722725e-01,-1.793458e-01,-1.500708e-01,-8.477434e+01,-4.315515e+00,1.386375e-02,-1.400785e+02,1.036677e+00,-4.399010e+01,3.990161e-08,
8.399996e+00,-9.120284e-01,2.234230e-01,3.439278e-01,8.311756e+01,1.005818e+01,4.398578e-02,5.699137e+01,3.098075e+00,-4.403441e+01,3.949657e-08,
8.519995e+00,-4.878609e-01,-8.622693e-01,-1.359539e-01,-5.975031e+01,-3.906893e+00,2.560695e-01,-1.710399e+02,6.976876e-01,-4.398948e+01,3.990731e-08,
8.639995e+00,7.445811e-03,8.876648e-01,-4.604300e-01,4.475970e+01,-1.370743e+01,5.037229e-01,-2.741568e+01,2.610888e+00,-4.397602e+01,4.003110e-08,
8.759995e+00,-9.805419e-01,-1.130891e-01,1.604634e-01,-8.671048e+01,4.616898e+00,9.729066e-03,1.251749e+02,1.659482e+00,-4.401750e+01,3.965058e-08,
