"Date","October-20-2023"
"Time","17h23m38s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",1
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",1.499999e-02
"Number of Measurements",1024
"Record Rate",8
"Record Time [s]",1.228799e+02
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-4.767230e-01,8.646968e-01,-1.582231e-01,5.943437e+01,-4.551886e+00,2.616385e-01,-1.036932e+01,1.346863e+00,-2.124184e+01,7.513046e-06,
1.199999e-01,-4.682988e-01,8.726425e-01,-1.385329e-01,5.910999e+01,-3.981480e+00,2.658506e-01,-9.020488e+00,1.369018e+00,-2.124362e+01,7.509970e-06,
2.399999e-01,-4.800274e-01,8.635899e-01,-1.542279e-01,5.953377e+01,-4.436008e+00,2.599863e-01,-1.012566e+01,1.349941e+00,-2.124261e+01,7.511721e-06,
3.599998e-01,-4.740075e-01,8.674967e-01,-1.508851e-01,5.932628e+01,-4.339113e+00,2.629962e-01,-9.866842e+00,1.355921e+00,-2.124234e+01,7.512180e-06,
4.799997e-01,-4.755534e-01,8.660155e-01,-1.544865e-01,5.938621e+01,-4.443508e+00,2.622233e-01,-1.011447e+01,1.344656e+00,-2.124314e+01,7.510796e-06,
5.999997e-01,-4.817576e-01,8.609950e-01,-1.630866e-01,5.961429e+01,-4.693048e+00,2.591212e-01,-1.072569e+01,1.341325e+00,-2.124456e+01,7.508339e-06,
7.199996e-01,-4.745030e-01,8.662627e-01,-1.563193e-01,5.935606e+01,-4.496659e+00,2.627485e-01,-1.022908e+01,1.360780e+00,-2.124469e+01,7.508115e-06,
8.399996e-01,-4.727551e-01,8.670503e-01,-1.572462e-01,5.930061e+01,-4.523545e+00,2.636224e-01,-1.027930e+01,1.346416e+00,-2.124483e+01,7.507876e-06,
9.599995e-01,-4.804879e-01,8.637809e-01,-1.517037e-01,5.954275e+01,-4.362834e+00,2.597561e-01,-9.961125e+00,1.347282e+00,-2.124549e+01,7.506735e-06,
1.079999e+00,-4.724773e-01,8.684031e-01,-1.504697e-01,5.927478e+01,-4.327075e+00,2.637613e-01,-9.830139e+00,1.360170e+00,-2.124599e+01,7.505877e-06,
1.199999e+00,-4.784392e-01,8.642980e-01,-1.551932e-01,5.948354e+01,-4.464002e+00,2.607804e-01,-1.017955e+01,1.350680e+00,-2.124613e+01,7.505628e-06,
1.319999e+00,-4.715541e-01,8.691475e-01,-1.490615e-01,5.924097e+01,-4.286271e+00,2.642229e-01,-9.731725e+00,1.357698e+00,-2.124654e+01,7.504922e-06,
1.439999e+00,-4.779756e-01,8.651792e-01,-1.516718e-01,5.945942e+01,-4.361910e+00,2.610122e-01,-9.943300e+00,1.353744e+00,-2.124777e+01,7.502795e-06,
1.559999e+00,-4.823467e-01,8.625788e-01,-1.526417e-01,5.960677e+01,-4.390024e+00,2.588267e-01,-1.003516e+01,1.356139e+00,-2.124760e+01,7.503095e-06,
1.679999e+00,-4.750016e-01,8.662520e-01,-1.548580e-01,5.936889e+01,-4.454282e+00,2.624992e-01,-1.013558e+01,1.355000e+00,-2.124782e+01,7.502705e-06,
1.799999e+00,-4.792076e-01,8.627593e-01,-1.612650e-01,5.952468e+01,-4.640164e+00,2.603962e-01,-1.058742e+01,1.357715e+00,-2.124796e+01,7.502462e-06,
1.919999e+00,-4.762561e-01,8.662361e-01,-1.510470e-01,5.940099e+01,-4.343804e+00,2.618719e-01,-9.891310e+00,1.353461e+00,-2.124751e+01,7.503244e-06,
2.039999e+00,-4.819659e-01,8.602155e-01,-1.665478e-01,5.963063e+01,-4.793581e+00,2.590170e-01,-1.095756e+01,1.337973e+00,-2.124942e+01,7.499938e-06,
2.159999e+00,-4.634546e-01,8.764399e-01,-1.306256e-01,5.893477e+01,-3.752873e+00,2.682727e-01,-8.477029e+00,1.380495e+00,-2.124970e+01,7.499465e-06,
2.279999e+00,-4.773801e-01,8.662280e-01,-1.475032e-01,5.942963e+01,-4.241129e+00,2.613099e-01,-9.663756e+00,1.356499e+00,-2.125036e+01,7.498328e-06,
2.399999e+00,-4.844550e-01,8.602007e-01,-1.592426e-01,5.969385e+01,-4.581468e+00,2.577725e-01,-1.048801e+01,1.353805e+00,-2.125031e+01,7.498408e-06,
2.519999e+00,-4.703495e-01,8.635084e-01,-1.820017e-01,5.928848e+01,-5.243187e+00,2.648252e-01,-1.190203e+01,1.350522e+00,-2.124971e+01,7.499443e-06,
2.639999e+00,-4.793218e-01,8.629949e-01,-1.596570e-01,5.952426e+01,-4.593494e+00,2.603391e-01,-1.048141e+01,1.341433e+00,-2.124959e+01,7.499648e-06,
