"Date","March-30-2023"
"Time","00h27m48s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",1.000000e+02
"Power Range [dBm]","Auto"
"Azimuth Offset [�]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.000000e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",2.048000e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [�]","Ellipticity [�]","Power Split Ratio","Phase Difference [�]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-6.257665e-02,-3.541292e-02,9.974117e-01,-7.524696e+01,4.293838e+01,4.687117e-01,9.203342e+01,6.165071e-01,-2.582254e+01,2.616655e-06,
2.000000e-02,-9.472396e-02,-4.737508e-01,8.755498e-01,-5.065344e+01,3.055506e+01,4.526380e-01,1.184174e+02,6.695254e-01,-2.582376e+01,2.615916e-06,
4.000000e-02,-1.631455e-01,-3.239321e-03,9.865967e-01,-8.943126e+01,4.030431e+01,4.184272e-01,9.018812e+01,5.154969e-01,-2.582401e+01,2.615768e-06,
6.000000e-02,1.635839e-01,1.214587e-01,9.790240e-01,1.829668e+01,3.912199e+01,5.817920e-01,8.292796e+01,6.702309e-01,-2.582006e+01,2.618149e-06,
8.000000e-02,1.971034e-02,-8.526415e-02,9.961634e-01,-3.849185e+01,4.248973e+01,5.098552e-01,9.489217e+01,6.866232e-01,-2.581889e+01,2.618853e-06,
1.000000e-01,-1.841144e-01,-3.055565e-01,9.342040e-01,-6.053563e+01,3.454996e+01,4.079428e-01,1.081117e+02,6.370787e-01,-2.582238e+01,2.616752e-06,
1.200000e-01,3.337421e-01,-4.487727e-01,8.289869e-01,-2.668133e+01,2.799740e+01,6.668710e-01,1.184289e+02,6.885602e-01,-2.581303e+01,2.622389e-06,
1.400000e-01,-7.416678e-02,-2.673609e-01,9.607380e-01,-5.275209e+01,3.694575e+01,4.629166e-01,1.055512e+02,5.599216e-01,-2.582349e+01,2.616081e-06,
1.600000e-01,-1.767988e-01,-3.117271e-01,9.335783e-01,-5.978006e+01,3.449983e+01,4.116006e-01,1.084645e+02,7.257556e-01,-2.582449e+01,2.615480e-06,
1.800000e-01,9.269737e-02,-6.137686e-02,9.938008e-01,-1.675469e+01,4.180847e+01,5.463487e-01,9.353408e+01,6.979448e-01,-2.581868e+01,2.618980e-06,
2.000000e-01,-3.493779e-02,-3.271426e-01,9.443289e-01,-4.804795e+01,3.539587e+01,4.825311e-01,1.091076e+02,6.343632e-01,-2.582186e+01,2.617061e-06,
2.200000e-01,-1.976621e-02,-4.052651e-01,9.139855e-01,-4.639615e+01,3.303103e+01,4.901169e-01,1.139127e+02,6.381019e-01,-2.582007e+01,2.618140e-06,
2.400000e-01,4.379404e-03,-2.082315e-01,9.780698e-01,-4.439758e+01,3.898928e+01,5.021897e-01,1.020189e+02,5.667369e-01,-2.582084e+01,2.617674e-06,
2.600000e-01,-1.448808e-01,8.911333e-02,9.854280e-01,7.420258e+01,4.010339e+01,4.275596e-01,8.483274e+01,6.559176e-01,-2.582354e+01,2.616051e-06,
2.800000e-01,8.436216e-02,4.922594e-02,9.952185e-01,1.513194e+01,4.219738e+01,5.421811e-01,8.716832e+01,7.063608e-01,-2.581911e+01,2.618719e-06,
3.000000e-01,-4.596722e-02,-3.738848e-01,9.263353e-01,-4.850452e+01,3.393529e+01,4.770164e-01,1.119798e+02,6.306419e-01,-2.582019e+01,2.618071e-06,
3.200000e-01,9.731740e-03,-4.506742e-01,8.926354e-01,-4.438148e+01,3.160315e+01,5.048659e-01,1.167883e+02,6.532075e-01,-2.581926e+01,2.618628e-06,
3.400000e-01,-3.883085e-01,-2.039263e-01,8.986827e-01,-7.614655e+01,3.199272e+01,3.058457e-01,1.027849e+02,5.901587e-01,-2.582605e+01,2.614537e-06,
3.600000e-01,-8.475310e-02,-9.314816e-02,9.920385e-01,-6.614912e+01,4.138262e+01,4.576234e-01,9.536410e+01,6.739095e-01,-2.582187e+01,2.617053e-06,
3.800000e-01,1.776747e-01,6.363396e-02,9.820297e-01,9.852460e+00,3.956077e+01,5.888373e-01,8.629251e+01,6.904825e-01,-2.581584e+01,2.620690e-06,
4.000000e-01,1.855258e-01,-2.712747e-02,9.822649e-01,-4.159402e+00,3.959658e+01,5.927629e-01,9.158195e+01,6.275210e-01,-2.581446e+01,2.621525e-06,
4.200000e-01,-4.438192e-02,-4.920019e-01,8.694621e-01,-4.757726e+01,3.019810e+01,4.778090e-01,1.195042e+02,6.208981e-01,-2.581964e+01,2.618401e-06,
4.400000e-01,9.300841e-02,-8.306729e-02,9.921942e-01,-2.088427e+01,4.141821e+01,5.465042e-01,9.478569e+01,5.680556e-01,-2.581858e+01,2.619037e-06,
4.600000e-01,-1.158651e-01,-1.471501e-02,9.931560e-01,-8.638106e+01,4.164639e+01,4.420674e-01,9.084886e+01,6.969269e-01,-2.582202e+01,2.616967e-06,
4.800000e-01,1.525700e-01,2.770058e-02,9.879044e-01,5.145257e+00,4.053974e+01,5.762850e-01,8.839386e+01,6.858380e-01,-2.581437e+01,2.621578e-06,
5.000000e-01,1.043646e-01,-1.101114e-01,9.884248e-01,-2.326742e+01,4.063693e+01,5.521823e-01,9.635659e+01,5.991502e-01,-2.581560e+01,2.620834e-06,
5.200000e-01,-2.556011e-01,-4.064651e-01,8.771854e-01,-6.108164e+01,3.065234e+01,3.721994e-01,1.148618e+02,6.212565e-01,-2.582352e+01,2.616061e-06,
5.400000e-01,4.168636e-02,-3.142729e-01,9.484170e-01,-4.122209e+01,3.575843e+01,5.208432e-01,1.083334e+02,5.779341e-01,-2.582004e+01,2.618160e-06,
5.600000e-01,-8.962963e-02,-1.030102e-01,9.906339e-01,-6.551334e+01,4.107601e+01,4.551852e-01,9.593652e+01,6.729468e-01,-2.582126e+01,2.617426e-06,
5.800000e-01,-9.151495e-03,-2.115298e-01,9.773287e-01,-4.623863e+01,3.888819e+01,4.954243e-01,1.022125e+02,6.863425e-01,-2.581983e+01,2.618286e-06,
6.000000e-01,8.633234e-02,-1.706720e-01,9.815385e-01,-3.158400e+01,3.948670e+01,5.431662e-01,9.986409e+01,6.304602e-01,-2.581677e+01,2.620130e-06,
6.200000e-01,-1.797732e-01,-4.546445e-01,8.723417e-01,-5.578729e+01,3.036595e+01,4.101134e-01,1.175275e+02,6.099586e-01,-2.582156e+01,2.617242e-06,
6.400000e-01,1.121148e-01,-4.148456e-01,9.029581e-01,-3.743836e+01,3.227483e+01,5.560574e-01,1.146754e+02,6.416632e-01,-2.581850e+01,2.619088e-06,
6.600000e-01,-1.082946e-01,-7.544651e-02,9.912518e-01,-7.256796e+01,4.120786e+01,4.458527e-01,9.435252e+01,6.838444e-01,-2.582227e+01,2.616817e-06,
6.800000e-01,-1.537918e-01,-1.207571e-01,9.806966e-01,-7.093053e+01,3.936199e+01,4.231041e-01,9.701972e+01,7.052414e-01,-2.582124e+01,2.617433e-06,
7.000000e-01,1.667442e-01,1.291400e-01,9.775066e-01,1.887853e+01,3.891232e+01,5.833721e-01,8.247414e+01,6.035380e-01,-2.581535e+01,2.620987e-06,
7.200000e-01,-2.118264e-01,-1.623942e-01,9.637207e-01,-7.126243e+01,3.725969e+01,3.940868e-01,9.956491e+01,5.990228e-01,-2.582169e+01,2.617165e-06,
7.400000e-01,-2.954818e-01,1.686481e-01,9.403448e-01,7.514208e+01,3.505477e+01,3.522591e-01,7.983227e+01,5.953947e-01,-2.582384e+01,2.615867e-06,
7.600000e-01,-2.124143e-01,7.654997e-04,9.771794e-01,8.989676e+01,3.886802e+01,3.937929e-01,8.995512e+01,7.661163e-01,-2.582381e+01,2.615887e-06,
7.800000e-01,2.874171e-01,-2.100417e-01,9.344913e-01,-1.807949e+01,3.457306e+01,6.437085e-01,1.026676e+02,7.422403e-01,-2.581245e+01,2.622740e-06,
8.000000e-01,6.239740e-02,6.356290e-02,9.960253e-01,2.276507e+01,4.244491e+01,5.311987e-01,8.634853e+01,5.957652e-01,-2.581548e+01,2.620907e-06,
8.200000e-01,-1.041271e-01,-4.327572e-01,8.954768e-01,-5.176448e+01,3.178487e+01,4.479364e-01,1.157931e+02,6.284888e-01,-2.582007e+01,2.618140e-06,
8.400000e-01,-8.350511e-02,-1.348725e-01,9.873380e-01,-6.088168e+01,4.043629e+01,4.582474e-01,9.777858e+01,5.303537e-01,-2.582050e+01,2.617882e-06,
8.600000e-01,-1.577778e-01,-1.006025e-01,9.823367e-01,-7.373877e+01,3.960756e+01,4.211111e-01,9.584736e+01,7.039486e-01,-2.582394e+01,2.615807e-06,
8.800000e-01,1.311561e-01,-1.996941e-02,9.911606e-01,-4.328592e+00,4.118811e+01,5.655780e-01,9.115421e+01,7.002609e-01,-2.581775e+01,2.619538e-06,
9.000000e-01,-2.197625e-01,-7.048172e-02,9.730040e-01,-8.110902e+01,3.832826e+01,3.901188e-01,9.414311e+01,6.080888e-01,-2.582193e+01,2.617019e-06,
9.200000e-01,1.419076e-02,-3.156867e-01,9.487574e-01,-4.371309e+01,3.578924e+01,5.070954e-01,1.084042e+02,6.286690e-01,-2.582079e+01,2.617708e-06,
9.400000e-01,-6.973900e-02,-2.772034e-01,9.582770e-01,-5.206072e+01,3.669543e+01,4.651305e-01,1.061337e+02,5.891036e-01,-2.582149e+01,2.617288e-06,
9.600000e-01,-9.808313e-02,-2.162829e-05,9.951782e-01,-8.999368e+01,4.218560e+01,4.509584e-01,9.000125e+01,6.968001e-01,-2.582264e+01,2.616593e-06,
9.800000e-01,8.686118e-02,-2.310517e-02,9.959525e-01,-7.447906e+00,4.242160e+01,5.434306e-01,9.132897e+01,7.139559e-01,-2.581830e+01,2.619207e-06,
1.000000e+00,4.608596e-02,-1.484954e-01,9.878387e-01,-3.637906e+01,4.052761e+01,5.230430e-01,9.854889e+01,6.149368e-01,-2.581842e+01,2.619135e-06,
1.020000e+00,-1.014602e-01,-1.204093e-01,9.875259e-01,-6.505921e+01,4.047035e+01,4.492699e-01,9.695177e+01,5.425024e-01,-2.582216e+01,2.616882e-06,
1.040000e+00,-3.975058e-02,-2.979964e-01,9.537390e-01,-4.879900e+01,3.625210e+01,4.801247e-01,1.073515e+02,6.007384e-01,-2.582174e+01,2.617134e-06,
1.060000e+00,1.268820e-03,1.765477e-02,9.998433e-01,4.294466e+01,4.449290e+01,5.006344e-01,8.898840e+01,7.178423e-01,-2.582068e+01,2.617773e-06,
1.080000e+00,1.138865e-01,-3.427053e-01,9.325143e-01,-3.580876e+01,3.441510e+01,5.569432e-01,1.101787e+02,7.015880e-01,-2.581843e+01,2.619130e-06,
1.100000e+00,1.285755e-01,-2.516465e-01,9.592405e-01,-3.146791e+01,3.679255e+01,5.642878e-01,1.046997e+02,6.280227e-01,-2.581699e+01,2.620001e-06,
1.120000e+00,-4.032908e-02,-3.150559e-01,9.482159e-01,-4.864727e+01,3.574027e+01,4.798355e-01,1.083797e+02,6.032050e-01,-2.581921e+01,2.618662e-06,
1.140000e+00,6.524756e-02,-6.802005e-02,9.955481e-01,-2.309590e+01,4.229578e+01,5.326238e-01,9.390862e+01,5.487426e-01,-2.582052e+01,2.617872e-06,
1.160000e+00,-6.718997e-02,-3.243233e-01,9.435570e-01,-5.085219e+01,3.532888e+01,4.664050e-01,1.089691e+02,7.292344e-01,-2.582176e+01,2.617120e-06,
1.180000e+00,4.581547e-02,-8.509715e-02,9.953188e-01,-3.085121e+01,4.222695e+01,5.229077e-01,9.488676e+01,6.417440e-01,-2.581831e+01,2.619202e-06,
1.200000e+00,-1.492091e-01,-5.084705e-02,9.874974e-01,-8.059103e+01,4.046518e+01,4.253954e-01,9.294760e+01,6.272099e-01,-2.582019e+01,2.618069e-06,
1.220000e+00,-5.024024e-01,-2.429798e-01,8.297907e-01,-7.709496e+01,2.803862e+01,2.487988e-01,1.063211e+02,6.347293e-01,-2.582848e+01,2.613078e-06,
