Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2025-08-15
Time (HH:MM:SS):	15:21:33
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	5000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           43 	
        2	           33 	
        3	           37 	
        4	           43 	
        5	           42 	
        6	           39 	
        7	           45 	
        8	           35 	
        9	           40 	
       10	           33 	
       11	           44 	
       12	           44 	
       13	           44 	
       14	           27 	
       15	           43 	
       16	           40 	
       17	           38 	
       18	           44 	
       19	           31 	
       20	           42 	
       21	           52 	
       22	           45 	
       23	           43 	
       24	           34 	
       25	           35 	
       26	           36 	
       27	           35 	
       28	           51 	
       29	           26 	
       30	           33 	
       31	           36 	
       32	           34 	
       33	           31 	
       34	           40 	
       35	           39 	
       36	           34 	
       37	           41 	
       38	           38 	
       39	           39 	
       40	           40 	
       41	           42 	
       42	           34 	
       43	           37 	
       44	           43 	
       45	           57 	
       46	           54 	
       47	           43 	
       48	           32 	
       49	           48 	
       50	           41 	
       51	           38 	
       52	           30 	
       53	           38 	
       54	           29 	
       55	           36 	
       56	           44 	
       57	           41 	
       58	           41 	
       59	           37 	
       60	           31 	
       61	           40 	
       62	           49 	
       63	           44 	
       64	           48 	
       65	           44 	
       66	           41 	
       67	           47 	
       68	           59 	
       69	           51 	
       70	           37 	
       71	           42 	
       72	           37 	
       73	           37 	
       74	           35 	
       75	           41 	
       76	           39 	
       77	           38 	
       78	           56 	
       79	           47 	
       80	           39 	
       81	           43 	
       82	           37 	
       83	           37 	
       84	           43 	
       85	           33 	
       86	           44 	
       87	           35 	
       88	           39 	
       89	           38 	
       90	           46 	
       91	           38 	
       92	           47 	
       93	           30 	
       94	           28 	
       95	           43 	
       96	           50 	
       97	           34 	
       98	           44 	
       99	           25 	
      100	           41 	
      101	           55 	
      102	           44 	
      103	           47 	
      104	           46 	
      105	           40 	
      106	           30 	
      107	           51 	
      108	           29 	
      109	           37 	
      110	           31 	
      111	           43 	
      112	           33 	
      113	           43 	
      114	           46 	
      115	           36 	
      116	           27 	
      117	           38 	
      118	           33 	
      119	           47 	
      120	           29 	
      121	           44 	
      122	           54 	
      123	           42 	
      124	           44 	
      125	           40 	
      126	           35 	
      127	           43 	
      128	           37 	
      129	           44 	
      130	           50 	
      131	           39 	
      132	           41 	
      133	           34 	
      134	           32 	
      135	           42 	
      136	           38 	
      137	           31 	
      138	           38 	
      139	           41 	
      140	           39 	
      141	           35 	
      142	           45 	
      143	           37 	
      144	           39 	
      145	           32 	
      146	           54 	
      147	           34 	
      148	           33 	
      149	           34 	
      150	           31 	
      151	           36 	
      152	           31 	
      153	           35 	
      154	           37 	
      155	           44 	
      156	           48 	
      157	           42 	
      158	           38 	
      159	           44 	
      160	           45 	
      161	           44 	
      162	           38 	
      163	           47 	
      164	           42 	
      165	           38 	
      166	           45 	
      167	           48 	
      168	           36 	
      169	           36 	
      170	           46 	
      171	           41 	
      172	           33 	
      173	           40 	
      174	           31 	
      175	           41 	
      176	           35 	
      177	           38 	
      178	           42 	
      179	           46 	
      180	           46 	
