"Date","August-15-2025"
"Time","20h54m26s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,9.999779e-01,-6.524653e-03,1.305028e-03,-1.869190e-01,3.738631e-02,9.999889e-01,1.686892e+02,9.999510e+01,-2.993684e+01,1.014649e-06,
2.999998e-02,9.999854e-01,-5.334015e-03,9.161765e-04,-1.528091e-01,2.624653e-02,9.999927e-01,1.702539e+02,9.999913e+01,-2.993763e+01,1.014464e-06,
5.999997e-02,9.999890e-01,-4.653515e-03,6.281171e-04,-1.333139e-01,1.799423e-02,9.999945e-01,1.723129e+02,9.999705e+01,-2.993749e+01,1.014497e-06,
8.999995e-02,9.999870e-01,-4.940867e-03,1.252477e-03,-1.415461e-01,3.588083e-02,9.999935e-01,1.657755e+02,9.999872e+01,-2.993666e+01,1.014691e-06,
1.199999e-01,9.999885e-01,-4.651605e-03,1.130494e-03,-1.332592e-01,3.238629e-02,9.999943e-01,1.663401e+02,9.999236e+01,-2.993788e+01,1.014407e-06,
1.499999e-01,9.999854e-01,-5.366680e-03,6.421838e-04,-1.537448e-01,1.839721e-02,9.999927e-01,1.731764e+02,1.000005e+02,-2.993750e+01,1.014496e-06,
1.799999e-01,9.999853e-01,-5.333300e-03,1.011564e-03,-1.527886e-01,2.897919e-02,9.999926e-01,1.692603e+02,9.999593e+01,-2.993655e+01,1.014717e-06,
2.099999e-01,9.999864e-01,-5.052445e-03,1.275414e-03,-1.447426e-01,3.653793e-02,9.999932e-01,1.658325e+02,1.000000e+02,-2.993781e+01,1.014424e-06,
2.399999e-01,9.999868e-01,-5.072236e-03,8.467490e-04,-1.453095e-01,2.425757e-02,9.999934e-01,1.705226e+02,9.999450e+01,-2.993760e+01,1.014472e-06,
2.699999e-01,9.999879e-01,-4.879120e-03,6.835731e-04,-1.397771e-01,1.958293e-02,9.999939e-01,1.720247e+02,1.000006e+02,-2.993766e+01,1.014457e-06,
2.999998e-01,9.999874e-01,-4.847169e-03,1.313168e-03,-1.388618e-01,3.761950e-02,9.999937e-01,1.648416e+02,1.000043e+02,-2.993649e+01,1.014732e-06,
3.299998e-01,9.999786e-01,-6.458138e-03,1.062560e-03,-1.850134e-01,3.044011e-02,9.999893e-01,1.706568e+02,9.999626e+01,-2.993864e+01,1.014229e-06,
3.599998e-01,9.999659e-01,-8.226919e-03,6.772335e-04,-2.356866e-01,1.940131e-02,9.999830e-01,1.752941e+02,1.000003e+02,-2.993678e+01,1.014664e-06,
3.899998e-01,9.999617e-01,-8.726149e-03,7.381874e-04,-2.499890e-01,2.114751e-02,9.999808e-01,1.751646e+02,9.999429e+01,-2.993695e+01,1.014624e-06,
4.199998e-01,9.999562e-01,-9.286645e-03,1.182463e-03,-2.660468e-01,3.387509e-02,9.999781e-01,1.727436e+02,9.999975e+01,-2.993639e+01,1.014754e-06,
4.499998e-01,9.999500e-01,-9.905072e-03,1.363438e-03,-2.837643e-01,3.905964e-02,9.999750e-01,1.721625e+02,1.000014e+02,-2.993632e+01,1.014770e-06,
4.799997e-01,9.999518e-01,-9.747487e-03,1.201056e-03,-2.792495e-01,3.440772e-02,9.999759e-01,1.729756e+02,9.999227e+01,-2.993723e+01,1.014558e-06,
5.099997e-01,9.999489e-01,-1.006767e-02,9.070532e-04,-2.884225e-01,2.598516e-02,9.999745e-01,1.748518e+02,9.999636e+01,-2.993775e+01,1.014438e-06,
5.399997e-01,9.999458e-01,-1.039190e-02,6.290121e-04,-2.977116e-01,1.801987e-02,9.999729e-01,1.765362e+02,1.000101e+02,-2.993621e+01,1.014797e-06,
5.699997e-01,9.999464e-01,-1.033159e-02,6.172480e-04,-2.959835e-01,1.768285e-02,9.999732e-01,1.765810e+02,9.999624e+01,-2.993697e+01,1.014619e-06,
5.999997e-01,9.999484e-01,-1.010248e-02,1.027614e-03,-2.894197e-01,2.943897e-02,9.999742e-01,1.741919e+02,9.999847e+01,-2.993679e+01,1.014662e-06,
6.299997e-01,9.999590e-01,-8.958831e-03,1.331269e-03,-2.566553e-01,3.813807e-02,9.999795e-01,1.715478e+02,9.999635e+01,-2.993620e+01,1.014798e-06,
6.599996e-01,9.999632e-01,-8.473192e-03,1.307899e-03,-2.427422e-01,3.746857e-02,9.999816e-01,1.712252e+02,1.000029e+02,-2.993741e+01,1.014516e-06,
6.899996e-01,9.999589e-01,-9.014146e-03,9.647655e-04,-2.582399e-01,2.763850e-02,9.999795e-01,1.738910e+02,1.000017e+02,-2.993755e+01,1.014484e-06,
7.199996e-01,9.999630e-01,-8.577860e-03,6.207142e-04,-2.457406e-01,1.778215e-02,9.999815e-01,1.758612e+02,9.999563e+01,-2.993714e+01,1.014580e-06,
7.499996e-01,9.999689e-01,-7.830202e-03,8.928591e-04,-2.243212e-01,2.557853e-02,9.999845e-01,1.734948e+02,9.999240e+01,-2.993738e+01,1.014524e-06,
7.799996e-01,9.999684e-01,-7.836636e-03,1.331096e-03,-2.245056e-01,3.813309e-02,9.999842e-01,1.703600e+02,1.000019e+02,-2.993592e+01,1.014864e-06,
8.099996e-01,9.999700e-01,-7.640185e-03,1.297061e-03,-2.188775e-01,3.715808e-02,9.999850e-01,1.703649e+02,9.999062e+01,-2.993775e+01,1.014437e-06,
8.399996e-01,9.999655e-01,-8.257673e-03,8.702624e-04,-2.365677e-01,2.493118e-02,9.999828e-01,1.739839e+02,9.999949e+01,-2.993768e+01,1.014454e-06,
