"Date","August-15-2025"
"Time","20h53m17s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-9.999999e-01,3.736415e-04,2.143885e-05,8.998930e+01,6.141777e-04,3.501690e-08,3.283923e+00,1.036550e+02,-3.793807e+01,1.607656e-07,
2.999998e-02,-9.999991e-01,1.073520e-03,8.255156e-04,8.996925e+01,2.364928e-02,4.584803e-07,3.755958e+01,1.041734e+02,-3.794637e+01,1.604588e-07,
5.999997e-02,-9.999910e-01,7.227756e-04,4.175043e-03,8.997929e+01,1.196065e-01,4.488367e-06,8.017841e+01,1.038704e+02,-3.794038e+01,1.606800e-07,
8.999995e-02,-9.999679e-01,6.047120e-03,5.249190e-03,8.982676e+01,1.503789e-01,1.603067e-05,4.095955e+01,1.042884e+02,-3.794720e+01,1.604278e-07,
1.199999e-01,-9.999951e-01,1.295090e-03,2.854154e-03,8.996290e+01,8.176561e-02,2.455869e-06,6.559354e+01,1.039675e+02,-3.794487e+01,1.605141e-07,
1.499999e-01,-9.999954e-01,3.007237e-03,2.605257e-04,8.991385e+01,7.463512e-03,2.277842e-06,4.951339e+00,1.035464e+02,-3.793675e+01,1.608144e-07,
1.799999e-01,-9.999991e-01,1.214401e-03,5.437609e-04,8.996521e+01,1.557760e-02,4.426116e-07,2.412096e+01,1.041447e+02,-3.794605e+01,1.604706e-07,
2.099999e-01,-9.999871e-01,2.305207e-03,4.528702e-03,8.993396e+01,1.297382e-01,6.455822e-06,6.302293e+01,1.037078e+02,-3.793895e+01,1.607328e-07,
2.399999e-01,-9.999738e-01,5.179493e-03,5.056269e-03,8.985162e+01,1.448520e-01,1.309842e-05,4.431027e+01,1.043365e+02,-3.794924e+01,1.603528e-07,
2.699999e-01,-9.999919e-01,2.494302e-03,3.162550e-03,8.992854e+01,9.060053e-02,4.055832e-06,5.173717e+01,1.040771e+02,-3.794653e+01,1.604527e-07,
2.999998e-01,-9.999946e-01,3.261035e-03,-2.810706e-04,8.990658e+01,-8.052081e-03,2.678344e-06,-4.926185e+00,1.037861e+02,-3.793998e+01,1.606949e-07,
3.299998e-01,-9.999966e-01,2.569415e-03,4.053702e-04,8.992639e+01,1.161300e-02,1.691557e-06,8.965514e+00,1.042024e+02,-3.794670e+01,1.604463e-07,
3.599998e-01,-9.999901e-01,1.564327e-03,4.161192e-03,8.995518e+01,1.192097e-01,4.940683e-06,6.939713e+01,1.035882e+02,-3.793561e+01,1.608567e-07,
3.899998e-01,-9.999745e-01,4.648462e-03,5.430422e-03,8.986683e+01,1.555709e-01,1.277458e-05,4.943635e+01,1.040396e+02,-3.794457e+01,1.605250e-07,
4.199998e-01,-9.999939e-01,9.110621e-04,3.361413e-03,8.997390e+01,9.629757e-02,3.032292e-06,7.483514e+01,1.042496e+02,-3.794768e+01,1.604100e-07,
4.499998e-01,-9.999957e-01,2.911896e-03,3.092439e-04,8.991658e+01,8.859186e-03,2.143697e-06,6.062101e+00,1.037728e+02,-3.793847e+01,1.607506e-07,
4.799997e-01,-9.999814e-01,6.091677e-03,-3.933905e-04,8.982549e+01,-1.126981e-02,9.315907e-06,-3.694937e+00,1.041450e+02,-3.794264e+01,1.605963e-07,
5.099997e-01,-9.999953e-01,1.986445e-03,2.336783e-03,8.994309e+01,6.694397e-02,2.351635e-06,4.963291e+01,1.041732e+02,-3.794317e+01,1.605768e-07,
5.399997e-01,-9.999828e-01,4.071660e-03,4.214179e-03,8.988335e+01,1.207277e-01,8.584502e-06,4.598541e+01,1.039135e+02,-3.794004e+01,1.606925e-07,
5.699997e-01,-9.999514e-01,8.192467e-03,5.491873e-03,8.976530e+01,1.573314e-01,2.431989e-05,3.383618e+01,1.036663e+02,-3.793579e+01,1.608500e-07,
5.999997e-01,-9.999752e-01,5.290021e-03,4.658348e-03,8.984845e+01,1.334523e-01,1.242129e-05,4.136687e+01,1.041257e+02,-3.794484e+01,1.605153e-07,
6.299997e-01,-9.999967e-01,1.602953e-03,2.031420e-03,8.995408e+01,5.819594e-02,1.674034e-06,5.172374e+01,1.041235e+02,-3.794355e+01,1.605629e-07,
6.599996e-01,-9.999942e-01,3.388866e-03,-4.209076e-04,8.990292e+01,-1.205811e-02,2.915402e-06,-7.080055e+00,1.037452e+02,-3.793622e+01,1.608341e-07,
6.899996e-01,-9.999964e-01,2.511890e-03,9.626649e-04,8.992804e+01,2.757832e-02,1.809082e-06,2.096900e+01,1.040592e+02,-3.794151e+01,1.606384e-07,
7.199996e-01,-9.999859e-01,3.160872e-03,4.262449e-03,8.990945e+01,1.221105e-01,7.039946e-06,5.344076e+01,1.037949e+02,-3.793989e+01,1.606980e-07,
7.499996e-01,-9.999635e-01,6.670541e-03,5.335992e-03,8.980890e+01,1.528656e-01,1.824257e-05,3.865750e+01,1.036877e+02,-3.793497e+01,1.608802e-07,
7.799996e-01,-9.999938e-01,9.997448e-04,3.372192e-03,8.997136e+01,9.660636e-02,3.092801e-06,7.348663e+01,1.042480e+02,-3.794609e+01,1.604688e-07,
8.099996e-01,-1.000000e+00,5.299690e-05,-2.550819e-04,8.999848e+01,-7.307557e-03,1.696886e-08,-7.826296e+01,1.040293e+02,-3.794297e+01,1.605844e-07,
8.399996e-01,-9.999975e-01,1.743036e-03,1.371313e-03,8.995007e+01,3.928525e-02,1.229671e-06,3.819348e+01,1.042824e+02,-3.794505e+01,1.605076e-07,
8.699995e-01,-9.999893e-01,5.494043e-04,4.583029e-03,8.998426e+01,1.312946e-01,5.326529e-06,8.316412e+01,1.037874e+02,-3.793758e+01,1.607837e-07,
8.999995e-01,-9.999830e-01,3.397616e-03,4.747645e-03,8.990266e+01,1.360105e-01,8.521054e-06,5.441088e+01,1.039120e+02,-3.794157e+01,1.606361e-07,
9.299995e-01,-9.999985e-01,-7.811041e-04,1.558050e-03,-8.997762e+01,4.463486e-02,7.594115e-07,1.166262e+02,1.040584e+02,-3.794370e+01,1.605574e-07,
9.599995e-01,-9.999975e-01,2.221873e-03,-1.165500e-04,8.993635e+01,-3.338912e-03,1.237578e-06,-3.002741e+00,1.040538e+02,-3.794054e+01,1.606741e-07,
9.899995e-01,-9.999946e-01,-4.884211e-04,3.249581e-03,-8.998601e+01,9.309380e-02,2.699590e-06,9.854773e+01,1.039320e+02,-3.793814e+01,1.607631e-07,
