Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2025-08-15
Time (HH:MM:SS):	15:16:26
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	5000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          720 	
        2	          760 	
        3	          760 	
        4	          740 	
        5	          774 	
        6	          778 	
        7	          745 	
        8	          795 	
        9	          814 	
       10	          746 	
       11	          776 	
       12	          795 	
       13	          761 	
       14	          779 	
       15	          739 	
       16	          774 	
       17	          751 	
       18	          743 	
       19	          820 	
       20	          788 	
       21	          785 	
       22	          750 	
       23	          752 	
       24	          804 	
       25	          786 	
       26	          731 	
       27	          803 	
       28	          749 	
       29	          731 	
       30	          764 	
       31	          769 	
       32	          705 	
       33	          810 	
       34	          751 	
       35	          764 	
       36	          781 	
       37	          742 	
       38	          756 	
       39	          745 	
       40	          762 	
       41	          803 	
       42	          770 	
       43	          773 	
       44	          763 	
       45	          750 	
       46	          772 	
       47	          762 	
       48	          714 	
       49	          809 	
       50	          777 	
       51	          744 	
       52	          803 	
       53	          746 	
       54	          754 	
       55	          732 	
       56	          714 	
       57	          777 	
       58	          791 	
       59	          741 	
       60	          775 	
       61	          777 	
       62	          775 	
       63	          761 	
       64	          797 	
       65	          778 	
       66	          788 	
       67	          779 	
       68	          742 	
       69	          758 	
       70	          753 	
       71	          779 	
       72	          767 	
       73	          743 	
       74	          782 	
       75	          796 	
       76	          740 	
       77	          759 	
       78	          766 	
       79	          822 	
       80	          759 	
       81	          825 	
       82	          753 	
       83	          804 	
       84	          736 	
       85	          788 	
       86	          748 	
       87	          760 	
       88	          760 	
       89	          782 	
       90	          758 	
       91	          768 	
       92	          780 	
       93	          804 	
       94	          787 	
       95	          825 	
       96	          778 	
       97	          776 	
       98	          742 	
       99	          790 	
      100	          766 	
      101	          740 	
      102	          762 	
      103	          801 	
      104	          804 	
      105	          781 	
      106	          762 	
      107	          735 	
      108	          770 	
      109	          726 	
      110	          742 	
      111	          768 	
      112	          773 	
      113	          719 	
      114	          759 	
      115	          733 	
      116	          750 	
      117	          767 	
      118	          818 	
      119	          761 	
      120	          722 	
      121	          738 	
      122	          755 	
      123	          750 	
      124	          764 	
      125	          764 	
      126	          791 	
      127	          767 	
      128	          759 	
      129	          755 	
      130	          713 	
      131	          821 	
      132	          734 	
      133	          798 	
      134	          722 	
      135	          731 	
      136	          705 	
      137	          814 	
      138	          754 	
      139	          774 	
      140	          795 	
      141	          801 	
      142	          772 	
      143	          762 	
      144	          820 	
      145	          809 	
      146	          801 	
      147	          774 	
      148	          731 	
      149	          761 	
      150	          779 	
      151	          765 	
      152	          768 	
      153	          775 	
      154	          745 	
      155	          727 	
      156	          734 	
      157	          776 	
      158	          746 	
      159	          768 	
      160	          760 	
      161	          765 	
      162	          769 	
      163	          741 	
      164	          759 	
      165	          846 	
      166	          734 	
      167	          737 	
      168	          765 	
      169	          764 	
      170	          759 	
      171	          751 	
      172	          762 	
      173	          776 	
      174	          771 	
      175	          789 	
      176	          758 	
      177	          750 	
      178	          764 	
      179	          754 	
      180	          775 	
      181	          733 	
      182	          755 	
      183	          794 	
      184	          748 	
      185	          787 	
      186	          770 	
      187	          770 	
      188	          762 	
      189	          755 	
      190	          773 	
      191	          755 	
      192	          770 	
      193	          766 	
      194	          761 	
      195	          744 	
      196	          791 	
      197	          777 	
      198	          797 	
      199	          778 	
      200	          802 	
      201	          763 	
      202	          772 	
      203	          750 	
      204	          761 	
      205	          792 	
      206	          816 	
      207	          772 	
      208	          783 	
      209	          736 	
      210	          770 	
      211	          783 	
      212	          743 	
      213	          795 	
      214	          818 	
      215	          736 	
      216	          768 	
      217	          775 	
      218	          782 	
      219	          771 	
      220	          766 	
      221	          746 	
      222	          739 	
      223	          754 	
      224	          767 	
      225	          742 	
      226	          763 	
      227	          737 	
      228	          760 	
      229	          728 	
      230	          775 	
      231	          757 	
      232	          802 	
      233	          778 	
      234	          710 	
      235	          745 	
      236	          769 	
      237	          784 	
      238	          766 	
      239	          753 	
      240	          725 	
      241	          781 	
      242	          743 	
      243	          786 	
      244	          710 	
      245	          785 	
      246	          779 	
      247	          772 	
      248	          802 	
      249	          787 	
      250	          748 	
      251	          780 	
      252	          762 	
      253	          718 	
      254	          746 	
      255	          826 	
      256	          749 	
      257	          703 	
      258	          704 	
      259	          806 	
      260	          781 	
      261	          757 	
      262	          758 	
      263	          762 	
      264	          771 	
      265	          755 	
      266	          779 	
      267	          758 	
      268	          796 	
      269	          782 	
      270	          768 	
      271	          771 	
      272	          781 	
      273	          759 	
      274	          808 	
      275	          764 	
      276	          842 	
      277	          736 	
      278	          701 	
      279	          722 	
      280	          793 	
      281	          703 	
      282	          753 	
      283	          737 	
      284	          745 	
      285	          739 	
      286	          842 	
      287	          700 	
      288	          803 	
      289	          768 	
      290	          796 	
      291	          765 	
      292	          752 	
      293	          750 	
      294	          760 	
      295	          765 	
      296	          719 	
      297	          773 	
      298	          725 	
      299	          778 	
      300	          769 	
      301	          798 	
      302	          766 	
      303	          738 	
      304	          737 	
      305	          756 	
      306	          776 	
      307	          792 	
      308	          714 	
      309	          762 	
      310	          789 	
      311	          766 	
      312	          807 	
      313	          752 	
      314	          765 	
      315	          764 	
      316	          801 	
      317	          691 	
      318	          793 	
      319	          806 	
      320	          709 	
      321	          749 	
      322	          735 	
      323	          800 	
      324	          762 	
      325	          778 	
      326	          784 	
      327	          788 	
      328	          766 	
      329	          796 	
      330	          701 	
      331	          759 	
      332	          749 	
      333	          775 	
      334	          699 	
      335	          779 	
      336	          809 	
      337	          739 	
      338	          754 	
      339	          749 	
      340	          766 	
      341	          766 	
      342	          779 	
      343	          808 	
      344	          780 	
      345	          786 	
      346	          709 	
      347	          732 	
      348	          756 	
      349	          751 	
