"Date","August-15-2025"
"Time","21h22m49s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,5.746667e-01,-4.914330e-01,6.544095e-01,-2.026790e+01,2.043744e+01,7.873333e-01,1.269050e+02,9.936313e+01,-4.240483e+01,5.747997e-08,
2.999998e-02,5.650922e-01,-4.918729e-01,6.623683e-01,-2.051864e+01,2.074037e+01,7.825461e-01,1.265975e+02,9.910698e+01,-4.244808e+01,5.691043e-08,
5.999997e-02,5.646795e-01,-4.960309e-01,6.596138e-01,-2.064851e+01,2.063521e+01,7.823398e-01,1.269432e+02,9.947868e+01,-4.242822e+01,5.717130e-08,
8.999995e-02,5.730128e-01,-4.828319e-01,6.622157e-01,-2.005907e+01,2.073454e+01,7.865064e-01,1.260964e+02,9.866721e+01,-4.241536e+01,5.734085e-08,
1.199999e-01,5.672704e-01,-4.931331e-01,6.595635e-01,-2.050036e+01,2.063330e+01,7.836352e-01,1.267842e+02,9.946441e+01,-4.242534e+01,5.720921e-08,
1.499999e-01,5.767669e-01,-4.825875e-01,6.591276e-01,-1.995980e+01,2.061669e+01,7.883835e-01,1.262101e+02,9.872041e+01,-4.240217e+01,5.751519e-08,
1.799999e-01,5.627213e-01,-4.944023e-01,6.625037e-01,-2.065114e+01,2.074555e+01,7.813607e-01,1.267326e+02,9.925308e+01,-4.245412e+01,5.683131e-08,
2.099999e-01,5.709298e-01,-4.956316e-01,6.545139e-01,-2.048084e+01,2.044140e+01,7.854649e-01,1.271349e+02,9.940760e+01,-4.240458e+01,5.748328e-08,
2.399999e-01,5.661064e-01,-4.932641e-01,6.604650e-01,-2.053327e+01,2.066767e+01,7.830532e-01,1.267540e+02,9.911267e+01,-4.243578e+01,5.707182e-08,
2.699999e-01,5.644649e-01,-5.023764e-01,6.549789e-01,-2.083462e+01,2.045903e+01,7.822324e-01,1.274886e+02,1.000192e+02,-4.241667e+01,5.732351e-08,
2.999998e-01,5.692358e-01,-4.912677e-01,6.592622e-01,-2.039759e+01,2.062181e+01,7.846179e-01,1.266927e+02,9.921647e+01,-4.241775e+01,5.730927e-08,
3.299998e-01,5.600490e-01,-5.023624e-01,6.587695e-01,-2.094601e+01,2.060305e+01,7.800245e-01,1.273283e+02,9.993758e+01,-4.243664e+01,5.706058e-08,
3.599998e-01,5.710127e-01,-4.931208e-01,6.563355e-01,-2.040678e+01,2.051050e+01,7.855064e-01,1.269184e+02,9.947556e+01,-4.239650e+01,5.759044e-08,
3.899998e-01,5.682880e-01,-4.879130e-01,6.625630e-01,-2.032414e+01,2.074782e+01,7.841440e-01,1.263680e+02,9.890780e+01,-4.241965e+01,5.728423e-08,
4.199998e-01,5.635397e-01,-5.002111e-01,6.574282e-01,-2.079651e+01,2.055201e+01,7.817698e-01,1.272661e+02,9.987164e+01,-4.242316e+01,5.723788e-08,
4.499998e-01,5.706722e-01,-4.929063e-01,6.567926e-01,-2.040907e+01,2.052786e+01,7.853361e-01,1.268873e+02,9.942379e+01,-4.239879e+01,5.756009e-08,
4.799997e-01,5.654581e-01,-4.898796e-01,6.635323e-01,-2.045186e+01,2.078491e+01,7.827290e-01,1.264381e+02,9.904841e+01,-4.243666e+01,5.706035e-08,
5.099997e-01,5.649950e-01,-5.000639e-01,6.562901e-01,-2.075564e+01,2.050877e+01,7.824975e-01,1.273058e+02,9.974646e+01,-4.241673e+01,5.732273e-08,
5.399997e-01,5.721750e-01,-4.861874e-01,6.604828e-01,-2.017758e+01,2.066835e+01,7.860875e-01,1.263571e+02,9.876902e+01,-4.240570e+01,5.746856e-08,
5.699997e-01,5.595486e-01,-4.991704e-01,6.616149e-01,-2.086799e+01,2.071158e+01,7.797743e-01,1.270336e+02,9.946754e+01,-4.244041e+01,5.701108e-08,
5.999997e-01,5.752942e-01,-4.929294e-01,6.527306e-01,-2.029548e+01,2.037390e+01,7.876471e-01,1.270594e+02,9.932846e+01,-4.237709e+01,5.784841e-08,
6.299997e-01,5.682258e-01,-4.893314e-01,6.615694e-01,-2.036680e+01,2.070984e+01,7.841129e-01,1.264886e+02,9.897440e+01,-4.242373e+01,5.723040e-08,
6.599996e-01,5.630931e-01,-5.024374e-01,6.561119e-01,-2.087097e+01,2.050201e+01,7.815466e-01,1.274442e+02,9.993431e+01,-4.242110e+01,5.726506e-08,
6.899996e-01,5.707419e-01,-4.903539e-01,6.586400e-01,-2.033379e+01,2.059812e+01,7.853710e-01,1.266675e+02,9.911268e+01,-4.240789e+01,5.743955e-08,
7.199996e-01,5.604784e-01,-5.013827e-01,6.591504e-01,-2.090730e+01,2.061756e+01,7.802392e-01,1.272584e+02,9.981295e+01,-4.243698e+01,5.705613e-08,
7.499996e-01,5.701668e-01,-4.935584e-01,6.567419e-01,-2.044036e+01,2.052593e+01,7.850834e-01,1.269258e+02,9.935075e+01,-4.239934e+01,5.755277e-08,
7.799996e-01,5.622943e-01,-4.923598e-01,6.643847e-01,-2.060313e+01,2.081757e+01,7.811471e-01,1.265413e+02,9.909269e+01,-4.244210e+01,5.698888e-08,
8.099996e-01,5.667391e-01,-5.000633e-01,6.547851e-01,-2.071181e+01,2.045168e+01,7.833695e-01,1.273692e+02,9.981532e+01,-4.240855e+01,5.743079e-08,
8.399996e-01,5.720497e-01,-4.903379e-01,6.575165e-01,-2.030092e+01,2.055537e+01,7.860248e-01,1.267135e+02,9.920573e+01,-4.239998e+01,5.754426e-08,
8.699995e-01,5.594307e-01,-5.001916e-01,6.609430e-01,-2.090008e+01,2.068592e+01,7.797153e-01,1.271179e+02,9.988733e+01,-4.244109e+01,5.700206e-08,
8.999995e-01,5.706101e-01,-4.939047e-01,6.560962e-01,-2.043929e+01,2.050141e+01,7.853050e-01,1.269722e+02,9.941908e+01,-4.239272e+01,5.764050e-08,
9.299995e-01,5.636954e-01,-4.931457e-01,6.626121e-01,-2.059044e+01,2.074969e+01,7.818477e-01,1.266583e+02,9.923055e+01,-4.243926e+01,5.702621e-08,
9.599995e-01,5.659640e-01,-4.991656e-01,6.561391e-01,-2.070573e+01,2.050304e+01,7.829820e-01,1.272625e+02,9.980101e+01,-4.240944e+01,5.741908e-08,
9.899995e-01,5.674567e-01,-4.892122e-01,6.623174e-01,-2.038254e+01,2.073843e+01,7.837283e-01,1.264509e+02,9.903275e+01,-4.242445e+01,5.722091e-08,
1.019999e+00,5.603299e-01,-4.991846e-01,6.609426e-01,-2.084854e+01,2.068590e+01,7.801650e-01,1.270624e+02,9.978060e+01,-4.243757e+01,5.704838e-08,
1.049999e+00,5.724587e-01,-4.903319e-01,6.571649e-01,-2.029063e+01,2.054200e+01,7.862294e-01,1.267278e+02,9.916656e+01,-4.239643e+01,5.759131e-08,
1.079999e+00,5.649269e-01,-4.919601e-01,6.624446e-01,-2.052530e+01,2.074329e+01,7.824634e-01,1.265992e+02,9.911963e+01,-4.243487e+01,5.708381e-08,
1.109999e+00,5.652033e-01,-5.022072e-01,6.544717e-01,-2.081123e+01,2.043980e+01,7.826016e-01,1.275007e+02,9.991686e+01,-4.240940e+01,5.741962e-08,
1.139999e+00,5.692229e-01,-4.915026e-01,6.590982e-01,-2.040469e+01,2.061557e+01,7.846114e-01,1.267126e+02,9.924367e+01,-4.240930e+01,5.742085e-08,
