"Date","August-15-2025"
"Time","20h54m09s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,9.999419e-01,-1.076644e-02,4.656379e-04,-3.084418e-01,1.333954e-02,9.999710e-01,1.775236e+02,1.001664e+02,-3.573280e+01,2.671284e-07,
2.999998e-02,9.999550e-01,-9.357447e-03,1.541760e-03,-2.680753e-01,4.416820e-02,9.999775e-01,1.706438e+02,1.001391e+02,-3.573290e+01,2.671225e-07,
5.999997e-02,9.999542e-01,-9.392012e-03,1.833409e-03,-2.690657e-01,5.252334e-02,9.999771e-01,1.689542e+02,1.001224e+02,-3.573506e+01,2.669894e-07,
8.999995e-02,9.999680e-01,-7.857137e-03,1.484749e-03,-2.250930e-01,4.253494e-02,9.999840e-01,1.692991e+02,1.001681e+02,-3.573596e+01,2.669341e-07,
1.199999e-01,9.999716e-01,-7.532430e-03,2.029790e-04,-2.157903e-01,5.814921e-03,9.999858e-01,1.784564e+02,1.001333e+02,-3.573402e+01,2.670532e-07,
1.499999e-01,9.999768e-01,-6.813855e-03,6.260245e-06,-1.952041e-01,1.793428e-04,9.999884e-01,1.799474e+02,1.001391e+02,-3.573336e+01,2.670940e-07,
1.799999e-01,9.999773e-01,-6.589024e-03,1.423605e-03,-1.887632e-01,4.078329e-02,9.999886e-01,1.678082e+02,1.001596e+02,-3.573127e+01,2.672226e-07,
2.099999e-01,9.999634e-01,-8.401904e-03,1.601191e-03,-2.406999e-01,4.587076e-02,9.999817e-01,1.692103e+02,1.001496e+02,-3.573749e+01,2.668399e-07,
2.399999e-01,9.999614e-01,-8.762865e-03,6.230364e-04,-2.510408e-01,1.784868e-02,9.999807e-01,1.759331e+02,1.001542e+02,-3.573436e+01,2.670327e-07,
2.699999e-01,9.999609e-01,-8.846549e-03,-1.270392e-04,-2.534383e-01,-3.639406e-03,9.999804e-01,-1.791773e+02,1.001709e+02,-3.573289e+01,2.671226e-07,
2.999998e-01,9.999643e-01,-8.403341e-03,8.745427e-04,-2.407409e-01,2.505381e-02,9.999822e-01,1.740586e+02,1.001353e+02,-3.573338e+01,2.670927e-07,
3.299998e-01,9.999763e-01,-6.665552e-03,1.705540e-03,-1.909557e-01,4.886013e-02,9.999882e-01,1.656475e+02,1.001350e+02,-3.573283e+01,2.671267e-07,
3.599998e-01,9.999803e-01,-6.182293e-03,1.105006e-03,-1.771109e-01,3.165610e-02,9.999901e-01,1.698661e+02,1.001681e+02,-3.573522e+01,2.669796e-07,
3.899998e-01,9.999782e-01,-6.606912e-03,-5.067464e-05,-1.892755e-01,-1.451721e-03,9.999891e-01,-1.795606e+02,1.001659e+02,-3.573213e+01,2.671693e-07,
4.199998e-01,9.999788e-01,-6.415462e-03,1.079313e-03,-1.837908e-01,3.092004e-02,9.999894e-01,1.704502e+02,1.001288e+02,-3.573501e+01,2.669925e-07,
4.499998e-01,9.999713e-01,-7.397240e-03,1.617310e-03,-2.119175e-01,4.633255e-02,9.999857e-01,1.676671e+02,1.001639e+02,-3.573528e+01,2.669759e-07,
4.799997e-01,9.999607e-01,-8.819843e-03,8.966077e-04,-2.526733e-01,2.568592e-02,9.999804e-01,1.741954e+02,1.001269e+02,-3.573761e+01,2.668326e-07,
5.099997e-01,9.999629e-01,-8.618391e-03,1.021144e-04,-2.469018e-01,2.925363e-03,9.999814e-01,1.793212e+02,1.001236e+02,-3.573450e+01,2.670235e-07,
5.399997e-01,9.999665e-01,-8.169702e-03,4.497414e-04,-2.340474e-01,1.288414e-02,9.999833e-01,1.768491e+02,1.001601e+02,-3.573296e+01,2.671187e-07,
5.699997e-01,9.999746e-01,-6.940681e-03,1.615238e-03,-1.988377e-01,4.627317e-02,9.999873e-01,1.668993e+02,1.001216e+02,-3.573236e+01,2.671552e-07,
5.999997e-01,9.999784e-01,-6.349893e-03,1.692539e-03,-1.819125e-01,4.848769e-02,9.999892e-01,1.650750e+02,1.001833e+02,-3.573229e+01,2.671597e-07,
6.299997e-01,9.999667e-01,-8.157305e-03,3.555200e-04,-2.336922e-01,1.018490e-02,9.999833e-01,1.775045e+02,1.001423e+02,-3.573257e+01,2.671428e-07,
6.599996e-01,9.999624e-01,-8.666311e-03,-2.247719e-05,-2.482746e-01,-6.439241e-04,9.999812e-01,-1.798514e+02,1.001463e+02,-3.573380e+01,2.670671e-07,
6.899996e-01,9.999605e-01,-8.799098e-03,1.273975e-03,-2.520790e-01,3.649671e-02,9.999802e-01,1.717617e+02,1.001169e+02,-3.573247e+01,2.671486e-07,
7.199996e-01,9.999590e-01,-8.851539e-03,1.898225e-03,-2.535817e-01,5.438018e-02,9.999795e-01,1.678962e+02,1.001788e+02,-3.572994e+01,2.673044e-07,
7.499996e-01,9.999611e-01,-8.725668e-03,1.252693e-03,-2.499754e-01,3.588702e-02,9.999806e-01,1.718302e+02,1.001503e+02,-3.573374e+01,2.670703e-07,
7.799996e-01,9.999606e-01,-8.873488e-03,2.814896e-04,-2.542101e-01,8.064083e-03,9.999803e-01,1.781830e+02,1.001630e+02,-3.573241e+01,2.671524e-07,
8.099996e-01,9.999665e-01,-8.182577e-03,1.655982e-04,-2.344162e-01,4.744038e-03,9.999833e-01,1.788406e+02,1.001636e+02,-3.573162e+01,2.672007e-07,
8.399996e-01,9.999576e-01,-9.134779e-03,1.164376e-03,-2.616960e-01,3.335691e-02,9.999788e-01,1.727359e+02,1.001242e+02,-3.573389e+01,2.670616e-07,
8.699995e-01,9.999491e-01,-9.890041e-03,2.012220e-03,-2.833340e-01,5.764589e-02,9.999745e-01,1.684996e+02,1.001546e+02,-3.573193e+01,2.671821e-07,
8.999995e-01,9.999482e-01,-1.002951e-02,1.725450e-03,-2.873296e-01,4.943051e-02,9.999741e-01,1.702385e+02,1.001336e+02,-3.573478e+01,2.670065e-07,
9.299995e-01,9.999445e-01,-1.050038e-02,8.845080e-04,-3.008193e-01,2.533929e-02,9.999722e-01,1.751850e+02,1.001086e+02,-3.573831e+01,2.667894e-07,
9.599995e-01,9.999601e-01,-8.934759e-03,1.439358e-04,-2.559654e-01,4.123457e-03,9.999800e-01,1.790771e+02,1.001829e+02,-3.573339e+01,2.670920e-07,
9.899995e-01,9.999696e-01,-7.779423e-03,5.790328e-04,-2.228663e-01,1.658807e-02,9.999848e-01,1.757432e+02,1.001422e+02,-3.573430e+01,2.670360e-07,
1.019999e+00,9.999651e-01,-8.175651e-03,1.740717e-03,-2.342181e-01,4.986788e-02,9.999825e-01,1.679804e+02,1.001297e+02,-3.573363e+01,2.670776e-07,
1.049999e+00,9.999656e-01,-8.068601e-03,1.935419e-03,-2.311513e-01,5.544570e-02,9.999828e-01,1.665113e+02,1.001359e+02,-3.573636e+01,2.669094e-07,
1.079999e+00,9.999637e-01,-8.492985e-03,6.847780e-04,-2.433091e-01,1.961745e-02,9.999818e-01,1.753903e+02,1.001530e+02,-3.573477e+01,2.670070e-07,
1.109999e+00,9.999762e-01,-6.896345e-03,4.773301e-05,-1.975673e-01,1.367450e-03,9.999881e-01,1.796034e+02,1.001592e+02,-3.573490e+01,2.669991e-07,
1.139999e+00,9.999634e-01,-8.483207e-03,1.137789e-03,-2.430290e-01,3.259525e-02,9.999817e-01,1.723609e+02,1.001453e+02,-3.573332e+01,2.670966e-07,
1.169999e+00,9.999722e-01,-7.246562e-03,1.754626e-03,-2.076008e-01,5.026636e-02,9.999861e-01,1.663888e+02,1.001617e+02,-3.573246e+01,2.671493e-07,
1.199999e+00,9.999591e-01,-8.919014e-03,1.517015e-03,-2.555146e-01,4.345930e-02,9.999795e-01,1.703471e+02,1.001437e+02,-3.573639e+01,2.669075e-07,
1.229999e+00,9.999474e-01,-1.023766e-02,5.703123e-04,-2.932924e-01,1.633825e-02,9.999737e-01,1.768115e+02,1.001435e+02,-3.573708e+01,2.668652e-07,
