"Date","August-15-2025"
"Time","20h55m29s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-9.999913e-01,3.296710e-03,2.545471e-03,8.990556e+01,7.292246e-02,4.336950e-06,3.767261e+01,1.016651e+02,-2.722116e+01,1.896201e-06,
2.999998e-02,-9.999923e-01,3.115885e-03,2.382138e-03,8.991074e+01,6.824330e-02,3.845845e-06,3.739843e+01,1.016651e+02,-2.722138e+01,1.896102e-06,
5.999997e-02,-9.999953e-01,1.772860e-03,2.482779e-03,8.994921e+01,7.112645e-02,2.326811e-06,5.447078e+01,1.016883e+02,-2.722150e+01,1.896052e-06,
8.999995e-02,-9.999960e-01,2.985392e-04,2.821430e-03,8.999145e+01,8.082813e-02,2.012403e-06,8.395993e+01,1.016038e+02,-2.722026e+01,1.896592e-06,
1.199999e-01,-9.999959e-01,-4.830955e-04,2.829784e-03,-8.998616e+01,8.106746e-02,2.060269e-06,9.968803e+01,1.016700e+02,-2.722167e+01,1.895976e-06,
1.499999e-01,-9.999970e-01,2.974742e-04,2.443677e-03,8.999148e+01,7.000627e-02,1.515015e-06,8.305941e+01,1.016401e+02,-2.722088e+01,1.896324e-06,
1.799999e-01,-9.999964e-01,1.048749e-03,2.449804e-03,8.996996e+01,7.018177e-02,1.775356e-06,6.682446e+01,1.016730e+02,-2.722149e+01,1.896057e-06,
2.099999e-01,-9.999960e-01,8.010758e-04,2.718941e-03,8.997705e+01,7.789202e-02,2.008595e-06,7.358356e+01,1.016254e+02,-2.722054e+01,1.896472e-06,
2.399999e-01,-9.999949e-01,1.446623e-03,2.836155e-03,8.995856e+01,8.124996e-02,2.534129e-06,6.297547e+01,1.016457e+02,-2.722102e+01,1.896263e-06,
2.699999e-01,-9.999965e-01,4.631221e-04,2.612391e-03,8.998673e+01,7.483956e-02,1.759770e-06,7.994710e+01,1.016448e+02,-2.722141e+01,1.896090e-06,
2.999998e-01,-9.999969e-01,8.641933e-04,2.342942e-03,8.997524e+01,6.712040e-02,1.559054e-06,6.975352e+01,1.016613e+02,-2.722144e+01,1.896079e-06,
3.299998e-01,-9.999964e-01,2.031985e-04,2.664738e-03,8.999418e+01,7.633922e-02,1.785533e-06,8.563937e+01,1.016169e+02,-2.722061e+01,1.896438e-06,
