# Ley de Malus por conteo de fotones
# fecha: 2026-06-30T18:21:30
# potencia_CH1_mW:    100.000
# factor_calib_PIC:   0.99590
# bin_length_ms:      1.000
# time_between_ms:    0.001
# pulse_blind_ns:     0.000
# bins_per_array:     10000
# t_integracion_s:    10.010
# sigma_angulo_deg:   2.0
# columnas: angulo[deg]	sigma_angulo[deg]	CPS	sigma_CPS	P[uW]	sigma_P[uW]	I_norm[CPS/uW]	sigma_I_norm
0.00	2.000	3920843.7000	700.4090	100015.68540	8.06757	3.920156e+01	1.685222e-02
10.00	2.000	3848052.4000	851.4627	100017.88468	5.11195	3.847320e+01	1.868929e-02
20.00	2.000	3592023.0000	711.1881	100019.87648	7.65222	3.591329e+01	1.194202e-02
30.00	2.000	3240568.1000	568.6051	100021.90977	5.39603	3.239856e+01	1.451023e-02
40.00	2.000	3420751.0000	604.3547	100019.25404	5.77653	3.420118e+01	1.291762e-02
50.00	2.000	3272480.0000	718.3737	100032.11773	7.83069	3.271465e+01	1.048168e-02
60.00	2.000	3164923.0000	666.7762	100015.10446	5.10739	3.164430e+01	1.444561e-02
70.00	2.000	3307280.6000	629.7839	100023.23763	5.90512	3.306501e+01	1.008362e-02
80.00	2.000	3514267.6000	668.8465	100025.22943	8.85330	3.513354e+01	1.216971e-02
90.00	2.000	3679570.5000	676.9696	100021.86827	9.09364	3.678734e+01	1.433475e-02
100.00	2.000	3301875.6000	640.4310	100060.54233	5.80017	3.299903e+01	1.626927e-02
110.00	2.000	2811671.3000	650.2706	100029.50349	7.23437	2.810845e+01	1.169690e-02
120.00	2.000	4142941.9000	833.0314	100023.86007	6.36049	4.141984e+01	1.569994e-02
130.00	2.000	4595505.1000	890.8532	100018.50711	5.59137	4.594683e+01	1.600069e-02
140.00	2.000	3652264.8000	714.1785	100002.78022	6.71765	3.652137e+01	1.256407e-02
150.00	2.000	4402494.1000	758.9779	100024.56550	5.85725	4.401416e+01	1.749468e-02
160.00	2.000	3899662.9000	675.7715	100022.53220	7.54463	3.898780e+01	1.713391e-02
170.00	2.000	3699377.0000	702.2007	100022.53220	6.13590	3.698534e+01	1.858530e-02
180.00	2.000	3832749.1000	728.3972	100031.28781	8.74601	3.831608e+01	1.711803e-02
190.00	2.000	3764563.4000	715.4385	100022.57370	7.29053	3.763670e+01	1.901879e-02
200.00	2.000	4119226.5000	799.7502	100003.40265	7.66331	4.119106e+01	2.483566e-02
210.00	2.000	4659880.8000	759.6017	100021.20434	7.21555	4.658864e+01	2.054887e-02
220.00	2.000	4398411.5000	719.7289	100036.14282	6.25376	4.396821e+01	1.572199e-02
230.00	2.000	4320002.0000	701.3025	100036.80675	8.49501	4.318435e+01	1.369256e-02
240.00	2.000	4295208.8000	709.7808	100039.58697	7.14010	4.293560e+01	1.494798e-02
250.00	2.000	5154601.5000	873.1612	100050.99831	6.65954	5.151917e+01	1.429950e-02
260.00	2.000	4360952.5000	748.0897	100031.41230	6.73155	4.359583e+01	1.226688e-02
270.00	2.000	3271210.9000	684.4161	100047.63715	6.39955	3.269648e+01	1.145704e-02
280.00	2.000	3640348.5000	704.8836	100052.49215	4.02174	3.638441e+01	1.058891e-02
290.00	2.000	3605914.9000	685.6717	100065.31435	4.95414	3.603591e+01	1.244007e-02
300.00	2.000	3466350.0000	729.5032	100059.13148	5.86185	3.464329e+01	1.105781e-02
310.00	2.000	4275027.5000	795.0877	100059.13148	8.17313	4.272476e+01	1.184921e-02
320.00	2.000	4215942.7000	771.6159	100040.20940	6.10979	4.214187e+01	1.698198e-02
330.00	2.000	3429488.2000	643.1764	100053.82002	7.20633	3.427630e+01	1.304640e-02
340.00	2.000	3958487.1000	719.1938	100058.55054	6.88827	3.956142e+01	1.110988e-02
350.00	2.000	3750790.8000	690.8973	100062.53413	6.40857	3.748462e+01	1.651417e-02
360.00	2.000	4023865.6000	714.1840	100054.52545	5.36305	4.021658e+01	1.515984e-02
