# potencia laser durante la medida en theta = 130.00 deg
# t[s]	P[uW]
0.0191	100030.04294
0.4412	100014.10856
0.8635	100062.90759
1.2832	99964.31364
1.7053	99981.24391
2.1274	100014.10856
2.5452	99981.24391
2.9635	100030.04294
3.3828	99997.17829
3.8050	100014.10856
4.2226	100030.04294
4.6448	100045.97732
5.0627	100078.84197
5.4854	100014.10856
5.9058	100030.04294
6.3239	100045.97732
6.7415	100014.10856
7.1636	100045.97732
7.5857	99997.17829
8.0079	100030.04294
8.4302	99997.17829
8.8525	100030.04294
9.2748	100014.10856
9.6948	99981.24391
