# bins en theta = 300.00 deg
# bin_length_s = 0.001000
# bin	counts	CPS
1	72	72000.000
2	79	79000.000
3	70	70000.000
4	75	75000.000
5	77	77000.000
6	75	75000.000
7	58	58000.000
8	76	76000.000
9	87	87000.000
10	91	91000.000
11	74	74000.000
12	88	88000.000
13	85	85000.000
14	76	76000.000
15	80	80000.000
16	78	78000.000
17	92	92000.000
18	83	83000.000
19	96	96000.000
20	62	62000.000
21	80	80000.000
22	78	78000.000
23	77	77000.000
24	95	95000.000
25	74	74000.000
26	70	70000.000
27	82	82000.000
28	89	89000.000
29	68	68000.000
30	85	85000.000
31	79	79000.000
32	75	75000.000
33	73	73000.000
34	62	62000.000
35	72	72000.000
36	74	74000.000
37	72	72000.000
38	69	69000.000
39	73	73000.000
40	75	75000.000
41	82	82000.000
42	78	78000.000
43	84	84000.000
44	79	79000.000
45	74	74000.000
46	82	82000.000
47	82	82000.000
48	76	76000.000
49	79	79000.000
50	91	91000.000
51	80	80000.000
52	95	95000.000
53	88	88000.000
54	66	66000.000
55	89	89000.000
56	79	79000.000
57	73	73000.000
58	78	78000.000
59	94	94000.000
60	85	85000.000
61	74	74000.000
62	80	80000.000
63	82	82000.000
64	78	78000.000
65	74	74000.000
66	75	75000.000
67	89	89000.000
68	75	75000.000
69	78	78000.000
70	74	74000.000
71	67	67000.000
72	72	72000.000
73	71	71000.000
74	75	75000.000
75	62	62000.000
76	75	75000.000
77	63	63000.000
78	79	79000.000
79	68	68000.000
80	79	79000.000
81	77	77000.000
82	72	72000.000
83	75	75000.000
84	65	65000.000
85	79	79000.000
86	88	88000.000
87	80	80000.000
88	87	87000.000
89	65	65000.000
90	69	69000.000
91	83	83000.000
92	82	82000.000
93	90	90000.000
94	78	78000.000
95	89	89000.000
96	91	91000.000
97	83	83000.000
98	71	71000.000
99	68	68000.000
100	94	94000.000
101	72	72000.000
102	60	60000.000
103	60	60000.000
104	68	68000.000
105	73	73000.000
106	65	65000.000
107	77	77000.000
108	68	68000.000
109	78	78000.000
110	65	65000.000
111	80	80000.000
112	69	69000.000
113	83	83000.000
114	90	90000.000
115	68	68000.000
116	82	82000.000
117	78	78000.000
118	84	84000.000
119	64	64000.000
120	70	70000.000
121	66	66000.000
122	68	68000.000
123	77	77000.000
124	80	80000.000
125	84	84000.000
126	79	79000.000
127	68	68000.000
128	73	73000.000
129	80	80000.000
130	78	78000.000
131	89	89000.000
132	77	77000.000
133	69	69000.000
134	76	76000.000
135	76	76000.000
136	89	89000.000
137	92	92000.000
138	93	93000.000
139	68	68000.000
140	86	86000.000
141	97	97000.000
142	82	82000.000
143	75	75000.000
144	80	80000.000
145	73	73000.000
146	64	64000.000
147	70	70000.000
148	75	75000.000
149	92	92000.000
150	88	88000.000
151	69	69000.000
152	64	64000.000
153	77	77000.000
154	64	64000.000
155	75	75000.000
156	64	64000.000
157	76	76000.000
158	75	75000.000
159	86	86000.000
160	71	71000.000
161	75	75000.000
162	80	80000.000
163	80	80000.000
164	73	73000.000
165	78	78000.000
166	81	81000.000
167	74	74000.000
168	70	70000.000
169	78	78000.000
170	73	73000.000
171	80	80000.000
172	69	69000.000
173	66	66000.000
174	98	98000.000
175	81	81000.000
176	83	83000.000
177	77	77000.000
178	93	93000.000
179	75	75000.000
180	96	96000.000
181	78	78000.000
182	85	85000.000
183	85	85000.000
184	76	76000.000
185	64	64000.000
186	65	65000.000
187	78	78000.000
188	85	85000.000
189	83	83000.000
190	69	69000.000
191	73	73000.000
192	88	88000.000
193	79	79000.000
194	88	88000.000
195	87	87000.000
196	76	76000.000
197	71	71000.000
198	82	82000.000
199	76	76000.000
200	67	67000.000
201	75	75000.000
202	83	83000.000
203	72	72000.000
204	93	93000.000
205	76	76000.000
206	78	78000.000
207	76	76000.000
208	70	70000.000
209	95	95000.000
210	81	81000.000
211	73	73000.000
212	56	56000.000
213	74	74000.000
214	81	81000.000
215	72	72000.000
216	86	86000.000
217	87	87000.000
218	83	83000.000
219	86	86000.000
220	87	87000.000
221	79	79000.000
222	86	86000.000
223	74	74000.000
224	82	82000.000
225	81	81000.000
226	84	84000.000
227	82	82000.000
228	67	67000.000
229	68	68000.000
230	61	61000.000
231	65	65000.000
232	75	75000.000
233	72	72000.000
234	86	86000.000
235	76	76000.000
236	66	66000.000
237	77	77000.000
238	76	76000.000
239	81	81000.000
240	80	80000.000
241	76	76000.000
242	84	84000.000
243	68	68000.000
244	79	79000.000
245	85	85000.000
246	66	66000.000
247	69	69000.000
248	97	97000.000
249	82	82000.000
250	90	90000.000
251	90	90000.000
252	73	73000.000
253	68	68000.000
254	90	90000.000
255	84	84000.000
256	85	85000.000
257	80	80000.000
258	82	82000.000
259	86	86000.000
260	77	77000.000
261	84	84000.000
262	66	66000.000
263	84	84000.000
264	79	79000.000
265	78	78000.000
