"Date","August-22-2025"
"Time","23h08m08s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,3.699869e-01,-8.384122e-01,4.002182e-01,-3.309419e+01,1.179591e+01,6.849934e-01,1.544824e+02,1.008915e+02,-2.396955e+01,4.009079e-06,
2.999998e-02,3.690871e-01,-8.388439e-01,4.001445e-01,-3.312537e+01,1.179360e+01,6.845435e-01,1.544980e+02,1.009146e+02,-2.397196e+01,4.006860e-06,
5.999997e-02,3.697451e-01,-8.384525e-01,4.003574e-01,-3.310162e+01,1.180026e+01,6.848726e-01,1.544757e+02,1.009628e+02,-2.395750e+01,4.020217e-06,
8.999995e-02,3.695395e-01,-8.385254e-01,4.003943e-01,-3.310842e+01,1.180142e+01,6.847698e-01,1.544756e+02,1.009036e+02,-2.395881e+01,4.019011e-06,
1.199999e-01,3.694784e-01,-8.383604e-01,4.007961e-01,-3.310809e+01,1.181398e+01,6.847392e-01,1.544489e+02,1.009441e+02,-2.395065e+01,4.026565e-06,
1.499999e-01,3.697093e-01,-8.385222e-01,4.002444e-01,-3.310352e+01,1.179673e+01,6.848546e-01,1.544839e+02,1.008826e+02,-2.394566e+01,4.031197e-06,
1.799999e-01,3.685544e-01,-8.390453e-01,4.002132e-01,-3.314315e+01,1.179575e+01,6.842772e-01,1.544995e+02,1.009561e+02,-2.394999e+01,4.027177e-06,
2.099999e-01,3.695182e-01,-8.385156e-01,4.004346e-01,-3.310890e+01,1.180267e+01,6.847591e-01,1.544731e+02,1.009645e+02,-2.393333e+01,4.042661e-06,
2.399999e-01,3.693235e-01,-8.386812e-01,4.002674e-01,-3.311656e+01,1.179745e+01,6.846617e-01,1.544868e+02,1.009333e+02,-2.393122e+01,4.044620e-06,
2.699999e-01,3.684369e-01,-8.387998e-01,4.008356e-01,-3.314343e+01,1.181521e+01,6.842184e-01,1.544584e+02,1.009846e+02,-2.393357e+01,4.042430e-06,
2.999998e-01,3.695392e-01,-8.385165e-01,4.004135e-01,-3.310831e+01,1.180201e+01,6.847696e-01,1.544743e+02,1.009360e+02,-2.391938e+01,4.055661e-06,
3.299998e-01,3.686453e-01,-8.390158e-01,4.001913e-01,-3.314018e+01,1.179507e+01,6.843227e-01,1.544999e+02,1.009332e+02,-2.392199e+01,4.053229e-06,
3.599998e-01,3.683709e-01,-8.391127e-01,4.002409e-01,-3.314925e+01,1.179662e+01,6.841855e-01,1.544997e+02,1.010062e+02,-2.391525e+01,4.059523e-06,
3.899998e-01,3.691163e-01,-8.388688e-01,4.000654e-01,-3.312485e+01,1.179113e+01,6.845581e-01,1.545030e+02,1.009935e+02,-2.390826e+01,4.066066e-06,
4.199998e-01,3.690589e-01,-8.385123e-01,4.008649e-01,-3.312201e+01,1.181613e+01,6.845294e-01,1.544491e+02,1.009168e+02,-2.390485e+01,4.069256e-06,
4.499998e-01,3.681623e-01,-8.390811e-01,4.004989e-01,-3.315483e+01,1.180469e+01,6.840811e-01,1.544846e+02,1.010185e+02,-2.389842e+01,4.075281e-06,
4.799997e-01,3.688491e-01,-8.389348e-01,4.001733e-01,-3.313333e+01,1.179451e+01,6.844246e-01,1.544988e+02,1.010045e+02,-2.389604e+01,4.077520e-06,
5.099997e-01,3.689413e-01,-8.387128e-01,4.005536e-01,-3.312790e+01,1.180640e+01,6.844706e-01,1.544717e+02,1.009116e+02,-2.389239e+01,4.080948e-06,
5.399997e-01,3.685166e-01,-8.390316e-01,4.002768e-01,-3.314406e+01,1.179774e+01,6.842583e-01,1.544956e+02,1.009620e+02,-2.388689e+01,4.086118e-06,
5.699997e-01,3.694859e-01,-8.387820e-01,3.999061e-01,-3.311319e+01,1.178615e+01,6.847429e-01,1.545096e+02,1.009807e+02,-2.388328e+01,4.089516e-06,
5.999997e-01,3.700743e-01,-8.380219e-01,4.009542e-01,-3.308677e+01,1.181892e+01,6.850371e-01,1.544311e+02,1.008578e+02,-2.387693e+01,4.095498e-06,
6.299997e-01,3.701265e-01,-8.383232e-01,4.002757e-01,-3.308908e+01,1.179771e+01,6.850632e-01,1.544768e+02,1.009172e+02,-2.387292e+01,4.099283e-06,
6.599996e-01,3.703888e-01,-8.382209e-01,4.002473e-01,-3.308028e+01,1.179682e+01,6.851944e-01,1.544757e+02,1.008243e+02,-2.387183e+01,4.100311e-06,
6.899996e-01,3.699226e-01,-8.385255e-01,4.000402e-01,-3.309746e+01,1.179035e+01,6.849613e-01,1.544953e+02,1.009502e+02,-2.386879e+01,4.103183e-06,
7.199996e-01,3.699702e-01,-8.382472e-01,4.005792e-01,-3.309259e+01,1.180720e+01,6.849851e-01,1.544579e+02,1.008845e+02,-2.386394e+01,4.107765e-06,
7.499996e-01,3.697578e-01,-8.383343e-01,4.005930e-01,-3.309976e+01,1.180763e+01,6.848789e-01,1.544595e+02,1.009314e+02,-2.386362e+01,4.108074e-06,
7.799996e-01,3.699106e-01,-8.384708e-01,4.001661e-01,-3.309711e+01,1.179428e+01,6.849553e-01,1.544869e+02,1.008653e+02,-2.385822e+01,4.113179e-06,
8.099996e-01,3.692319e-01,-8.388375e-01,4.000242e-01,-3.312115e+01,1.178985e+01,6.846159e-01,1.545045e+02,1.009720e+02,-2.386036e+01,4.111153e-06,
8.399996e-01,3.705945e-01,-8.379445e-01,4.006354e-01,-3.307091e+01,1.180895e+01,6.852972e-01,1.544467e+02,1.008446e+02,-2.384988e+01,4.121091e-06,
8.699995e-01,3.701765e-01,-8.382028e-01,4.004815e-01,-3.308612e+01,1.180414e+01,6.850883e-01,1.544622e+02,1.008994e+02,-2.385048e+01,4.120522e-06,
8.999995e-01,3.700364e-01,-8.384081e-01,4.001810e-01,-3.309272e+01,1.179475e+01,6.850182e-01,1.544844e+02,1.008617e+02,-2.385177e+01,4.119301e-06,
9.299995e-01,3.688014e-01,-8.389490e-01,4.001875e-01,-3.313487e+01,1.179495e+01,6.844007e-01,1.544984e+02,1.009801e+02,-2.384888e+01,4.122043e-06,
9.599995e-01,3.701101e-01,-8.383915e-01,4.001478e-01,-3.309041e+01,1.179371e+01,6.850550e-01,1.544858e+02,1.009186e+02,-2.384447e+01,4.126227e-06,
9.899995e-01,3.689917e-01,-8.385736e-01,4.007985e-01,-3.312470e+01,1.181405e+01,6.844959e-01,1.544544e+02,1.009434e+02,-2.384611e+01,4.124664e-06,
1.019999e+00,3.694332e-01,-8.387035e-01,4.001194e-01,-3.311370e+01,1.179282e+01,6.847166e-01,1.544956e+02,1.009747e+02,-2.384093e+01,4.129590e-06,
1.049999e+00,3.694915e-01,-8.386195e-01,4.002417e-01,-3.311098e+01,1.179664e+01,6.847457e-01,1.544866e+02,1.008878e+02,-2.384392e+01,4.126749e-06,
1.079999e+00,3.686695e-01,-8.391402e-01,3.999082e-01,-3.314105e+01,1.178622e+01,6.843348e-01,1.545190e+02,1.010088e+02,-2.384168e+01,4.128873e-06,
1.109999e+00,3.699113e-01,-8.384112e-01,4.002903e-01,-3.309634e+01,1.179816e+01,6.849557e-01,1.544784e+02,1.009202e+02,-2.383660e+01,4.133708e-06,
1.139999e+00,3.691424e-01,-8.385954e-01,4.006141e-01,-3.312066e+01,1.180829e+01,6.845712e-01,1.544652e+02,1.009447e+02,-2.383963e+01,4.130824e-06,
1.169999e+00,3.701200e-01,-8.383726e-01,4.001781e-01,-3.308989e+01,1.179466e+01,6.850600e-01,1.544836e+02,1.009057e+02,-2.383578e+01,4.134490e-06,
1.199999e+00,3.691368e-01,-8.387829e-01,4.002265e-01,-3.312318e+01,1.179617e+01,6.845684e-01,1.544918e+02,1.009180e+02,-2.384085e+01,4.129668e-06,
