Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2025-08-22
Time (HH:MM:SS):	17:37:35
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	5000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           12 	
        2	           17 	
        3	           20 	
        4	           17 	
        5	           17 	
        6	           19 	
        7	           15 	
        8	           12 	
        9	           18 	
       10	           12 	
       11	           18 	
       12	           20 	
       13	           19 	
       14	           14 	
       15	           14 	
       16	           14 	
       17	           19 	
       18	            9 	
       19	           16 	
       20	           18 	
       21	           22 	
       22	            8 	
       23	           15 	
       24	           21 	
       25	           15 	
       26	           21 	
       27	           13 	
       28	            9 	
       29	           17 	
       30	           16 	
       31	           20 	
       32	           20 	
       33	           16 	
       34	           13 	
       35	           19 	
       36	           18 	
       37	           16 	
       38	           19 	
       39	           13 	
       40	            7 	
       41	           18 	
       42	           20 	
       43	           13 	
       44	           17 	
       45	           15 	
       46	           15 	
       47	           15 	
       48	           13 	
       49	           13 	
       50	           11 	
       51	           14 	
       52	           14 	
       53	           13 	
       54	           12 	
       55	           18 	
       56	            9 	
       57	           11 	
       58	           17 	
       59	           15 	
       60	           18 	
       61	           17 	
       62	           12 	
       63	           17 	
       64	           19 	
       65	           15 	
       66	           17 	
       67	           17 	
       68	            7 	
       69	            7 	
       70	           13 	
       71	           11 	
       72	           11 	
       73	           13 	
       74	           20 	
       75	            9 	
       76	           17 	
       77	           18 	
       78	           19 	
       79	           17 	
       80	           18 	
       81	           18 	
       82	           13 	
       83	            9 	
       84	           25 	
       85	           16 	
       86	           17 	
       87	           19 	
       88	           18 	
       89	           17 	
       90	           21 	
       91	           22 	
       92	           13 	
       93	           19 	
       94	           12 	
       95	           10 	
       96	            9 	
       97	           12 	
       98	           19 	
       99	            8 	
      100	           10 	
      101	           16 	
      102	           14 	
      103	           11 	
      104	           17 	
      105	           22 	
      106	           17 	
      107	           17 	
      108	           11 	
      109	           15 	
      110	           13 	
      111	           15 	
      112	           11 	
      113	           12 	
      114	           15 	
      115	           18 	
      116	           21 	
      117	           25 	
      118	           10 	
      119	           12 	
      120	           19 	
      121	           11 	
      122	           14 	
      123	           14 	
      124	           21 	
      125	           21 	
      126	           15 	
      127	           19 	
      128	           16 	
      129	           26 	
      130	           12 	
      131	           20 	
      132	           21 	
      133	           10 	
      134	           17 	
      135	           20 	
      136	           18 	
      137	           14 	
      138	           14 	
      139	           19 	
      140	           25 	
      141	           18 	
      142	           13 	
      143	           27 	
      144	           19 	
      145	           18 	
      146	           17 	
      147	           13 	
      148	           14 	
      149	           19 	
      150	           25 	
      151	           10 	
      152	           13 	
      153	           20 	
      154	           11 	
      155	           16 	
      156	           20 	
      157	           18 	
      158	           14 	
      159	            9 	
      160	           16 	
      161	           19 	
      162	           14 	
      163	           17 	
      164	           18 	
      165	           20 	
      166	           12 	
      167	           12 	
      168	           13 	
      169	           14 	
      170	           19 	
      171	           12 	
      172	           14 	
      173	           17 	
      174	           17 	
      175	           13 	
      176	           16 	
      177	           15 	
      178	           17 	
      179	           14 	
      180	           11 	
      181	           11 	
      182	           13 	
      183	           25 	
      184	           14 	
      185	           19 	
      186	           12 	
      187	           20 	
      188	           16 	
      189	           25 	
      190	           23 	
      191	           19 	
      192	           19 	
      193	           13 	
      194	           16 	
      195	            9 	
      196	           15 	
      197	           16 	
      198	           13 	
      199	           20 	
      200	           11 	
      201	           17 	
      202	           18 	
      203	           12 	
      204	           19 	
      205	           21 	
      206	           21 	
      207	           13 	
      208	           18 	
      209	           13 	
      210	           16 	
      211	           20 	
      212	           10 	
      213	            9 	
      214	           18 	
      215	           16 	
      216	           18 	
      217	           14 	
      218	            9 	
      219	           11 	
      220	           14 	
      221	           18 	
      222	           12 	
      223	            8 	
      224	           18 	
      225	           14 	
      226	           21 	
      227	           14 	
      228	           11 	
      229	           23 	
      230	           12 	
      231	           10 	
      232	           19 	
      233	           18 	
      234	           24 	
      235	           15 	
      236	           17 	
      237	           20 	
      238	           12 	
      239	           17 	
      240	           25 	
      241	           11 	
      242	           12 	
      243	           15 	
      244	           23 	
      245	           21 	
      246	           15 	
      247	           11 	
      248	           16 	
      249	           14 	
      250	           17 	
      251	           12 	
      252	           16 	
      253	           16 	
      254	           27 	
      255	           18 	
      256	           11 	
      257	           15 	
      258	           21 	
      259	           13 	
      260	           19 	
      261	           12 	
      262	           17 	
      263	           20 	
      264	           12 	
      265	           17 	
      266	           14 	
      267	           16 	
      268	           14 	
      269	           12 	
      270	           10 	
      271	           11 	
      272	           23 	
      273	           19 	
      274	           11 	
      275	           25 	
      276	           18 	
      277	           21 	
      278	           11 	
      279	           15 	
      280	           20 	
      281	           15 	
      282	           12 	
      283	           20 	
      284	           14 	
      285	           10 	
      286	           17 	
      287	           29 	
      288	           18 	
      289	           22 	
      290	           23 	
      291	           19 	
      292	           22 	
      293	           24 	
      294	           12 	
      295	           11 	
      296	           15 	
      297	           16 	
      298	           17 	
      299	           16 	
      300	           15 	
      301	            9 	
      302	           16 	
      303	           13 	
      304	           13 	
      305	           12 	
      306	           11 	
      307	           17 	
      308	           15 	
      309	           18 	
      310	           13 	
      311	           11 	
      312	           21 	
      313	           20 	
      314	           16 	
      315	           12 	
      316	            9 	
      317	           11 	
      318	           18 	
      319	           15 	
      320	           12 	
      321	           10 	
      322	           19 	
      323	           18 	
      324	           20 	
      325	           17 	
      326	           12 	
      327	           17 	
      328	           14 	
      329	           21 	
      330	           12 	
      331	           21 	
      332	           12 	
      333	           19 	
      334	           25 	
      335	           20 	
      336	           17 	
      337	           17 	
      338	           17 	
      339	           11 	
      340	           19 	
      341	            8 	
      342	           13 	
      343	           26 	
      344	           12 	
      345	           24 	
      346	           18 	
      347	           10 	
      348	           16 	
      349	           13 	
      350	           17 	
      351	           18 	
      352	           10 	
      353	           14 	
      354	           10 	
      355	           13 	
      356	           16 	
      357	           13 	
      358	           10 	
      359	           17 	
      360	           14 	
      361	           11 	
      362	           13 	
      363	           16 	
      364	           22 	
      365	           11 	
      366	           11 	
      367	           11 	
      368	           19 	
      369	           16 	
      370	           14 	
      371	           16 	
      372	           14 	
      373	           11 	
      374	           20 	
      375	           17 	
      376	           19 	
      377	           16 	
      378	           18 	
      379	           14 	
      380	           12 	
      381	           18 	
      382	           14 	
      383	           16 	
      384	           13 	
      385	           16 	
      386	           10 	
      387	           12 	
      388	           14 	
      389	           18 	
      390	           16 	
      391	           19 	
      392	           16 	
      393	           21 	
      394	           10 	
      395	           15 	
      396	           19 	
      397	           18 	
      398	           24 	
      399	           12 	
      400	           19 	
      401	           14 	
      402	            8 	
      403	           19 	
      404	           14 	
      405	           17 	
      406	           22 	
      407	           17 	
      408	           21 	
      409	           18 	
      410	           13 	
      411	           23 	
      412	           16 	
      413	           24 	
      414	           13 	
      415	           17 	
      416	           20 	
      417	           19 	
      418	           17 	
      419	           14 	
      420	           21 	
      421	           12 	
      422	           18 	
      423	           12 	
      424	           21 	
      425	           17 	
      426	           10 	
      427	           13 	
      428	           12 	
      429	           16 	
      430	           19 	
      431	           17 	
      432	           16 	
      433	            8 	
      434	           17 	
      435	           18 	
      436	           14 	
      437	           23 	
      438	           14 	
      439	           12 	
      440	           13 	
      441	           13 	
      442	           18 	
      443	           11 	
      444	           15 	
      445	           10 	
      446	           12 	
      447	           22 	
      448	           18 	
      449	           15 	
      450	           14 	
      451	           20 	
      452	            9 	
      453	           11 	
      454	           11 	
      455	           21 	
      456	           17 	
      457	           20 	
      458	           12 	
      459	           14 	
      460	           20 	
      461	           25 	
      462	           17 	
      463	           15 	
      464	           24 	
      465	           13 	
      466	           17 	
      467	           17 	
      468	            8 	
      469	            6 	
      470	           28 	
      471	           21 	
      472	           13 	
      473	           13 	
      474	           12 	
      475	           14 	
      476	           16 	
      477	           16 	
      478	           18 	
      479	           14 	
      480	           20 	
      481	           22 	
      482	           13 	
      483	           23 	
      484	           15 	
      485	           13 	
      486	           11 	
      487	           19 	
      488	           17 	
      489	           16 	
      490	           16 	
      491	           14 	
      492	           17 	
      493	            8 	
      494	           28 	
      495	           14 	
      496	           14 	
      497	           16 	
      498	           15 	
      499	           15 	
      500	           21 	
      501	           13 	
      502	            8 	
      503	           12 	
      504	           14 	
      505	           22 	
      506	           14 	
      507	           13 	
      508	           24 	
      509	           14 	
      510	           15 	
      511	           18 	
      512	           16 	
      513	           14 	
      514	           16 	
      515	           21 	
      516	           16 	
      517	           16 	
      518	           14 	
      519	           23 	
      520	            9 	
      521	           23 	
      522	           20 	
      523	           18 	
      524	           12 	
      525	           15 	
      526	           14 	
      527	           19 	
      528	           18 	
      529	           22 	
      530	           11 	
      531	           11 	
      532	           15 	
      533	           13 	
      534	           17 	
      535	            8 	
      536	           16 	
      537	           13 	
      538	           18 	
      539	           18 	
      540	           14 	
      541	           12 	
      542	           18 	
      543	           14 	
      544	           14 	
      545	           13 	
      546	           15 	
      547	           17 	
      548	           13 	
      549	           16 	
      550	           11 	
      551	           11 	
      552	           11 	
      553	           17 	
      554	           17 	
      555	           19 	
      556	           15 	
      557	           11 	
      558	           17 	
      559	           14 	
      560	           17 	
      561	           17 	
      562	            9 	
      563	           14 	
      564	           10 	
      565	           19 	
      566	           16 	
      567	           13 	
      568	           23 	
      569	           14 	
      570	           10 	
      571	           14 	
      572	           19 	
      573	           15 	
      574	           20 	
      575	            9 	
      576	           14 	
      577	           15 	
      578	           21 	
      579	           17 	
      580	           20 	
      581	           22 	
      582	           16 	
      583	           19 	
      584	           10 	
      585	           19 	
      586	           14 	
      587	           19 	
      588	           17 	
      589	           17 	
      590	           19 	
      591	           12 	
      592	           10 	
      593	           19 	
      594	           10 	
      595	           10 	
      596	           11 	
      597	           22 	
      598	           15 	
      599	           16 	
      600	           23 	
      601	           12 	
      602	           19 	
      603	           14 	
      604	           13 	
      605	            9 	
      606	            8 	
      607	           11 	
      608	           21 	
      609	           13 	
      610	           16 	
      611	            9 	
      612	           14 	
      613	            7 	
      614	           14 	
      615	            6 	
      616	           13 	
      617	           21 	
      618	           14 	
      619	           14 	
      620	           20 	
      621	           18 	
      622	           14 	
      623	           16 	
      624	           15 	
      625	           19 	
      626	           20 	
      627	           13 	
      628	           10 	
      629	           11 	
      630	           13 	
      631	           17 	
      632	            9 	
      633	           14 	
      634	           12 	
      635	           18 	
      636	           20 	
      637	           18 	
      638	           19 	
      639	           19 	
      640	           16 	
      641	           17 	
      642	           13 	
      643	           13 	
      644	           18 	
      645	           14 	
      646	           10 	
      647	           14 	
      648	           28 	
      649	           17 	
      650	           14 	
      651	           16 	
      652	           16 	
      653	           17 	
      654	           14 	
      655	           24 	
      656	           18 	
      657	           12 	
      658	           10 	
      659	           17 	
      660	           15 	
      661	           16 	
      662	           18 	
      663	           18 	
      664	           11 	
      665	           18 	
      666	           15 	
      667	           17 	
      668	           12 	
      669	           14 	
      670	           15 	
      671	           11 	
      672	           10 	
      673	           13 	
      674	           17 	
      675	           10 	
      676	           12 	
      677	           14 	
      678	           12 	
      679	           14 	
      680	           22 	
      681	            9 	
      682	           17 	
      683	           10 	
      684	           18 	
      685	           11 	
      686	           17 	
      687	           17 	
      688	           10 	
      689	           16 	
      690	           14 	
      691	           22 	
      692	           15 	
      693	           21 	
      694	           17 	
      695	           17 	
      696	           11 	
      697	           19 	
      698	           18 	
      699	           10 	
      700	           13 	
      701	           20 	
      702	           13 	
      703	           20 	
      704	           20 	
      705	           15 	
      706	           17 	
      707	           12 	
      708	           21 	
      709	           14 	
      710	           26 	
      711	           15 	
      712	           10 	
      713	           10 	
      714	           16 	
      715	           19 	
      716	           18 	
      717	           18 	
      718	           17 	
      719	           13 	
      720	           18 	
      721	           15 	
      722	            9 	
      723	            9 	
      724	           14 	
      725	           18 	
      726	           15 	
      727	           17 	
      728	           19 	
      729	           16 	
      730	           15 	
      731	           15 	
      732	           25 	
      733	           13 	
      734	           16 	
      735	           13 	
      736	           13 	
      737	           17 	
      738	           12 	
      739	           14 	
      740	           10 	
      741	           20 	
      742	           18 	
      743	           16 	
      744	           18 	
      745	           17 	
      746	           15 	
      747	           22 	
      748	           18 	
      749	           16 	
      750	           21 	
      751	           14 	
      752	           14 	
      753	           12 	
      754	           24 	
      755	           14 	
      756	           14 	
      757	           15 	
      758	           12 	
      759	           14 	
      760	           16 	
      761	           23 	
      762	           13 	
      763	           16 	
      764	           19 	
      765	           20 	
      766	           11 	
      767	           23 	
      768	           18 	
      769	           15 	
      770	           17 	
      771	           27 	
      772	           15 	
      773	           18 	
