Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2025-08-22
Time (HH:MM:SS):	18:00:14
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	5000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           59 	
        2	           56 	
        3	           76 	
        4	           59 	
        5	           71 	
        6	           63 	
        7	           63 	
        8	           59 	
        9	           75 	
       10	           64 	
       11	           57 	
       12	           73 	
       13	           60 	
       14	           67 	
       15	           63 	
       16	           80 	
       17	           61 	
       18	           59 	
       19	           59 	
       20	           62 	
       21	           77 	
       22	           77 	
       23	           54 	
       24	           68 	
       25	           65 	
       26	           69 	
       27	           61 	
       28	           68 	
       29	           70 	
       30	           77 	
       31	           76 	
       32	           75 	
       33	           68 	
       34	           68 	
       35	           64 	
       36	           76 	
       37	           53 	
       38	           61 	
       39	           56 	
       40	           66 	
       41	           66 	
       42	           72 	
       43	           65 	
       44	           66 	
       45	           59 	
       46	           65 	
       47	           56 	
       48	           70 	
       49	           57 	
       50	           71 	
       51	           63 	
       52	           46 	
       53	           67 	
       54	           51 	
       55	           72 	
       56	           85 	
       57	           70 	
       58	           72 	
       59	           63 	
       60	           70 	
       61	           57 	
       62	           50 	
       63	           83 	
       64	           49 	
       65	           61 	
       66	           67 	
       67	           52 	
       68	           59 	
       69	           57 	
       70	           62 	
       71	           72 	
       72	           75 	
       73	           53 	
       74	           57 	
       75	           62 	
       76	           76 	
       77	           54 	
       78	           70 	
       79	           67 	
       80	           62 	
       81	           71 	
       82	           79 	
       83	           58 	
       84	           59 	
       85	           59 	
       86	           60 	
       87	           63 	
       88	           56 	
       89	           69 	
       90	           68 	
       91	           69 	
       92	           69 	
       93	           75 	
       94	           53 	
       95	           51 	
       96	           62 	
       97	           64 	
       98	           66 	
       99	           49 	
      100	           54 	
      101	           58 	
      102	           65 	
      103	           82 	
      104	           73 	
      105	           69 	
      106	           80 	
      107	           73 	
      108	           72 	
      109	           49 	
      110	           77 	
      111	           70 	
      112	           69 	
      113	           62 	
      114	           61 	
      115	           72 	
      116	           66 	
      117	           56 	
      118	           55 	
      119	           59 	
      120	           53 	
      121	           77 	
      122	           59 	
      123	           60 	
      124	           60 	
      125	           72 	
      126	           60 	
      127	           37 	
      128	           62 	
      129	           67 	
      130	           69 	
      131	           56 	
      132	           62 	
      133	           52 	
      134	           58 	
      135	           40 	
      136	           70 	
      137	          102 	
      138	           60 	
      139	           71 	
      140	           69 	
      141	           73 	
      142	           70 	
      143	           59 	
      144	           71 	
      145	           71 	
      146	           54 	
      147	           54 	
      148	           56 	
      149	           74 	
      150	           63 	
      151	           67 	
      152	           55 	
      153	           74 	
      154	           62 	
      155	           68 	
      156	           64 	
      157	           62 	
      158	           67 	
      159	           49 	
      160	           58 	
      161	           80 	
      162	           65 	
      163	           71 	
      164	           63 	
      165	           69 	
      166	           82 	
      167	           82 	
      168	           64 	
      169	           61 	
      170	           61 	
      171	           61 	
      172	           70 	
      173	           66 	
      174	           54 	
      175	           59 	
      176	           57 	
      177	           66 	
      178	           63 	
      179	           64 	
      180	           65 	
      181	           52 	
      182	           51 	
      183	           63 	
      184	           67 	
      185	           53 	
      186	           57 	
      187	           54 	
      188	           69 	
      189	           64 	
      190	           64 	
      191	           58 	
      192	           60 	
      193	           65 	
      194	           64 	
      195	           67 	
      196	           46 	
      197	           64 	
      198	           53 	
      199	           63 	
      200	           73 	
      201	           74 	
      202	           86 	
      203	           59 	
      204	           54 	
      205	           66 	
      206	           47 	
      207	           60 	
      208	           75 	
      209	           53 	
      210	           62 	
      211	           74 	
      212	           75 	
      213	           73 	
      214	           67 	
      215	           78 	
      216	           60 	
      217	           73 	
      218	           60 	
      219	           67 	
      220	           68 	
      221	           75 	
      222	           59 	
      223	           72 	
      224	           51 	
      225	           57 	
      226	           54 	
      227	           70 	
      228	           67 	
      229	           57 	
      230	           61 	
      231	           67 	
      232	           56 	
      233	           56 	
      234	           48 	
      235	           63 	
      236	           58 	
      237	           57 	
      238	           75 	
      239	           82 	
      240	           59 	
      241	           79 	
      242	           80 	
      243	           54 	
      244	           74 	
      245	           56 	
      246	           66 	
      247	           62 	
      248	           66 	
      249	           62 	
      250	           55 	
      251	           64 	
      252	           45 	
      253	           60 	
      254	           53 	
      255	           66 	
      256	           52 	
      257	           65 	
      258	           68 	
      259	           57 	
      260	           59 	
      261	           70 	
      262	           58 	
      263	           66 	
      264	           78 	
