Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2025-08-22
Time (HH:MM:SS):	18:01:35
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	5000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          102 	
        2	           89 	
        3	          103 	
        4	          112 	
        5	           90 	
        6	           99 	
        7	           99 	
        8	           73 	
        9	           99 	
       10	          104 	
       11	           88 	
       12	          105 	
       13	           94 	
       14	          103 	
       15	           92 	
       16	          104 	
       17	           96 	
       18	           92 	
       19	           85 	
       20	           88 	
       21	           96 	
       22	          100 	
       23	           80 	
       24	           94 	
       25	           91 	
       26	          101 	
       27	           84 	
       28	           91 	
       29	          103 	
       30	           79 	
       31	           91 	
       32	           85 	
       33	          100 	
       34	           76 	
       35	          110 	
       36	           98 	
       37	           78 	
       38	          105 	
       39	           93 	
       40	           80 	
       41	          100 	
       42	           85 	
       43	           93 	
       44	           93 	
       45	          106 	
       46	           96 	
       47	           91 	
       48	          116 	
       49	          102 	
       50	           76 	
       51	          104 	
       52	          101 	
       53	           81 	
       54	           87 	
       55	           91 	
       56	          107 	
       57	           87 	
       58	           97 	
       59	           92 	
       60	           77 	
       61	           90 	
       62	           79 	
       63	          107 	
       64	           89 	
       65	           92 	
       66	           98 	
       67	           74 	
       68	           83 	
       69	          107 	
       70	          102 	
       71	          110 	
       72	           99 	
       73	           96 	
       74	           98 	
       75	           84 	
       76	          106 	
       77	          116 	
       78	          106 	
       79	          101 	
       80	           98 	
       81	           92 	
       82	           96 	
       83	          107 	
       84	           91 	
       85	           82 	
       86	           93 	
       87	           90 	
       88	           83 	
       89	          104 	
       90	          106 	
       91	           96 	
       92	          102 	
       93	           83 	
       94	          109 	
       95	          104 	
       96	           96 	
       97	           74 	
       98	          105 	
       99	          111 	
      100	           91 	
      101	          101 	
      102	           99 	
      103	          105 	
      104	           89 	
      105	          106 	
      106	           98 	
      107	          118 	
      108	           77 	
      109	          121 	
      110	           96 	
      111	           95 	
      112	           94 	
      113	           89 	
      114	           84 	
      115	          100 	
      116	           98 	
      117	          110 	
      118	           90 	
      119	           99 	
      120	          134 	
      121	           94 	
      122	           97 	
      123	           92 	
      124	           91 	
      125	           94 	
      126	           88 	
      127	           98 	
      128	          103 	
      129	          102 	
      130	           74 	
      131	           90 	
      132	          104 	
      133	           90 	
      134	           94 	
      135	           88 	
      136	           97 	
      137	           82 	
      138	          105 	
      139	           91 	
      140	           91 	
      141	           95 	
      142	          100 	
      143	           96 	
      144	          114 	
      145	           85 	
      146	           88 	
      147	           91 	
      148	          104 	
      149	           98 	
      150	           84 	
      151	           99 	
      152	           90 	
      153	           83 	
      154	           81 	
      155	           74 	
      156	          105 	
      157	          106 	
      158	           97 	
      159	           98 	
      160	           89 	
      161	           81 	
      162	           82 	
      163	           91 	
      164	           92 	
      165	           86 	
      166	          105 	
      167	          102 	
      168	           98 	
      169	          105 	
      170	           93 	
      171	           86 	
      172	           94 	
      173	           90 	
      174	          117 	
      175	           87 	
      176	           90 	
      177	          104 	
      178	           98 	
      179	           94 	
      180	           99 	
      181	           85 	
      182	           82 	
      183	          104 	
      184	          122 	
      185	           97 	
      186	           97 	
      187	           92 	
      188	          102 	
      189	           98 	
      190	           98 	
      191	           83 	
      192	           94 	
      193	          104 	
      194	          110 	
      195	           99 	
      196	          105 	
      197	          119 	
      198	           90 	
      199	           75 	
      200	           92 	
      201	           86 	
      202	           82 	
      203	           97 	
      204	           90 	
      205	           99 	
      206	           94 	
      207	           95 	
      208	           93 	
      209	           96 	
      210	           92 	
      211	           96 	
      212	           85 	
      213	          100 	
      214	           95 	
      215	           91 	
      216	           89 	
      217	          100 	
      218	          101 	
      219	           89 	
      220	           99 	
      221	          106 	
      222	           84 	
      223	           97 	
      224	          104 	
      225	           81 	
      226	          102 	
      227	           92 	
      228	           98 	
      229	           97 	
      230	           98 	
      231	           99 	
      232	           82 	
      233	           79 	
      234	          106 	
      235	          105 	
      236	           96 	
      237	          107 	
      238	          109 	
      239	          107 	
      240	           99 	
      241	           98 	
      242	           92 	
      243	           93 	
      244	           96 	
      245	           88 	
      246	           90 	
      247	           95 	
      248	          105 	
      249	          102 	
      250	           88 	
      251	           78 	
      252	           88 	
      253	          105 	
      254	          113 	
      255	          101 	
      256	           86 	
      257	          102 	
      258	           89 	
      259	          107 	
      260	           88 	
      261	           87 	
      262	           89 	
      263	           94 	
      264	          101 	
      265	           90 	
      266	           85 	
      267	           76 	
      268	           89 	
      269	           87 	
      270	          101 	
      271	           93 	
      272	           96 	
      273	          111 	
      274	          104 	
      275	           90 	
      276	           90 	
      277	           95 	
      278	          108 	
      279	          107 	
      280	          123 	
      281	           97 	
      282	           97 	
      283	          100 	
      284	           98 	
      285	           82 	
      286	          113 	
      287	           93 	
      288	           83 	
      289	          103 	
      290	          100 	
      291	           76 	
      292	           83 	
      293	           92 	
      294	          111 	
      295	           91 	
      296	           89 	
      297	          114 	
      298	          102 	
      299	           98 	
      300	           91 	
      301	           77 	
      302	          106 	
      303	           84 	
      304	           96 	
      305	          101 	
      306	           99 	
      307	           87 	
      308	          108 	
      309	           94 	
      310	           99 	
      311	           90 	
      312	           91 	
      313	           89 	
      314	          100 	
      315	           95 	
      316	          113 	
      317	           95 	
      318	           93 	
      319	           82 	
      320	          119 	
      321	           86 	
      322	           81 	
      323	           96 	
      324	           92 	
      325	          107 	
      326	           96 	
      327	          121 	
      328	           90 	
      329	           92 	
      330	           93 	
      331	           92 	
      332	           94 	
      333	           87 	
      334	           90 	
      335	           79 	
      336	          115 	
      337	           95 	
      338	           89 	
      339	           96 	
      340	          102 	
      341	          102 	
      342	           99 	
      343	          101 	
      344	          116 	
      345	           93 	
      346	           84 	
      347	           81 	
      348	           92 	
      349	           76 	
      350	          102 	
      351	          111 	
      352	           86 	
      353	           96 	
      354	          101 	
      355	           87 	
      356	           91 	
      357	           98 	
      358	           83 	
      359	           93 	
      360	          107 	
      361	          107 	
      362	           93 	
      363	           92 	
      364	          111 	
      365	          101 	
      366	           96 	
      367	           89 	
      368	          104 	
      369	           89 	
      370	          108 	
      371	          101 	
      372	           79 	
      373	          103 	
      374	           83 	
      375	           81 	
      376	           94 	
      377	           98 	
      378	           95 	
      379	           91 	
      380	           78 	
      381	           93 	
      382	           92 	
      383	           84 	
      384	          101 	
      385	          100 	
      386	           92 	
      387	           91 	
      388	           98 	
      389	           97 	
      390	          107 	
      391	          106 	
      392	          122 	
      393	           87 	
      394	           93 	
      395	           83 	
      396	          104 	
      397	          105 	
      398	          102 	
      399	           85 	
      400	           97 	
      401	          110 	
      402	          105 	
      403	           88 	
      404	           93 	
      405	          103 	
      406	           92 	
      407	           91 	
      408	          107 	
      409	          111 	
      410	           93 	
      411	          104 	
      412	           91 	
      413	           98 	
      414	          108 	
      415	           88 	
      416	          107 	
      417	          100 	
      418	           99 	
      419	           85 	
      420	           96 	
      421	           82 	
      422	          103 	
      423	           94 	
      424	           78 	
