"Date","August-23-2025"
"Time","17h59m16s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-6.145592e-01,6.090426e-01,5.013823e-01,6.762916e+01,1.504575e+01,1.927204e-01,3.946225e+01,1.001812e+02,-2.280480e+01,5.242281e-06,
2.999998e-02,-6.130695e-01,6.111355e-01,5.006588e-01,6.754526e+01,1.502180e+01,1.934653e-01,3.932527e+01,1.005635e+02,-2.280809e+01,5.238311e-06,
5.999997e-02,-6.143703e-01,6.090360e-01,5.016217e-01,6.762491e+01,1.505367e+01,1.928149e-01,3.947597e+01,1.004280e+02,-2.281229e+01,5.233240e-06,
8.999995e-02,-6.127611e-01,6.119281e-01,5.000677e-01,6.751949e+01,1.500224e+01,1.936194e-01,3.925570e+01,1.004574e+02,-2.281282e+01,5.232606e-06,
1.199999e-01,-6.158049e-01,6.095961e-01,4.991762e-01,6.764515e+01,1.497276e+01,1.920976e-01,3.931280e+01,1.005879e+02,-2.282308e+01,5.220260e-06,
1.499999e-01,-6.131613e-01,6.101751e-01,5.017167e-01,6.756993e+01,1.505682e+01,1.934193e-01,3.942876e+01,1.001057e+02,-2.281337e+01,5.231944e-06,
1.799999e-01,-6.126167e-01,6.116321e-01,5.006066e-01,6.752304e+01,1.502007e+01,1.936916e-01,3.929952e+01,1.005107e+02,-2.281763e+01,5.226817e-06,
2.099999e-01,-6.140785e-01,6.094986e-01,5.014171e-01,6.760723e+01,1.504690e+01,1.929607e-01,3.944316e+01,1.004984e+02,-2.282449e+01,5.218569e-06,
2.399999e-01,-6.121167e-01,6.114288e-01,5.014659e-01,6.751611e+01,1.504851e+01,1.939417e-01,3.935703e+01,1.002342e+02,-2.282078e+01,5.223029e-06,
2.699999e-01,-6.142409e-01,6.115008e-01,4.987733e-01,6.756404e+01,1.495944e+01,1.928795e-01,3.920255e+01,1.006508e+02,-2.283160e+01,5.210022e-06,
2.999998e-01,-6.155175e-01,6.090478e-01,5.001989e-01,6.765135e+01,1.500658e+01,1.922412e-01,3.939558e+01,1.004302e+02,-2.283534e+01,5.205541e-06,
3.299998e-01,-6.122583e-01,6.113361e-01,5.014059e-01,6.752159e+01,1.504653e+01,1.938708e-01,3.935793e+01,1.001687e+02,-2.282479e+01,5.218209e-06,
3.599998e-01,-6.131152e-01,6.111371e-01,5.006008e-01,6.754629e+01,1.501988e+01,1.934424e-01,3.932193e+01,1.006104e+02,-2.283454e+01,5.206507e-06,
3.899998e-01,-6.137311e-01,6.094777e-01,5.018676e-01,6.759962e+01,1.506182e+01,1.931344e-01,3.946937e+01,1.003690e+02,-2.283652e+01,5.204127e-06,
4.199998e-01,-6.123420e-01,6.121128e-01,5.003551e-01,6.750536e+01,1.501175e+01,1.938290e-01,3.926336e+01,1.003469e+02,-2.283476e+01,5.206241e-06,
