Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2025-08-23
Time (HH:MM:SS):	12:26:35
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	5000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         2372 	
        2	         2439 	
        3	         2470 	
        4	         2443 	
        5	         2324 	
        6	         2429 	
        7	         2453 	
        8	         2458 	
        9	         2466 	
       10	         2425 	
       11	         2367 	
       12	         2437 	
       13	         2410 	
       14	         2441 	
       15	         2455 	
       16	         2495 	
       17	         2517 	
       18	         2454 	
       19	         2429 	
       20	         2475 	
       21	         2421 	
       22	         2508 	
       23	         2381 	
       24	         2412 	
       25	         2457 	
       26	         2517 	
       27	         2431 	
       28	         2443 	
       29	         2479 	
       30	         2447 	
       31	         2442 	
       32	         2403 	
       33	         2516 	
       34	         2386 	
       35	         2463 	
       36	         2344 	
       37	         2482 	
       38	         2324 	
       39	         2483 	
       40	         2533 	
       41	         2522 	
       42	         2532 	
       43	         2435 	
       44	         2444 	
       45	         2452 	
       46	         2432 	
       47	         2416 	
       48	         2446 	
       49	         2470 	
       50	         2482 	
       51	         2387 	
       52	         2376 	
       53	         2469 	
       54	         2373 	
       55	         2438 	
       56	         2410 	
       57	         2455 	
       58	         2457 	
       59	         2382 	
       60	         2383 	
       61	         2373 	
       62	         2474 	
       63	         2473 	
       64	         2500 	
       65	         2399 	
       66	         2395 	
       67	         2457 	
       68	         2446 	
       69	         2416 	
       70	         2418 	
       71	         2440 	
       72	         2548 	
       73	         2448 	
       74	         2425 	
       75	         2459 	
       76	         2489 	
       77	         2438 	
       78	         2477 	
       79	         2458 	
       80	         2364 	
       81	         2509 	
       82	         2432 	
       83	         2483 	
       84	         2488 	
       85	         2480 	
       86	         2453 	
       87	         2423 	
       88	         2481 	
       89	         2518 	
       90	         2355 	
       91	         2351 	
       92	         2425 	
       93	         2582 	
       94	         2460 	
       95	         2421 	
       96	         2495 	
       97	         2436 	
       98	         2430 	
       99	         2465 	
      100	         2413 	
      101	         2374 	
      102	         2525 	
      103	         2461 	
      104	         2359 	
      105	         2442 	
      106	         2478 	
      107	         2506 	
      108	         2423 	
      109	         2398 	
      110	         2461 	
      111	         2462 	
      112	         2421 	
      113	         2433 	
      114	         2501 	
      115	         2437 	
      116	         2386 	
      117	         2409 	
      118	         2533 	
      119	         2439 	
      120	         2458 	
      121	         2516 	
      122	         2381 	
      123	         2378 	
      124	         2431 	
      125	         2419 	
      126	         2357 	
      127	         2488 	
      128	         2428 	
      129	         2429 	
      130	         2473 	
      131	         2453 	
      132	         2471 	
      133	         2410 	
      134	         2411 	
      135	         2467 	
      136	         2411 	
      137	         2416 	
      138	         2367 	
      139	         2487 	
      140	         2435 	
      141	         2497 	
      142	         2462 	
      143	         2439 	
      144	         2394 	
      145	         2440 	
      146	         2410 	
      147	         2406 	
      148	         2484 	
      149	         2558 	
      150	         2472 	
      151	         2489 	
      152	         2479 	
      153	         2413 	
      154	         2462 	
      155	         2450 	
      156	         2432 	
      157	         2469 	
      158	         2527 	
      159	         2375 	
      160	         2407 	
      161	         2414 	
      162	         2400 	
      163	         2421 	
      164	         2411 	
      165	         2432 	
      166	         2401 	
      167	         2510 	
      168	         2427 	
      169	         2427 	
      170	         2457 	
      171	         2515 	
      172	         2472 	
      173	         2497 	
      174	         2512 	
      175	         2493 	
      176	         2418 	
      177	         2439 	
      178	         2419 	
      179	         2459 	
      180	         2443 	
      181	         2500 	
      182	         2479 	
      183	         2395 	
      184	         2434 	
      185	         2382 	
      186	         2430 	
      187	         2434 	
      188	         2433 	
      189	         2508 	
      190	         2446 	
      191	         2476 	
      192	         2393 	
      193	         2422 	
      194	         2376 	
      195	         2349 	
      196	         2426 	
      197	         2509 	
      198	         2372 	
      199	         2407 	
      200	         2448 	
      201	         2470 	
      202	         2484 	
      203	         2480 	
      204	         2393 	
      205	         2435 	
      206	         2496 	
      207	         2485 	
      208	         2457 	
      209	         2522 	
      210	         2488 	
      211	         2486 	
      212	         2460 	
      213	         2525 	
      214	         2409 	
      215	         2454 	
      216	         2459 	
      217	         2397 	
      218	         2435 	
      219	         2484 	
      220	         2485 	
      221	         2456 	
      222	         2430 	
      223	         2458 	
      224	         2371 	
      225	         2415 	
      226	         2347 	
      227	         2431 	
      228	         2362 	
      229	         2451 	
      230	         2457 	
      231	         2395 	
      232	         2422 	
      233	         2348 	
      234	         2459 	
      235	         2415 	
      236	         2371 	
      237	         2404 	
      238	         2411 	
      239	         2475 	
      240	         2428 	
      241	         2441 	
      242	         2423 	
      243	         2464 	
      244	         2370 	
      245	         2505 	
      246	         2466 	
      247	         2416 	
      248	         2373 	
      249	         2482 	
      250	         2420 	
      251	         2431 	
      252	         2391 	
      253	         2405 	
      254	         2492 	
      255	         2412 	
      256	         2494 	
      257	         2499 	
      258	         2495 	
      259	         2454 	
      260	         2460 	
      261	         2477 	
      262	         2476 	
      263	         2437 	
      264	         2529 	
      265	         2463 	
      266	         2451 	
      267	         2430 	
      268	         2424 	
      269	         2527 	
      270	         2457 	
      271	         2446 	
      272	         2395 	
      273	         2550 	
      274	         2451 	
      275	         2426 	
      276	         2467 	
      277	         2441 	
      278	         2376 	
      279	         2374 	
      280	         2451 	
      281	         2395 	
      282	         2455 	
      283	         2524 	
      284	         2474 	
      285	         2438 	
      286	         2404 	
      287	         2408 	
      288	         2439 	
      289	         2429 	
      290	         2375 	
      291	         2489 	
      292	         2417 	
      293	         2379 	
      294	         2387 	
      295	         2466 	
      296	         2462 	
      297	         2426 	
      298	         2465 	
      299	         2441 	
      300	         2465 	
      301	         2437 	
      302	         2499 	
      303	         2469 	
      304	         2337 	
      305	         2460 	
      306	         2445 	
      307	         2447 	
      308	         2451 	
      309	         2414 	
      310	         2389 	
      311	         2446 	
      312	         2340 	
      313	         2446 	
      314	         2426 	
      315	         2466 	
      316	         2417 	
      317	         2497 	
      318	         2438 	
      319	         2422 	
      320	         2410 	
      321	         2406 	
      322	         2470 	
      323	         2476 	
      324	         2448 	
      325	         2454 	
      326	         2477 	
      327	         2522 	
      328	         2462 	
      329	         2384 	
      330	         2447 	
      331	         2429 	
      332	         2495 	
      333	         2557 	
      334	         2425 	
      335	         2531 	
      336	         2473 	
      337	         2452 	
      338	         2409 	
      339	         2426 	
      340	         2476 	
      341	         2423 	
      342	         2401 	
      343	         2408 	
      344	         2362 	
      345	         2448 	
      346	         2383 	
      347	         2483 	
      348	         2505 	
      349	         2509 	
      350	         2483 	
      351	         2475 	
      352	         2492 	
      353	         2503 	
      354	         2517 	
      355	         2437 	
      356	         2481 	
      357	         2484 	
      358	         2411 	
      359	         2461 	
      360	         2437 	
      361	         2519 	
      362	         2422 	
      363	         2515 	
      364	         2415 	
      365	         2493 	
      366	         2525 	
      367	         2494 	
