Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2025-09-05
Time (HH:MM:SS):	21:09:29
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	5000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	            3 	
        2	            1 	
        3	            7 	
        4	            6 	
        5	            7 	
        6	            6 	
        7	            7 	
        8	            8 	
        9	            5 	
       10	            7 	
       11	            6 	
       12	            3 	
       13	            0 	
       14	            4 	
       15	            4 	
       16	            3 	
       17	            5 	
       18	            6 	
       19	            5 	
       20	            6 	
       21	           12 	
       22	            4 	
       23	            3 	
       24	            3 	
       25	            6 	
       26	            8 	
       27	            2 	
       28	            2 	
       29	            7 	
       30	            4 	
       31	            6 	
       32	            7 	
       33	            5 	
       34	            7 	
       35	            1 	
       36	            5 	
       37	            7 	
       38	            2 	
       39	            6 	
       40	            6 	
       41	            4 	
       42	            2 	
       43	            4 	
       44	            6 	
       45	            5 	
       46	            0 	
       47	            7 	
       48	            4 	
       49	            9 	
       50	            8 	
       51	            4 	
       52	            7 	
       53	            4 	
       54	            6 	
       55	            6 	
       56	            4 	
       57	            5 	
       58	            4 	
       59	            3 	
       60	            7 	
       61	            3 	
       62	            6 	
       63	            6 	
       64	            8 	
       65	            6 	
       66	            3 	
       67	            2 	
       68	            5 	
       69	            8 	
       70	            4 	
       71	            4 	
       72	            6 	
       73	            4 	
       74	            5 	
       75	            1 	
       76	            3 	
       77	            4 	
       78	           11 	
       79	            2 	
       80	            3 	
       81	            0 	
       82	            6 	
       83	            3 	
       84	            5 	
       85	            4 	
       86	            2 	
       87	            6 	
       88	            8 	
       89	            7 	
       90	            2 	
       91	            3 	
       92	            4 	
       93	            6 	
       94	            7 	
       95	            4 	
       96	            2 	
       97	            3 	
       98	            2 	
       99	            4 	
      100	            5 	
      101	            3 	
      102	            6 	
      103	           10 	
      104	           11 	
      105	            6 	
      106	            3 	
      107	            2 	
      108	            6 	
      109	            7 	
      110	            3 	
      111	            3 	
      112	            3 	
      113	            4 	
      114	            3 	
      115	            7 	
      116	            7 	
      117	            2 	
      118	            4 	
      119	            6 	
      120	            6 	
      121	            3 	
      122	            2 	
      123	            6 	
      124	            3 	
      125	            6 	
      126	            9 	
      127	            4 	
      128	            5 	
      129	            6 	
      130	            6 	
      131	            2 	
      132	            9 	
      133	            4 	
      134	            7 	
      135	            3 	
      136	            7 	
      137	            5 	
      138	            7 	
      139	            3 	
      140	            9 	
      141	            6 	
      142	            3 	
      143	            3 	
      144	            7 	
      145	            9 	
      146	            3 	
      147	            1 	
      148	            2 	
      149	            7 	
      150	            0 	
      151	            5 	
      152	            5 	
      153	            4 	
      154	            6 	
      155	            4 	
      156	            8 	
      157	            6 	
      158	            3 	
      159	            5 	
      160	            2 	
      161	            5 	
      162	            5 	
      163	            3 	
      164	            3 	
      165	            7 	
      166	            5 	
      167	           10 	
      168	            7 	
      169	            3 	
      170	            2 	
      171	            4 	
      172	            5 	
      173	            4 	
      174	            7 	
      175	           10 	
      176	            9 	
      177	            5 	
      178	            8 	
      179	            5 	
      180	            4 	
      181	            4 	
      182	            5 	
      183	            6 	
      184	            5 	
      185	            2 	
      186	            3 	
      187	            3 	
      188	            7 	
      189	            7 	
      190	            4 	
      191	            2 	
      192	            4 	
      193	            8 	
      194	            3 	
      195	            5 	
      196	            4 	
      197	            4 	
      198	            2 	
      199	            6 	
      200	            1 	
      201	            6 	
      202	            3 	
      203	            9 	
      204	            6 	
      205	            4 	
      206	            5 	
      207	            7 	
      208	            4 	
      209	            9 	
      210	            5 	
      211	            4 	
      212	            4 	
      213	            7 	
      214	            2 	
      215	            4 	
      216	            5 	
      217	            6 	
      218	            4 	
      219	            6 	
      220	            8 	
      221	            0 	
      222	            4 	
      223	            3 	
      224	            3 	
      225	            4 	
      226	            2 	
      227	            5 	
      228	            2 	
      229	            4 	
      230	            3 	
      231	            3 	
      232	            6 	
      233	            2 	
      234	            7 	
      235	            7 	
      236	            4 	
      237	            4 	
      238	            7 	
      239	            7 	
      240	            7 	
      241	            4 	
      242	            6 	
      243	            3 	
      244	            7 	
      245	            8 	
      246	            3 	
      247	            4 	
      248	            5 	
      249	            3 	
      250	            5 	
      251	            2 	
      252	            6 	
      253	            9 	
      254	            4 	
      255	            6 	
      256	            9 	
      257	            6 	
      258	            6 	
      259	            7 	
      260	            6 	
      261	            8 	
      262	            5 	
      263	            5 	
      264	            8 	
      265	            5 	
      266	            3 	
      267	            6 	
      268	            8 	
      269	            4 	
      270	            2 	
      271	            8 	
      272	            4 	
      273	            4 	
      274	            5 	
      275	            5 	
      276	            5 	
      277	            9 	
      278	            7 	
      279	            8 	
      280	            5 	
      281	            5 	
      282	            3 	
      283	            6 	
      284	            3 	
      285	            6 	
      286	            7 	
      287	            5 	
      288	            4 	
      289	           10 	
      290	            6 	
      291	            5 	
      292	            7 	
      293	            4 	
      294	            4 	
      295	            8 	
      296	            5 	
      297	            8 	
      298	            3 	
      299	            8 	
      300	            4 	
      301	            5 	
      302	            6 	
      303	            5 	
      304	            4 	
      305	            6 	
      306	            8 	
      307	           11 	
      308	            5 	
      309	            6 	
      310	            5 	
      311	            5 	
      312	            8 	
      313	            9 	
      314	            8 	
      315	            4 	
      316	            5 	
      317	            3 	
      318	            2 	
      319	            1 	
      320	            3 	
      321	            6 	
      322	            1 	
      323	            6 	
      324	            2 	
      325	            7 	
      326	            6 	
      327	            4 	
      328	            4 	
      329	            3 	
      330	            1 	
      331	            3 	
      332	            4 	
      333	            5 	
      334	            4 	
      335	            8 	
      336	            5 	
      337	            4 	
      338	            9 	
      339	            6 	
      340	            4 	
      341	            3 	
      342	            8 	
      343	            9 	
      344	            3 	
      345	            5 	
      346	            1 	
      347	            6 	
      348	            7 	
      349	            7 	
      350	            5 	
      351	            4 	
      352	            3 	
      353	            8 	
      354	            3 	
      355	            5 	
      356	            6 	
      357	            2 	
      358	            2 	
      359	            3 	
      360	           15 	
      361	            2 	
      362	            2 	
      363	            2 	
      364	            5 	
      365	           10 	
      366	            3 	
      367	            4 	
      368	            3 	
      369	            5 	
      370	            2 	
      371	            8 	
      372	            6 	
      373	            3 	
      374	            4 	
      375	            5 	
      376	            5 	
      377	            5 	
      378	            2 	
      379	            6 	
      380	            7 	
      381	            5 	
      382	            6 	
      383	            6 	
      384	            8 	
      385	            5 	
      386	            4 	
      387	            3 	
      388	            5 	
      389	            3 	
      390	            4 	
      391	            8 	
      392	            3 	
      393	            4 	
      394	            5 	
      395	            4 	
      396	            7 	
      397	            5 	
      398	            6 	
      399	            6 	
      400	            3 	
      401	            4 	
      402	            8 	
      403	            7 	
      404	            5 	
      405	            3 	
      406	            8 	
      407	            3 	
      408	            4 	
      409	            2 	
      410	            9 	
      411	            3 	
      412	           10 	
      413	            3 	
      414	            3 	
      415	            5 	
      416	            7 	
      417	            3 	
      418	            7 	
      419	            5 	
      420	            5 	
      421	            3 	
      422	            7 	
      423	            7 	
      424	            4 	
      425	            6 	
      426	            2 	
      427	            2 	
      428	            5 	
      429	            5 	
      430	            3 	
      431	            5 	
      432	            3 	
      433	            3 	
      434	            4 	
      435	            4 	
      436	            4 	
      437	            5 	
      438	            7 	
      439	            6 	
      440	            7 	
      441	            8 	
      442	            6 	
      443	            3 	
      444	            4 	
      445	            3 	
      446	            7 	
      447	            3 	
      448	            3 	
      449	            8 	
      450	            3 	
      451	            4 	
      452	            2 	
      453	            4 	
      454	            4 	
      455	            5 	
      456	            5 	
      457	            3 	
      458	            2 	
      459	            2 	
      460	            3 	
      461	            6 	
      462	            3 	
      463	            3 	
      464	            4 	
      465	           10 	
      466	            4 	
      467	            8 	
      468	            7 	
      469	            4 	
      470	            7 	
      471	           10 	
      472	            6 	
      473	           10 	
      474	            8 	
      475	           10 	
      476	            7 	
      477	            2 	
      478	            6 	
      479	            7 	
      480	            6 	
      481	            3 	
      482	            2 	
      483	            1 	
      484	            7 	
      485	            6 	
      486	            3 	
      487	            2 	
      488	            4 	
      489	            9 	
      490	           13 	
      491	            5 	
      492	            5 	
      493	            5 	
      494	            5 	
      495	            6 	
      496	            5 	
      497	            8 	
      498	            1 	
      499	            2 	
      500	            6 	
      501	            3 	
      502	            6 	
      503	            3 	
      504	            6 	
      505	            8 	
      506	            9 	
      507	            7 	
      508	            2 	
      509	            6 	
      510	            6 	
      511	            4 	
      512	            4 	
      513	            4 	
      514	            5 	
      515	            2 	
      516	            4 	
      517	            8 	
      518	            5 	
      519	            6 	
      520	            1 	
      521	           11 	
      522	            6 	
      523	            4 	
      524	            6 	
      525	            3 	
      526	            3 	
      527	            4 	
      528	            5 	
      529	            6 	
      530	            1 	
      531	            7 	
      532	            4 	
      533	            6 	
      534	            3 	
      535	            4 	
      536	            5 	
      537	            2 	
      538	            5 	
      539	            5 	
      540	            6 	
      541	            2 	
      542	            1 	
      543	            6 	
      544	            3 	
      545	            6 	
      546	            6 	
      547	            7 	
      548	            6 	
      549	            6 	
      550	            4 	
      551	            7 	
      552	            4 	
      553	            3 	
      554	            4 	
      555	            3 	
      556	            8 	
      557	            6 	
      558	            4 	
      559	            5 	
      560	            8 	
      561	            6 	
      562	            9 	
      563	            5 	
      564	            5 	
      565	            4 	
      566	            6 	
      567	            6 	
      568	            2 	
      569	            7 	
      570	            8 	
      571	            7 	
      572	            5 	
      573	            1 	
      574	            6 	
      575	            8 	
      576	            8 	
      577	            6 	
      578	            1 	
      579	            2 	
      580	            4 	
      581	            3 	
      582	            7 	
      583	           10 	
      584	            6 	
      585	            4 	
      586	            7 	
      587	            6 	
      588	            3 	
      589	            5 	
      590	            9 	
      591	            6 	
      592	            5 	
      593	            0 	
      594	            4 	
      595	            5 	
      596	            6 	
      597	            4 	
      598	            6 	
      599	            8 	
      600	            4 	
      601	            7 	
      602	            7 	
      603	            8 	
      604	            6 	
      605	            4 	
      606	            4 	
      607	            4 	
      608	            3 	
      609	            2 	
      610	            6 	
      611	            4 	
      612	            7 	
      613	            6 	
      614	            7 	
      615	            4 	
      616	            1 	
      617	            5 	
      618	            3 	
      619	            4 	
      620	            5 	
      621	            1 	
      622	            4 	
      623	            7 	
      624	            9 	
      625	            5 	
      626	            6 	
      627	            5 	
      628	            4 	
      629	            2 	
      630	            2 	
      631	            4 	
      632	           11 	
      633	            6 	
      634	            9 	
      635	            3 	
      636	            4 	
      637	            7 	
      638	            2 	
      639	            4 	
      640	            3 	
      641	            4 	
      642	            3 	
      643	            3 	
      644	            5 	
      645	            5 	
      646	            3 	
      647	            6 	
      648	            5 	
      649	            4 	
      650	            5 	
      651	            3 	
      652	            6 	
      653	            6 	
      654	           12 	
      655	            4 	
      656	            5 	
      657	            5 	
      658	            3 	
      659	            3 	
      660	            4 	
      661	            6 	
      662	            3 	
      663	            6 	
      664	            2 	
      665	           10 	
      666	            2 	
      667	            9 	
      668	            6 	
      669	            3 	
      670	            8 	
      671	            9 	
      672	            4 	
      673	            5 	
      674	            5 	
      675	            6 	
      676	            6 	
      677	            9 	
      678	            3 	
      679	            5 	
      680	            7 	
      681	            6 	
      682	            5 	
      683	            4 	
      684	            3 	
      685	           10 	
      686	            3 	
      687	            8 	
      688	            1 	
      689	           11 	
      690	            6 	
      691	            4 	
      692	            7 	
      693	            8 	
      694	            1 	
      695	            5 	
      696	            8 	
      697	            4 	
      698	            7 	
      699	            7 	
      700	            3 	
      701	            7 	
      702	            1 	
      703	            2 	
      704	            4 	
      705	            1 	
      706	            2 	
      707	            7 	
      708	            6 	
      709	            6 	
      710	            4 	
      711	            6 	
      712	            7 	
      713	            5 	
      714	            3 	
      715	            6 	
      716	            2 	
      717	            2 	
      718	            6 	
      719	            7 	
      720	            3 	
      721	            8 	
      722	            5 	
      723	            2 	
      724	            5 	
      725	            3 	
      726	            7 	
      727	            4 	
      728	            1 	
      729	            6 	
      730	            1 	
      731	            3 	
      732	            5 	
      733	           11 	
      734	            6 	
      735	            2 	
      736	            3 	
      737	            2 	
      738	            4 	
      739	            3 	
      740	            3 	
      741	            3 	
      742	            7 	
      743	            1 	
      744	            4 	
      745	            3 	
      746	            7 	
      747	            3 	
      748	            4 	
      749	            7 	
      750	            3 	
      751	            5 	
      752	            7 	
      753	            2 	
      754	            6 	
      755	            4 	
      756	            3 	
      757	            6 	
      758	            4 	
      759	            4 	
      760	            5 	
      761	            3 	
      762	            4 	
      763	            4 	
      764	            7 	
      765	           11 	
      766	            4 	
      767	           12 	
      768	            4 	
      769	            5 	
      770	            4 	
      771	            1 	
      772	            3 	
      773	           11 	
      774	            3 	
      775	            4 	
      776	            2 	
      777	            7 	
      778	            5 	
      779	            3 	
      780	            7 	
      781	            2 	
      782	            2 	
      783	            4 	
      784	            7 	
      785	            2 	
      786	            6 	
      787	            4 	
      788	            2 	
      789	            8 	
      790	           11 	
      791	            9 	
      792	            6 	
      793	            4 	
      794	            1 	
      795	            5 	
      796	            7 	
      797	            5 	
      798	            5 	
      799	            7 	
      800	            8 	
      801	            4 	
      802	            3 	
      803	            5 	
      804	            6 	
      805	            5 	
      806	            5 	
      807	            8 	
      808	            2 	
      809	            7 	
      810	            3 	
      811	            3 	
      812	            5 	
      813	            5 	
      814	            2 	
      815	            5 	
      816	            4 	
      817	            4 	
      818	            8 	
      819	            5 	
      820	            3 	
      821	            3 	
      822	            9 	
      823	            5 	
      824	            8 	
      825	            5 	
      826	            7 	
      827	            6 	
      828	            4 	
      829	            4 	
      830	            2 	
      831	            9 	
      832	            6 	
      833	            8 	
      834	            3 	
      835	            5 	
      836	            7 	
      837	            7 	
      838	            6 	
      839	            6 	
      840	            5 	
      841	            6 	
      842	            3 	
      843	            8 	
      844	            7 	
      845	            5 	
      846	            7 	
      847	            5 	
      848	            4 	
      849	            5 	
      850	            4 	
      851	           10 	
      852	            9 	
      853	           11 	
      854	            8 	
      855	            5 	
      856	            4 	
      857	            3 	
      858	            3 	
      859	            5 	
      860	            7 	
      861	            8 	
      862	            4 	
      863	           10 	
      864	            2 	
      865	            8 	
      866	            5 	
      867	            4 	
      868	            4 	
      869	            7 	
      870	            4 	
      871	            5 	
      872	            3 	
      873	            8 	
      874	            5 	
      875	            3 	
      876	            4 	
      877	            7 	
      878	            2 	
      879	            6 	
      880	            5 	
      881	            4 	
      882	            7 	
      883	            6 	
      884	            6 	
      885	            3 	
      886	            4 	
      887	            6 	
      888	            1 	
      889	            8 	
      890	            4 	
      891	            7 	
      892	            8 	
      893	            7 	
      894	            6 	
      895	            6 	
      896	            9 	
      897	            4 	
      898	            8 	
      899	            7 	
      900	            3 	
      901	            4 	
      902	            6 	
      903	            5 	
      904	            4 	
      905	            8 	
      906	            8 	
      907	            1 	
      908	            5 	
      909	            5 	
      910	            2 	
      911	            4 	
      912	            5 	
      913	            6 	
      914	            7 	
      915	            4 	
      916	            5 	
      917	           10 	
      918	            5 	
      919	            4 	
      920	            2 	
      921	            7 	
      922	            3 	
      923	            8 	
      924	            7 	
      925	            4 	
      926	            5 	
      927	            4 	
      928	            4 	
      929	            5 	
      930	           10 	
      931	            4 	
      932	            4 	
      933	            8 	
      934	            4 	
      935	            8 	
      936	            5 	
      937	            5 	
      938	            5 	
      939	            6 	
      940	            0 	
      941	            6 	
      942	            6 	
      943	            4 	
      944	            2 	
      945	            3 	
      946	            6 	
      947	            8 	
      948	            5 	
      949	            4 	
      950	            7 	
      951	            3 	
      952	            8 	
      953	            4 	
      954	            4 	
      955	           10 	
      956	            4 	
      957	            1 	
      958	            8 	
      959	            6 	
      960	            4 	
      961	           10 	
      962	            6 	
      963	            6 	
      964	            2 	
      965	            4 	
      966	            5 	
      967	            3 	
      968	            6 	
      969	            5 	
      970	            3 	
      971	            8 	
      972	            4 	
      973	            4 	
      974	            5 	
      975	            6 	
      976	            6 	
      977	            2 	
      978	            7 	
      979	            5 	
      980	            5 	
      981	            2 	
      982	            4 	
      983	            3 	
      984	            5 	
      985	            3 	
      986	            5 	
      987	            7 	
      988	            5 	
      989	            3 	
      990	            6 	
      991	            3 	
      992	            3 	
      993	            2 	
      994	            6 	
      995	            4 	
      996	            3 	
      997	            3 	
      998	            6 	
      999	            2 	
     1000	            3 	
     1001	            4 	
     1002	            9 	
     1003	            3 	
     1004	            4 	
     1005	            7 	
     1006	            4 	
     1007	            7 	
     1008	            4 	
     1009	            5 	
     1010	            2 	
     1011	            7 	
     1012	            1 	
     1013	            6 	
     1014	            4 	
     1015	            6 	
     1016	            2 	
     1017	            7 	
     1018	            3 	
     1019	            8 	
     1020	            5 	
     1021	            6 	
     1022	            6 	
     1023	            7 	
     1024	            9 	
     1025	            4 	
     1026	            4 	
     1027	            8 	
     1028	            6 	
     1029	            2 	
     1030	            4 	
     1031	            2 	
     1032	            0 	
     1033	            8 	
     1034	            3 	
     1035	            4 	
     1036	            7 	
     1037	            4 	
     1038	            6 	
     1039	            6 	
     1040	            5 	
     1041	            4 	
     1042	            6 	
     1043	            3 	
     1044	            0 	
     1045	            6 	
     1046	            7 	
     1047	            2 	
     1048	            2 	
     1049	            5 	
     1050	            3 	
     1051	            1 	
     1052	            5 	
     1053	            8 	
     1054	            2 	
     1055	            5 	
     1056	            7 	
     1057	            4 	
     1058	            6 	
     1059	            7 	
     1060	            3 	
     1061	           10 	
     1062	            4 	
     1063	            6 	
     1064	            6 	
     1065	            6 	
     1066	            3 	
     1067	            4 	
     1068	            6 	
     1069	            6 	
     1070	            1 	
     1071	            9 	
     1072	            7 	
     1073	            2 	
     1074	            3 	
     1075	            6 	
     1076	            3 	
     1077	           10 	
     1078	            3 	
     1079	            3 	
     1080	            5 	
     1081	            5 	
     1082	            4 	
     1083	            4 	
     1084	            7 	
     1085	            4 	
     1086	            7 	
     1087	            6 	
     1088	            5 	
     1089	            5 	
     1090	            7 	
     1091	            6 	
     1092	            4 	
     1093	            6 	
     1094	            7 	
     1095	            5 	
     1096	            5 	
     1097	            5 	
     1098	            6 	
     1099	            8 	
     1100	            7 	
     1101	            6 	
     1102	            6 	
     1103	            6 	
     1104	           10 	
     1105	            3 	
     1106	            8 	
     1107	            3 	
     1108	            2 	
     1109	            7 	
     1110	            6 	
     1111	            3 	
     1112	            6 	
     1113	            5 	
     1114	           10 	
     1115	            1 	
     1116	            3 	
     1117	            2 	
     1118	            4 	
     1119	            4 	
     1120	            2 	
     1121	            7 	
     1122	            3 	
     1123	            3 	
     1124	            9 	
     1125	            9 	
     1126	            4 	
     1127	            4 	
     1128	            4 	
     1129	            2 	
     1130	            1 	
     1131	            5 	
     1132	            6 	
     1133	            5 	
     1134	            4 	
     1135	            0 	
     1136	            6 	
     1137	            7 	
     1138	            5 	
     1139	            4 	
     1140	            3 	
     1141	           13 	
     1142	            4 	
     1143	            6 	
     1144	            7 	
     1145	            8 	
     1146	            7 	
     1147	            4 	
     1148	            4 	
     1149	            2 	
     1150	            4 	
     1151	            5 	
     1152	            4 	
     1153	            3 	
     1154	            4 	
     1155	            6 	
     1156	            4 	
     1157	            2 	
     1158	            7 	
     1159	            4 	
     1160	            9 	
     1161	            0 	
     1162	            5 	
     1163	            2 	
     1164	            2 	
     1165	            4 	
     1166	            6 	
     1167	            9 	
     1168	            4 	
     1169	            5 	
     1170	            6 	
     1171	            4 	
     1172	            7 	
     1173	            9 	
     1174	            6 	
     1175	            2 	
     1176	            5 	
     1177	            7 	
     1178	            2 	
     1179	            3 	
     1180	            8 	
     1181	            7 	
     1182	            4 	
     1183	            3 	
     1184	            5 	
     1185	            4 	
     1186	            4 	
     1187	            6 	
     1188	            2 	
     1189	            9 	
     1190	            8 	
     1191	            8 	
     1192	            5 	
     1193	            2 	
     1194	            2 	
     1195	            1 	
     1196	            6 	
     1197	            4 	
     1198	            4 	
     1199	            5 	
     1200	            8 	
     1201	            5 	
     1202	            4 	
     1203	            4 	
     1204	            2 	
     1205	            7 	
     1206	            7 	
     1207	            2 	
     1208	            4 	
     1209	            9 	
     1210	            3 	
     1211	           10 	
     1212	            4 	
     1213	            2 	
     1214	            7 	
     1215	            2 	
     1216	            3 	
     1217	            5 	
     1218	            6 	
     1219	            2 	
     1220	            3 	
     1221	            5 	
     1222	            4 	
     1223	            3 	
     1224	            2 	
     1225	            5 	
     1226	            6 	
     1227	            5 	
     1228	            3 	
     1229	            3 	
     1230	            8 	
     1231	            3 	
     1232	            6 	
     1233	            4 	
     1234	            8 	
     1235	            5 	
     1236	            4 	
     1237	            9 	
     1238	            5 	
     1239	            2 	
     1240	            5 	
     1241	            1 	
     1242	            6 	
     1243	            2 	
     1244	            4 	
     1245	            2 	
     1246	            7 	
     1247	            6 	
     1248	            3 	
     1249	            1 	
     1250	            2 	
     1251	            4 	
     1252	            3 	
     1253	            5 	
     1254	            4 	
     1255	            5 	
     1256	            4 	
     1257	            7 	
     1258	            3 	
     1259	            4 	
     1260	            3 	
     1261	            5 	
     1262	            3 	
     1263	            7 	
     1264	            1 	
     1265	            2 	
     1266	            4 	
     1267	            6 	
     1268	            5 	
     1269	            7 	
     1270	            7 	
     1271	            3 	
     1272	            4 	
     1273	            8 	
     1274	            7 	
     1275	            7 	
     1276	            9 	
     1277	            8 	
     1278	            6 	
     1279	            7 	
     1280	            6 	
     1281	            3 	
     1282	            7 	
     1283	            9 	
     1284	            8 	
     1285	            3 	
     1286	            8 	
     1287	            6 	
     1288	            3 	
     1289	           10 	
     1290	            3 	
     1291	            1 	
     1292	            8 	
     1293	            7 	
     1294	            7 	
     1295	            1 	
     1296	            2 	
     1297	            3 	
     1298	            5 	
     1299	            8 	
     1300	            5 	
     1301	            4 	
     1302	            3 	
     1303	            6 	
     1304	            2 	
     1305	            6 	
     1306	            4 	
     1307	            2 	
     1308	            6 	
     1309	            3 	
     1310	            6 	
     1311	            7 	
     1312	            6 	
     1313	            1 	
     1314	            8 	
     1315	            7 	
     1316	            6 	
     1317	            6 	
     1318	            6 	
     1319	            5 	
     1320	            4 	
     1321	            4 	
     1322	            6 	
     1323	            2 	
     1324	            6 	
     1325	            9 	
     1326	            2 	
     1327	            5 	
     1328	            6 	
     1329	            8 	
     1330	            6 	
     1331	            2 	
     1332	            6 	
     1333	            4 	
     1334	            1 	
     1335	            2 	
     1336	            6 	
     1337	            7 	
     1338	            5 	
     1339	            9 	
     1340	           11 	
     1341	            5 	
     1342	            2 	
     1343	            8 	
     1344	            8 	
     1345	            6 	
     1346	            5 	
     1347	            5 	
     1348	            7 	
     1349	            8 	
     1350	            6 	
     1351	            3 	
     1352	            4 	
     1353	            5 	
     1354	            6 	
     1355	            2 	
     1356	            6 	
     1357	            4 	
     1358	            8 	
     1359	            4 	
     1360	            2 	
     1361	            3 	
     1362	            7 	
     1363	            1 	
     1364	            3 	
     1365	            5 	
     1366	            4 	
     1367	            5 	
     1368	            6 	
     1369	            4 	
     1370	            9 	
     1371	            0 	
     1372	            3 	
     1373	            5 	
     1374	            4 	
     1375	            8 	
     1376	            7 	
     1377	            4 	
     1378	            5 	
     1379	            7 	
     1380	            6 	
     1381	           10 	
     1382	            4 	
     1383	            9 	
     1384	            5 	
     1385	            4 	
     1386	            3 	
     1387	            4 	
     1388	            9 	
     1389	            8 	
     1390	            3 	
     1391	            8 	
     1392	            3 	
     1393	            1 	
     1394	            6 	
     1395	            4 	
     1396	            2 	
     1397	            9 	
     1398	            7 	
     1399	            5 	
     1400	           11 	
     1401	            5 	
     1402	            7 	
     1403	            6 	
     1404	            4 	
     1405	            2 	
     1406	            5 	
     1407	            9 	
     1408	            9 	
     1409	            1 	
     1410	            3 	
     1411	            4 	
     1412	            1 	
     1413	            5 	
     1414	            5 	
     1415	            5 	
     1416	            5 	
     1417	            8 	
     1418	           11 	
     1419	            6 	
     1420	            4 	
     1421	            7 	
     1422	            6 	
     1423	            4 	
     1424	            3 	
     1425	            6 	
     1426	            3 	
     1427	            2 	
     1428	            9 	
     1429	            2 	
     1430	            2 	
     1431	            4 	
     1432	            6 	
     1433	            5 	
     1434	            5 	
     1435	            5 	
     1436	            5 	
     1437	            2 	
     1438	            3 	
     1439	            2 	
     1440	            5 	
     1441	            8 	
     1442	            5 	
     1443	            5 	
     1444	            3 	
     1445	            9 	
     1446	            5 	
     1447	            5 	
     1448	            5 	
     1449	            5 	
     1450	            2 	
     1451	            6 	
     1452	           11 	
     1453	            6 	
     1454	            6 	
     1455	            1 	
     1456	            7 	
     1457	            2 	
     1458	            5 	
     1459	            4 	
     1460	            5 	
     1461	            4 	
     1462	            7 	
     1463	            2 	
     1464	            7 	
     1465	            3 	
     1466	            2 	
     1467	            3 	
     1468	            4 	
     1469	            8 	
     1470	            3 	
     1471	            3 	
     1472	            5 	
     1473	            4 	
     1474	            6 	
     1475	            7 	
     1476	            3 	
     1477	            5 	
     1478	            4 	
     1479	            6 	
     1480	            6 	
     1481	            4 	
     1482	            3 	
     1483	            4 	
     1484	            6 	
     1485	            5 	
     1486	            4 	
     1487	            5 	
     1488	            4 	
     1489	            3 	
     1490	            5 	
     1491	            9 	
     1492	            5 	
     1493	            4 	
     1494	            5 	
     1495	            9 	
     1496	            6 	
     1497	            4 	
