Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2025-09-05
Time (HH:MM:SS):	21:45:20
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	5000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           76 	
        2	           68 	
        3	           72 	
        4	           63 	
        5	           66 	
        6	           82 	
        7	           72 	
        8	           69 	
        9	           76 	
       10	           59 	
       11	           70 	
       12	           82 	
       13	           84 	
       14	           67 	
       15	           58 	
       16	           76 	
       17	           51 	
       18	           62 	
       19	           72 	
       20	           85 	
       21	           64 	
       22	           75 	
       23	           62 	
       24	           71 	
       25	           84 	
       26	           60 	
       27	           86 	
       28	           63 	
       29	           79 	
       30	           73 	
       31	           75 	
       32	           61 	
       33	           71 	
       34	           82 	
       35	           79 	
       36	           71 	
       37	           58 	
       38	           74 	
       39	           77 	
       40	           71 	
       41	           80 	
       42	           83 	
       43	           66 	
       44	           74 	
       45	           75 	
       46	           80 	
       47	           77 	
       48	           68 	
       49	           66 	
       50	           60 	
       51	           72 	
       52	           70 	
       53	           74 	
       54	           65 	
       55	           77 	
       56	           83 	
       57	           66 	
       58	           77 	
       59	           53 	
       60	           78 	
       61	           67 	
       62	           68 	
       63	           88 	
       64	           69 	
       65	           71 	
       66	           77 	
       67	           81 	
       68	           81 	
       69	           75 	
       70	           85 	
       71	           70 	
       72	           65 	
       73	           71 	
       74	           77 	
       75	           72 	
       76	           81 	
       77	           76 	
       78	           70 	
       79	           79 	
       80	           68 	
       81	           59 	
       82	           70 	
       83	           81 	
       84	           58 	
       85	           61 	
       86	           64 	
       87	           81 	
       88	           71 	
       89	           56 	
       90	           74 	
       91	           60 	
       92	           82 	
       93	           69 	
       94	           63 	
       95	           62 	
       96	           77 	
       97	           52 	
       98	           76 	
       99	           78 	
      100	           75 	
      101	           67 	
      102	           60 	
      103	           63 	
      104	           64 	
      105	           66 	
      106	           73 	
      107	           80 	
      108	           80 	
      109	           61 	
      110	           71 	
      111	           89 	
      112	           63 	
      113	           71 	
      114	           70 	
      115	           66 	
      116	           94 	
      117	           57 	
      118	           77 	
      119	           66 	
      120	           77 	
      121	           79 	
      122	           70 	
      123	           68 	
      124	           72 	
      125	           60 	
      126	           74 	
      127	           74 	
      128	           68 	
      129	           69 	
      130	           63 	
      131	           74 	
      132	           74 	
      133	           63 	
      134	           73 	
      135	           54 	
      136	           85 	
      137	           91 	
      138	           62 	
      139	           83 	
      140	           81 	
      141	           73 	
      142	           80 	
      143	           71 	
      144	           70 	
      145	           80 	
      146	           72 	
      147	           73 	
      148	           57 	
      149	           64 	
      150	           66 	
      151	           58 	
      152	           75 	
      153	           58 	
      154	           76 	
      155	           81 	
      156	           78 	
      157	           75 	
      158	           58 	
      159	           71 	
      160	           77 	
      161	           78 	
      162	           61 	
      163	           75 	
      164	           67 	
      165	           67 	
      166	           54 	
      167	           83 	
      168	           73 	
      169	           74 	
      170	           58 	
      171	           71 	
      172	           78 	
      173	           72 	
      174	           74 	
      175	           70 	
      176	           81 	
      177	           60 	
      178	           61 	
      179	           76 	
      180	           81 	
      181	           62 	
      182	           83 	
      183	           79 	
      184	           64 	
      185	           68 	
      186	           68 	
      187	           84 	
      188	           76 	
      189	           59 	
      190	           70 	
      191	           55 	
      192	           59 	
      193	           67 	
      194	           69 	
      195	           66 	
      196	           67 	
      197	           84 	
      198	           86 	
      199	           63 	
      200	           66 	
      201	           67 	
      202	           61 	
      203	           74 	
      204	           74 	
      205	           64 	
      206	           77 	
      207	           82 	
      208	           60 	
      209	           81 	
      210	           91 	
      211	           80 	
      212	           67 	
      213	           64 	
      214	           65 	
      215	           60 	
      216	           55 	
      217	           83 	
      218	           66 	
      219	           72 	
      220	           63 	
      221	           65 	
      222	           77 	
      223	           64 	
      224	           75 	
      225	           78 	
      226	           66 	
      227	           66 	
      228	           55 	
      229	           66 	
      230	           70 	
      231	           73 	
      232	           68 	
      233	           66 	
      234	           80 	
      235	           78 	
      236	           69 	
      237	           62 	
      238	           67 	
      239	           65 	
      240	           67 	
      241	           64 	
      242	           74 	
      243	           77 	
      244	           73 	
      245	           64 	
      246	           74 	
      247	           75 	
      248	           64 	
      249	           69 	
      250	           73 	
      251	           90 	
      252	           69 	
      253	           78 	
      254	           61 	
      255	           66 	
      256	           76 	
      257	           70 	
      258	           70 	
      259	           75 	
      260	           74 	
      261	           68 	
      262	           89 	
      263	           53 	
      264	           77 	
      265	           66 	
      266	           68 	
      267	           55 	
      268	           75 	
      269	           60 	
      270	           74 	
      271	           58 	
      272	           86 	
      273	           80 	
      274	           73 	
      275	           72 	
      276	           78 	
      277	           74 	
      278	           72 	
      279	           77 	
      280	           84 	
      281	           75 	
      282	           66 	
      283	           83 	
      284	           58 	
      285	           66 	
      286	           74 	
      287	           81 	
      288	           70 	
      289	           68 	
      290	           85 	
      291	           64 	
      292	           79 	
      293	           70 	
      294	           81 	
      295	           52 	
      296	           66 	
      297	           65 	
      298	           75 	
      299	           62 	
      300	           82 	
      301	           85 	
      302	           80 	
      303	           66 	
      304	           66 	
      305	           54 	
      306	           73 	
      307	           74 	
      308	           70 	
      309	           75 	
      310	           74 	
      311	           70 	
      312	           66 	
      313	           80 	
      314	           56 	
      315	           66 	
      316	           72 	
      317	           79 	
      318	           78 	
      319	           76 	
      320	           79 	
      321	           65 	
      322	           74 	
      323	           61 	
      324	           90 	
      325	           79 	
      326	           90 	
      327	           68 	
      328	           71 	
      329	           88 	
      330	           79 	
      331	           72 	
      332	           76 	
      333	           76 	
      334	           67 	
      335	           74 	
      336	           68 	
      337	           72 	
      338	           66 	
      339	           66 	
      340	           64 	
      341	           69 	
      342	           87 	
      343	           69 	
      344	           61 	
      345	           81 	
      346	           76 	
      347	           81 	
      348	           79 	
      349	           73 	
      350	           62 	
      351	           69 	
      352	           62 	
      353	           72 	
      354	           68 	
      355	           72 	
      356	           73 	
      357	           81 	
      358	           77 	
      359	           70 	
      360	           70 	
      361	           78 	
      362	           76 	
      363	           81 	
      364	           78 	
      365	           71 	
      366	           75 	
      367	           78 	
      368	           69 	
      369	           77 	
      370	           78 	
