Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2025-09-05
Time (HH:MM:SS):	22:14:57
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	5000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	            2 	
        2	            0 	
        3	            2 	
        4	            3 	
        5	            3 	
        6	            0 	
        7	            0 	
        8	            3 	
        9	            2 	
       10	            1 	
       11	            0 	
       12	            0 	
       13	            0 	
       14	            2 	
       15	            2 	
       16	            1 	
       17	            4 	
       18	            0 	
       19	            2 	
       20	            4 	
       21	            3 	
       22	            1 	
       23	            0 	
       24	            2 	
       25	            0 	
       26	            2 	
       27	            3 	
       28	            6 	
       29	            3 	
       30	            2 	
       31	            2 	
       32	            0 	
       33	            1 	
       34	            3 	
       35	            1 	
       36	            1 	
       37	            1 	
       38	            2 	
       39	            2 	
       40	            2 	
       41	            1 	
       42	            3 	
       43	            0 	
       44	            2 	
       45	            4 	
       46	            1 	
       47	            2 	
       48	            2 	
       49	            1 	
       50	            0 	
       51	            2 	
       52	            2 	
       53	            1 	
       54	            1 	
       55	            1 	
       56	            2 	
       57	            3 	
       58	            2 	
       59	            2 	
       60	            3 	
       61	            2 	
       62	            0 	
       63	            4 	
       64	            2 	
       65	            1 	
       66	            3 	
       67	            1 	
       68	            4 	
       69	            1 	
       70	            1 	
       71	            2 	
       72	            0 	
       73	            2 	
       74	            1 	
       75	            5 	
       76	            1 	
       77	            1 	
       78	            2 	
       79	            2 	
       80	            2 	
       81	            1 	
       82	            1 	
       83	            3 	
       84	            0 	
       85	            1 	
       86	            4 	
       87	            1 	
       88	            0 	
       89	            2 	
       90	            1 	
       91	            1 	
       92	            0 	
       93	            6 	
       94	            1 	
       95	            2 	
       96	            2 	
       97	            0 	
       98	            2 	
       99	            0 	
      100	            1 	
      101	            0 	
      102	            2 	
      103	            0 	
      104	            2 	
      105	            2 	
      106	            5 	
      107	            4 	
      108	            2 	
      109	            2 	
      110	            3 	
      111	            3 	
      112	            2 	
      113	            1 	
      114	            0 	
      115	            0 	
      116	            1 	
      117	            0 	
      118	            5 	
      119	            2 	
      120	            2 	
      121	            2 	
      122	            4 	
      123	            3 	
      124	            1 	
      125	            1 	
      126	            1 	
      127	            2 	
      128	            2 	
      129	            1 	
      130	            2 	
      131	            2 	
      132	            4 	
      133	            0 	
      134	            1 	
      135	            1 	
      136	            1 	
      137	            1 	
      138	            3 	
      139	            0 	
      140	            1 	
      141	            4 	
      142	            2 	
      143	            0 	
      144	            3 	
      145	            4 	
      146	            1 	
      147	            4 	
      148	            2 	
      149	            3 	
      150	            1 	
      151	            0 	
      152	            1 	
      153	            3 	
      154	            2 	
      155	            3 	
      156	            2 	
      157	            2 	
      158	            2 	
      159	            2 	
      160	            1 	
      161	            3 	
      162	            3 	
      163	            3 	
      164	            2 	
      165	            1 	
      166	            2 	
      167	            2 	
      168	            0 	
      169	            2 	
      170	            0 	
      171	            5 	
      172	            4 	
      173	            2 	
      174	            1 	
      175	            1 	
      176	            2 	
      177	            3 	
      178	            4 	
      179	            2 	
      180	            0 	
      181	            1 	
      182	            2 	
      183	            4 	
      184	            1 	
      185	            1 	
      186	            2 	
      187	            2 	
      188	            1 	
      189	            2 	
      190	            2 	
      191	            1 	
      192	            2 	
      193	            2 	
      194	            1 	
      195	            1 	
      196	            1 	
      197	            4 	
      198	            0 	
      199	            3 	
      200	            2 	
      201	            0 	
      202	            3 	
      203	            1 	
      204	            0 	
      205	            3 	
      206	            2 	
      207	            2 	
      208	            1 	
      209	            2 	
      210	            0 	
      211	            1 	
      212	            1 	
      213	            1 	
      214	            3 	
      215	            1 	
      216	            2 	
      217	            1 	
