"Date","September-05-2025"
"Time","22h36m57s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-5.440749e-01,7.123634e-01,4.433068e-01,6.368558e+01,1.315753e+01,2.279626e-01,3.189418e+01,9.921511e+01,-2.015982e+01,9.638688e-06,
2.999998e-02,-5.440741e-01,7.111139e-01,4.453093e-01,6.370982e+01,1.322157e+01,2.279629e-01,3.205537e+01,1.002025e+02,-2.014255e+01,9.677103e-06,
5.999997e-02,-5.399397e-01,7.162297e-01,4.421313e-01,6.350566e+01,1.311997e+01,2.300301e-01,3.168719e+01,9.997836e+01,-2.011862e+01,9.730556e-06,
8.999995e-02,-5.500729e-01,7.115606e-01,4.371515e-01,6.385293e+01,1.296114e+01,2.249636e-01,3.156473e+01,1.007497e+02,-2.016392e+01,9.629600e-06,
1.199999e-01,-5.468635e-01,7.083544e-01,4.462895e-01,6.383442e+01,1.325293e+01,2.265682e-01,3.221244e+01,9.966309e+01,-2.018690e+01,9.578775e-06,
1.499999e-01,-5.436126e-01,7.119819e-01,4.444852e-01,6.368123e+01,1.319520e+01,2.281937e-01,3.197624e+01,1.002421e+02,-2.015336e+01,9.653033e-06,
1.799999e-01,-5.484175e-01,7.103596e-01,4.411661e-01,6.383457e+01,1.308915e+01,2.257913e-01,3.184219e+01,1.007149e+02,-2.014092e+01,9.680724e-06,
2.099999e-01,-5.380924e-01,7.174854e-01,4.423475e-01,6.343439e+01,1.312688e+01,2.309538e-01,3.165486e+01,1.000037e+02,-2.010115e+01,9.769796e-06,
2.399999e-01,-5.464505e-01,7.127679e-01,4.397201e-01,6.373796e+01,1.304301e+01,2.267748e-01,3.167122e+01,1.006699e+02,-2.012354e+01,9.719548e-06,
2.699999e-01,-5.519852e-01,7.066587e-01,4.426576e-01,6.399705e+01,1.313679e+01,2.240074e-01,3.206341e+01,1.014399e+02,-2.016095e+01,9.636178e-06,
2.999998e-01,-5.454498e-01,7.109899e-01,4.438219e-01,6.374716e+01,1.317400e+01,2.272751e-01,3.197369e+01,1.002827e+02,-2.012507e+01,9.716126e-06,
3.299998e-01,-5.545258e-01,7.058367e-01,4.407900e-01,6.407710e+01,1.307715e+01,2.227371e-01,3.198448e+01,1.011102e+02,-2.016450e+01,9.628310e-06,
3.599998e-01,-5.512091e-01,7.117719e-01,4.353726e-01,6.387743e+01,1.290450e+01,2.243955e-01,3.145306e+01,1.013694e+02,-2.016627e+01,9.624390e-06,
3.899998e-01,-5.435659e-01,7.102817e-01,4.472539e-01,6.371309e+01,1.328382e+01,2.282170e-01,3.219801e+01,9.943448e+01,-2.010763e+01,9.755218e-06,
4.199998e-01,-5.471077e-01,7.101978e-01,4.430488e-01,6.380460e+01,1.314928e+01,2.264462e-01,3.195750e+01,1.002063e+02,-2.015120e+01,9.657851e-06,
4.499998e-01,-5.488438e-01,7.084318e-01,4.437284e-01,6.388302e+01,1.317100e+01,2.255781e-01,3.206109e+01,1.001537e+02,-2.017322e+01,9.608997e-06,
4.799997e-01,-5.417159e-01,7.105609e-01,4.490513e-01,6.366055e+01,1.334142e+01,2.291420e-01,3.229155e+01,9.988557e+01,-2.014253e+01,9.677145e-06,
5.099997e-01,-5.469101e-01,7.108457e-01,4.422530e-01,6.378697e+01,1.312386e+01,2.265449e-01,3.188783e+01,1.008520e+02,-2.015088e+01,9.658551e-06,
5.399997e-01,-5.429097e-01,7.112423e-01,4.465237e-01,6.367772e+01,1.326043e+01,2.285452e-01,3.212094e+01,9.943290e+01,-2.012384e+01,9.718879e-06,
5.699997e-01,-5.487531e-01,7.073943e-01,4.454922e-01,6.390106e+01,1.322742e+01,2.256234e-01,3.220129e+01,1.003554e+02,-2.013494e+01,9.694058e-06,
5.999997e-01,-5.526649e-01,7.079860e-01,4.396787e-01,6.398808e+01,1.304169e+01,2.236676e-01,3.184141e+01,1.002350e+02,-2.016397e+01,9.629478e-06,
6.299997e-01,-5.434280e-01,7.155083e-01,4.390147e-01,6.360832e+01,1.302052e+01,2.282860e-01,3.153205e+01,1.008125e+02,-2.015177e+01,9.656565e-06,
6.599996e-01,-5.463623e-01,7.100513e-01,4.442020e-01,6.378858e+01,1.318615e+01,2.268189e-01,3.202975e+01,9.927587e+01,-2.015471e+01,9.650033e-06,
6.899996e-01,-5.438896e-01,7.126211e-01,4.431199e-01,6.367587e+01,1.315156e+01,2.280552e-01,3.187405e+01,1.005834e+02,-2.016066e+01,9.636833e-06,
7.199996e-01,-5.469164e-01,7.125472e-01,4.394985e-01,6.375404e+01,1.303594e+01,2.265418e-01,3.166625e+01,1.005229e+02,-2.016118e+01,9.635680e-06,
7.499996e-01,-5.488820e-01,7.090366e-01,4.427139e-01,6.387215e+01,1.313858e+01,2.255590e-01,3.198016e+01,1.005515e+02,-2.016098e+01,9.636112e-06,
7.799996e-01,-5.427148e-01,7.135214e-01,4.431116e-01,6.362857e+01,1.315129e+01,2.286426e-01,3.184114e+01,1.001619e+02,-2.015994e+01,9.638416e-06,
8.099996e-01,-5.437764e-01,7.138281e-01,4.413124e-01,6.364962e+01,1.309382e+01,2.281118e-01,3.172574e+01,1.004593e+02,-2.015730e+01,9.644285e-06,
8.399996e-01,-5.487675e-01,7.078866e-01,4.446918e-01,6.389177e+01,1.320181e+01,2.256163e-01,3.213689e+01,9.946559e+01,-2.014349e+01,9.675005e-06,
8.699995e-01,-5.459487e-01,7.117420e-01,4.419992e-01,6.374518e+01,1.311575e+01,2.270256e-01,3.184071e+01,1.006656e+02,-2.016042e+01,9.637359e-06,
8.999995e-01,-5.544671e-01,7.091498e-01,4.355144e-01,6.401050e+01,1.290901e+01,2.227664e-01,3.155558e+01,1.015710e+02,-2.020678e+01,9.535028e-06,
9.299995e-01,-5.440711e-01,7.129488e-01,4.423694e-01,6.367413e+01,1.312758e+01,2.279645e-01,3.181871e+01,9.976239e+01,-2.016302e+01,9.631580e-06,
9.599995e-01,-5.532627e-01,7.075056e-01,4.397002e-01,6.401254e+01,1.304238e+01,2.233687e-01,3.186010e+01,1.005762e+02,-2.021064e+01,9.526568e-06,
9.899995e-01,-5.463349e-01,7.098565e-01,4.445469e-01,6.379168e+01,1.319718e+01,2.268326e-01,3.205681e+01,9.939854e+01,-2.017177e+01,9.612205e-06,
1.019999e+00,-5.471654e-01,7.093937e-01,4.442641e-01,6.382175e+01,1.318813e+01,2.264173e-01,3.205722e+01,9.989218e+01,-2.017750e+01,9.599536e-06,
1.049999e+00,-5.457699e-01,7.128566e-01,4.404210e-01,6.371901e+01,1.306537e+01,2.271150e-01,3.170883e+01,1.012081e+02,-2.019704e+01,9.556433e-06,
1.079999e+00,-5.447237e-01,7.133785e-01,4.408709e-01,6.368237e+01,1.307973e+01,2.276381e-01,3.171624e+01,1.006957e+02,-2.018341e+01,9.586473e-06,
1.109999e+00,-5.529812e-01,7.081975e-01,4.389397e-01,6.399187e+01,1.301813e+01,2.235094e-01,3.179057e+01,1.012470e+02,-2.018798e+01,9.576388e-06,
1.139999e+00,-5.455816e-01,7.112589e-01,4.432284e-01,6.374527e+01,1.315503e+01,2.272092e-01,3.192953e+01,1.002929e+02,-2.016891e+01,9.618534e-06,
1.169999e+00,-5.438256e-01,7.133641e-01,4.420016e-01,6.365985e+01,1.311583e+01,2.280872e-01,3.178243e+01,1.008024e+02,-2.017141e+01,9.612992e-06,
1.199999e+00,-5.455729e-01,7.085874e-01,4.474976e-01,6.379713e+01,1.329162e+01,2.272136e-01,3.227383e+01,9.967171e+01,-2.014161e+01,9.679191e-06,
1.229999e+00,-5.437382e-01,7.121857e-01,4.440048e-01,6.368047e+01,1.317984e+01,2.281309e-01,3.194105e+01,9.949722e+01,-2.016991e+01,9.616333e-06,
1.259999e+00,-5.383448e-01,7.145003e-01,4.468492e-01,6.349821e+01,1.327085e+01,2.308276e-01,3.202190e+01,9.920724e+01,-2.014722e+01,9.666696e-06,
1.289999e+00,-5.447432e-01,7.097487e-01,4.466672e-01,6.375340e+01,1.326503e+01,2.276284e-01,3.218350e+01,1.000926e+02,-2.017038e+01,9.615284e-06,
1.319999e+00,-5.460219e-01,7.103330e-01,4.441702e-01,6.377446e+01,1.318513e+01,2.269891e-01,3.201769e+01,9.969989e+01,-2.015666e+01,9.645713e-06,
1.349999e+00,-5.432698e-01,7.125501e-01,4.439936e-01,6.366150e+01,1.317948e+01,2.283651e-01,3.192724e+01,1.007457e+02,-2.015384e+01,9.651978e-06,
1.379999e+00,-5.446323e-01,7.125431e-01,4.423324e-01,6.369624e+01,1.312640e+01,2.276839e-01,3.183118e+01,1.000322e+02,-2.014317e+01,9.675712e-06,
1.409999e+00,-5.474355e-01,7.091779e-01,4.442759e-01,6.383281e+01,1.318851e+01,2.262822e-01,3.206575e+01,1.011081e+02,-2.015536e+01,9.648604e-06,
1.439999e+00,-5.456944e-01,7.138060e-01,4.389744e-01,6.369870e+01,1.301923e+01,2.271528e-01,3.159057e+01,1.004530e+02,-2.015898e+01,9.640549e-06,
1.469999e+00,-5.524194e-01,7.061315e-01,4.429574e-01,6.401836e+01,1.314636e+01,2.237903e-01,3.210011e+01,1.000147e+02,-2.018496e+01,9.583065e-06,
1.499999e+00,-5.508731e-01,7.096176e-01,4.392968e-01,6.391102e+01,1.302951e+01,2.245634e-01,3.176005e+01,1.008781e+02,-2.020462e+01,9.539783e-06,
1.529999e+00,-5.466475e-01,7.101308e-01,4.437237e-01,6.379425e+01,1.317085e+01,2.266762e-01,3.199911e+01,1.003717e+02,-2.018305e+01,9.587268e-06,
