"Date","September-13-2025"
"Time","01h09m57s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-4.889051e-01,-7.286627e-01,-4.796066e-01,-6.193006e+01,-1.432986e+01,2.555475e-01,-1.466470e+02,9.762551e+01,-3.374970e+01,4.217258e-07,
2.999998e-02,-4.891921e-01,-7.283576e-01,-4.797774e-01,-6.194339e+01,-1.433543e+01,2.554040e-01,-1.466267e+02,9.751765e+01,-3.375038e+01,4.216595e-07,
5.999997e-02,-4.895332e-01,-7.283250e-01,-4.794788e-01,-6.195323e+01,-1.432568e+01,2.552334e-01,-1.466419e+02,9.761390e+01,-3.375209e+01,4.214933e-07,
8.999995e-02,-4.894732e-01,-7.281641e-01,-4.797843e-01,-6.195453e+01,-1.433566e+01,2.552634e-01,-1.466193e+02,9.757535e+01,-3.375147e+01,4.215541e-07,
1.199999e-01,-4.907387e-01,-7.274107e-01,-4.796344e-01,-6.200254e+01,-1.433076e+01,2.546306e-01,-1.466003e+02,9.764874e+01,-3.375525e+01,4.211875e-07,
1.499999e-01,-4.891017e-01,-7.284816e-01,-4.796812e-01,-6.193868e+01,-1.433229e+01,2.554492e-01,-1.466364e+02,9.751756e+01,-3.375069e+01,4.216296e-07,
1.799999e-01,-4.894635e-01,-7.281400e-01,-4.798308e-01,-6.195471e+01,-1.433718e+01,2.552683e-01,-1.466159e+02,9.753228e+01,-3.375154e+01,4.215472e-07,
2.099999e-01,-4.891014e-01,-7.286213e-01,-4.794693e-01,-6.193613e+01,-1.432537e+01,2.554493e-01,-1.466531e+02,9.762141e+01,-3.375252e+01,4.214522e-07,
2.399999e-01,-4.898314e-01,-7.281016e-01,-4.795136e-01,-6.196537e+01,-1.432682e+01,2.550843e-01,-1.466319e+02,9.759276e+01,-3.375424e+01,4.212848e-07,
2.699999e-01,-4.898412e-01,-7.280223e-01,-4.796239e-01,-6.196709e+01,-1.433042e+01,2.550794e-01,-1.466230e+02,9.758755e+01,-3.375467e+01,4.212429e-07,
2.999998e-01,-4.893006e-01,-7.282233e-01,-4.798706e-01,-6.194878e+01,-1.433848e+01,2.553497e-01,-1.466167e+02,9.750555e+01,-3.375257e+01,4.214467e-07,
3.299998e-01,-4.900040e-01,-7.279266e-01,-4.796030e-01,-6.197324e+01,-1.432974e+01,2.549980e-01,-1.466206e+02,9.758724e+01,-3.375466e+01,4.212441e-07,
3.599998e-01,-4.894638e-01,-7.282226e-01,-4.797052e-01,-6.195321e+01,-1.433307e+01,2.552681e-01,-1.466257e+02,9.755645e+01,-3.375206e+01,4.214968e-07,
3.899998e-01,-4.901136e-01,-7.278128e-01,-4.796637e-01,-6.197828e+01,-1.433172e+01,2.549432e-01,-1.466132e+02,9.758788e+01,-3.375239e+01,4.214649e-07,
4.199998e-01,-4.900586e-01,-7.277503e-01,-4.798146e-01,-6.197793e+01,-1.433665e+01,2.549707e-01,-1.466027e+02,9.758765e+01,-3.375261e+01,4.214431e-07,
4.499998e-01,-4.901325e-01,-7.275985e-01,-4.799694e-01,-6.198270e+01,-1.434170e+01,2.549338e-01,-1.465887e+02,9.754677e+01,-3.375176e+01,4.215254e-07,
4.799997e-01,-4.902678e-01,-7.277924e-01,-4.795370e-01,-6.198283e+01,-1.432758e+01,2.548661e-01,-1.466194e+02,9.765527e+01,-3.375168e+01,4.215333e-07,
5.099997e-01,-4.899677e-01,-7.279539e-01,-4.795985e-01,-6.197176e+01,-1.432959e+01,2.550161e-01,-1.466219e+02,9.761243e+01,-3.375043e+01,4.216552e-07,
5.399997e-01,-4.904905e-01,-7.274131e-01,-4.798847e-01,-6.199578e+01,-1.433894e+01,2.547548e-01,-1.465866e+02,9.758681e+01,-3.375041e+01,4.216569e-07,
5.699997e-01,-4.903394e-01,-7.277450e-01,-4.795357e-01,-6.198563e+01,-1.432754e+01,2.548303e-01,-1.466178e+02,9.769060e+01,-3.375129e+01,4.215710e-07,
5.999997e-01,-4.899996e-01,-7.277529e-01,-4.798710e-01,-6.197629e+01,-1.433849e+01,2.550002e-01,-1.465996e+02,9.758380e+01,-3.374944e+01,4.217511e-07,
6.299997e-01,-4.896567e-01,-7.280999e-01,-4.796945e-01,-6.196067e+01,-1.433272e+01,2.551716e-01,-1.466219e+02,9.759126e+01,-3.374955e+01,4.217399e-07,
6.599996e-01,-4.891692e-01,-7.283330e-01,-4.798380e-01,-6.194322e+01,-1.433741e+01,2.554154e-01,-1.466224e+02,9.753436e+01,-3.374804e+01,4.218872e-07,
6.899996e-01,-4.898485e-01,-7.279141e-01,-4.797807e-01,-6.196926e+01,-1.433554e+01,2.550757e-01,-1.466104e+02,9.762276e+01,-3.375140e+01,4.215609e-07,
7.199996e-01,-4.893520e-01,-7.282148e-01,-4.798310e-01,-6.195033e+01,-1.433718e+01,2.553240e-01,-1.466185e+02,9.754633e+01,-3.374939e+01,4.217554e-07,
7.499996e-01,-4.900543e-01,-7.276767e-01,-4.799307e-01,-6.197916e+01,-1.434044e+01,2.549728e-01,-1.465936e+02,9.758707e+01,-3.375158e+01,4.215434e-07,
7.799996e-01,-4.906856e-01,-7.275411e-01,-4.794909e-01,-6.199873e+01,-1.432608e+01,2.546572e-01,-1.466128e+02,9.767717e+01,-3.375255e+01,4.214493e-07,
8.099996e-01,-4.900478e-01,-7.277721e-01,-4.797926e-01,-6.197725e+01,-1.433593e+01,2.549761e-01,-1.466046e+02,9.756154e+01,-3.374893e+01,4.218008e-07,
8.399996e-01,-4.898652e-01,-7.280912e-01,-4.794949e-01,-6.196648e+01,-1.432621e+01,2.550674e-01,-1.466325e+02,9.765910e+01,-3.374976e+01,4.217193e-07,
8.699995e-01,-4.895270e-01,-7.282091e-01,-4.796612e-01,-6.195517e+01,-1.433164e+01,2.552365e-01,-1.466277e+02,9.761366e+01,-3.374875e+01,4.218179e-07,
