Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2026-05-04
Time (HH:MM:SS):	19:34:33
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	10000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         1334 	
        2	         1300 	
        3	         1229 	
        4	         1250 	
        5	         1227 	
        6	         1233 	
        7	         1261 	
        8	         1274 	
        9	         1251 	
       10	         1337 	
       11	         1246 	
       12	         1171 	
       13	         1277 	
       14	         1309 	
       15	         1287 	
       16	         1165 	
       17	         1242 	
       18	         1264 	
       19	         1252 	
       20	         1233 	
       21	         1317 	
       22	         1299 	
       23	         1207 	
       24	         1250 	
       25	         1308 	
       26	         1318 	
       27	         1279 	
       28	         1198 	
       29	         1269 	
       30	         1226 	
       31	         1275 	
       32	         1218 	
       33	         1305 	
       34	         1328 	
       35	         1254 	
       36	         1316 	
       37	         1369 	
       38	         1287 	
       39	         1259 	
       40	         1178 	
       41	         1256 	
       42	         1200 	
       43	         1232 	
       44	         1263 	
       45	         1291 	
       46	         1278 	
       47	         1248 	
       48	         1278 	
       49	         1290 	
       50	         1251 	
       51	         1174 	
       52	         1279 	
       53	         1283 	
       54	         1233 	
       55	         1204 	
       56	         1279 	
       57	         1287 	
       58	         1288 	
       59	         1231 	
       60	         1295 	
       61	         1334 	
       62	         1249 	
       63	         1150 	
       64	         1212 	
       65	         1197 	
       66	         1309 	
       67	         1288 	
       68	         1369 	
       69	         1293 	
       70	         1244 	
       71	         1234 	
       72	         1296 	
       73	         1327 	
       74	         1230 	
       75	         1234 	
       76	         1241 	
       77	         1189 	
       78	         1128 	
       79	         1282 	
       80	         1261 	
       81	         1272 	
       82	         1219 	
       83	         1247 	
       84	         1352 	
       85	         1320 	
       86	         1277 	
       87	         1213 	
       88	         1271 	
       89	         1223 	
       90	         1225 	
       91	         1381 	
       92	         1331 	
       93	         1328 	
       94	         1230 	
       95	         1314 	
       96	         1303 	
       97	         1287 	
       98	         1216 	
       99	         1226 	
      100	         1191 	
      101	         1225 	
      102	         1277 	
      103	         1256 	
      104	         1404 	
      105	         1254 	
      106	         1204 	
      107	         1245 	
      108	         1313 	
      109	         1305 	
      110	         1230 	
      111	         1181 	
      112	         1266 	
      113	         1303 	
      114	         1259 	
      115	         1303 	
      116	         1317 	
      117	         1216 	
      118	         1258 	
      119	         1309 	
      120	         1268 	
      121	         1236 	
      122	         1236 	
      123	         1212 	
      124	         1224 	
      125	         1233 	
      126	         1184 	
      127	         1292 	
      128	         1354 	
      129	         1271 	
      130	         1241 	
      131	         1296 	
      132	         1366 	
      133	         1271 	
      134	         1226 	
      135	         1232 	
      136	         1311 	
      137	         1244 	
      138	         1323 	
      139	         1375 	
      140	         1246 	
      141	         1201 	
      142	         1248 	
      143	         1385 	
      144	         1295 	
      145	         1240 	
      146	         1212 	
      147	         1201 	
      148	         1246 	
      149	         1207 	
      150	         1279 	
      151	         1343 	
      152	         1289 	
      153	         1280 	
      154	         1338 	
      155	         1305 	
      156	         1272 	
      157	         1255 	
      158	         1175 	
      159	         1222 	
      160	         1222 	
      161	         1295 	
      162	         1360 	
      163	         1282 	
      164	         1247 	
      165	         1173 	
      166	         1308 	
      167	         1341 	
      168	         1256 	
      169	         1219 	
      170	         1224 	
      171	         1264 	
      172	         1238 	
      173	         1260 	
      174	         1282 	
      175	         1320 	
      176	         1212 	
      177	         1178 	
      178	         1297 	
      179	         1279 	
      180	         1316 	
      181	         1269 	
      182	         1240 	
      183	         1260 	
      184	         1235 	
      185	         1325 	
      186	         1310 	
      187	         1287 	
      188	         1173 	
      189	         1301 	
      190	         1365 	
      191	         1221 	
      192	         1195 	
      193	         1298 	
      194	         1201 	
      195	         1287 	
      196	         1192 	
      197	         1314 	
      198	         1293 	
      199	         1318 	
      200	         1208 	
      201	         1282 	
      202	         1298 	
      203	         1289 	
      204	         1239 	
      205	         1165 	
      206	         1186 	
      207	         1206 	
      208	         1200 	
      209	         1239 	
      210	         1343 	
      211	         1169 	
      212	         1163 	
      213	         1297 	
      214	         1353 	
      215	         1258 	
      216	         1228 	
      217	         1191 	
      218	         1211 	
      219	         1203 	
      220	         1270 	
      221	         1236 	
      222	         1334 	
      223	         1247 	
      224	         1253 	
      225	         1308 	
      226	         1239 	
      227	         1208 	
      228	         1146 	
      229	         1249 	
      230	         1232 	
      231	         1255 	
      232	         1269 	
      233	         1303 	
      234	         1271 	
      235	         1207 	
      236	         1285 	
      237	         1355 	
      238	         1267 	
      239	         1234 	
      240	         1221 	
      241	         1210 	
      242	         1164 	
      243	         1198 	
      244	         1267 	
      245	         1325 	
      246	         1206 	
      247	         1259 	
      248	         1252 	
      249	         1288 	
      250	         1238 	
      251	         1263 	
      252	         1262 	
      253	         1331 	
      254	         1268 	
      255	         1252 	
      256	         1327 	
      257	         1312 	
      258	         1285 	
      259	         1278 	
      260	         1252 	
      261	         1333 	
      262	         1328 	
      263	         1213 	
      264	         1221 	
      265	         1154 	
      266	         1292 	
      267	         1344 	
      268	         1286 	
      269	         1371 	
      270	         1259 	
      271	         1191 	
      272	         1270 	
      273	         1312 	
      274	         1232 	
      275	         1296 	
      276	         1197 	
      277	         1217 	
      278	         1219 	
      279	         1284 	
      280	         1338 	
      281	         1330 	
      282	         1229 	
      283	         1286 	
      284	         1292 	
      285	         1331 	
      286	         1264 	
      287	         1220 	
      288	         1171 	
      289	         1185 	
      290	         1189 	
      291	         1289 	
      292	         1292 	
      293	         1327 	
      294	         1230 	
      295	         1262 	
      296	         1337 	
      297	         1299 	
      298	         1229 	
      299	         1202 	
      300	         1244 	
      301	         1274 	
      302	         1227 	
      303	         1240 	
      304	         1333 	
      305	         1298 	
      306	         1211 	
      307	         1244 	
      308	         1369 	
      309	         1255 	
      310	         1149 	
      311	         1232 	
      312	         1218 	
      313	         1182 	
      314	         1289 	
      315	         1262 	
      316	         1344 	
      317	         1307 	
      318	         1228 	
      319	         1275 	
      320	         1338 	
      321	         1316 	
      322	         1233 	
      323	         1179 	
      324	         1223 	
      325	         1208 	
      326	         1266 	
      327	         1296 	
      328	         1270 	
      329	         1206 	
      330	         1259 	
      331	         1242 	
      332	         1291 	
      333	         1247 	
      334	         1220 	
      335	         1258 	
      336	         1227 	
      337	         1214 	
      338	         1288 	
      339	         1286 	
      340	         1247 	
      341	         1162 	
      342	         1283 	
      343	         1299 	
      344	         1296 	
      345	         1222 	
      346	         1198 	
      347	         1191 	
      348	         1236 	
      349	         1262 	
      350	         1353 	
      351	         1291 	
      352	         1223 	
      353	         1285 	
      354	         1282 	
      355	         1259 	
      356	         1209 	
      357	         1201 	
      358	         1283 	
      359	         1196 	
      360	         1199 	
      361	         1278 	
      362	         1322 	
      363	         1260 	
      364	         1234 	
      365	         1157 	
      366	         1304 	
      367	         1284 	
      368	         1251 	
      369	         1239 	
      370	         1239 	
      371	         1265 	
      372	         1216 	
      373	         1258 	
      374	         1352 	
      375	         1313 	
      376	         1199 	
      377	         1314 	
      378	         1343 	
      379	         1249 	
      380	         1244 	
      381	         1199 	
      382	         1252 	
      383	         1207 	
      384	         1158 	
      385	         1316 	
      386	         1336 	
      387	         1255 	
      388	         1183 	
      389	         1230 	
      390	         1312 	
      391	         1264 	
      392	         1217 	
      393	         1185 	
      394	         1210 	
      395	         1227 	
      396	         1273 	
      397	         1349 	
      398	         1363 	
      399	         1238 	
      400	         1172 	
      401	         1276 	
      402	         1311 	
      403	         1258 	
      404	         1200 	
      405	         1237 	
      406	         1255 	
      407	         1247 	
      408	         1242 	
      409	         1335 	
      410	         1369 	
      411	         1309 	
      412	         1268 	
      413	         1266 	
      414	         1303 	
      415	         1244 	
      416	         1252 	
      417	         1241 	
      418	         1163 	
      419	         1296 	
      420	         1255 	
      421	         1289 	
      422	         1312 	
      423	         1271 	
      424	         1227 	
      425	         1368 	
      426	         1314 	
      427	         1287 	
      428	         1236 	
      429	         1227 	
      430	         1236 	
      431	         1251 	
      432	         1237 	
      433	         1350 	
      434	         1337 	
      435	         1280 	
      436	         1309 	
      437	         1332 	
      438	         1350 	
      439	         1240 	
      440	         1259 	
      441	         1202 	
      442	         1184 	
      443	         1256 	
      444	         1274 	
      445	         1313 	
      446	         1270 	
      447	         1198 	
      448	         1217 	
      449	         1276 	
      450	         1271 	
      451	         1201 	
      452	         1164 	
      453	         1207 	
      454	         1212 	
      455	         1196 	
      456	         1274 	
      457	         1290 	
      458	         1293 	
      459	         1252 	
      460	         1317 	
      461	         1249 	
      462	         1341 	
      463	         1194 	
      464	         1237 	
      465	         1225 	
      466	         1197 	
      467	         1223 	
      468	         1294 	
      469	         1313 	
      470	         1240 	
      471	         1204 	
      472	         1286 	
      473	         1342 	
      474	         1300 	
      475	         1152 	
      476	         1234 	
      477	         1209 	
      478	         1200 	
      479	         1260 	
      480	         1278 	
      481	         1294 	
      482	         1259 	
      483	         1248 	
      484	         1296 	
      485	         1375 	
      486	         1152 	
      487	         1203 	
      488	         1217 	
      489	         1156 	
      490	         1257 	
      491	         1286 	
      492	         1315 	
      493	         1248 	
      494	         1276 	
      495	         1213 	
      496	         1306 	
      497	         1290 	
      498	         1250 	
      499	         1210 	
      500	         1240 	
      501	         1247 	
      502	         1209 	
      503	         1256 	
      504	         1308 	
      505	         1295 	
      506	         1244 	
      507	         1262 	
      508	         1342 	
      509	         1245 	
      510	         1256 	
      511	         1192 	
      512	         1146 	
      513	         1237 	
      514	         1226 	
      515	         1301 	
      516	         1243 	
      517	         1245 	
      518	         1220 	
      519	         1347 	
      520	         1332 	
      521	         1252 	
      522	         1228 	
      523	         1207 	
      524	         1199 	
      525	         1259 	
      526	         1250 	
      527	         1294 	
      528	         1262 	
      529	         1190 	
      530	         1312 	
      531	         1291 	
      532	         1288 	
      533	         1287 	
      534	         1259 	
      535	         1272 	
      536	         1295 	
      537	         1253 	
      538	         1255 	
      539	         1359 	
      540	         1268 	
      541	         1198 	
      542	         1268 	
      543	         1306 	
      544	         1287 	
      545	         1244 	
      546	         1201 	
      547	         1171 	
      548	         1201 	
      549	         1255 	
      550	         1274 	
      551	         1331 	
      552	         1303 	
      553	         1244 	
      554	         1290 	
      555	         1315 	
      556	         1259 	
      557	         1272 	
      558	         1213 	
      559	         1253 	
      560	         1236 	
      561	         1198 	
      562	         1268 	
      563	         1304 	
      564	         1332 	
      565	         1209 	
      566	         1249 	
      567	         1344 	
      568	         1299 	
      569	         1149 	
      570	         1232 	
      571	         1223 	
      572	         1258 	
      573	         1260 	
      574	         1350 	
      575	         1347 	
      576	         1271 	
      577	         1228 	
      578	         1308 	
      579	         1279 	
      580	         1254 	
      581	         1254 	
      582	         1246 	
      583	         1207 	
      584	         1263 	
      585	         1247 	
      586	         1237 	
      587	         1312 	
      588	         1206 	
      589	         1227 	
      590	         1243 	
      591	         1272 	
      592	         1228 	
