Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2026-05-04
Time (HH:MM:SS):	09:00:44
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	10000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	            7 	
        2	            8 	
        3	            5 	
        4	           11 	
        5	           15 	
        6	           11 	
        7	            6 	
        8	           12 	
        9	           12 	
       10	           13 	
       11	           11 	
       12	           13 	
       13	            5 	
       14	            9 	
       15	           10 	
       16	           11 	
       17	            6 	
       18	            8 	
       19	           11 	
       20	           14 	
       21	           11 	
       22	            9 	
       23	           16 	
       24	            8 	
       25	            4 	
       26	           12 	
       27	            6 	
       28	           12 	
       29	            9 	
       30	            7 	
       31	           15 	
       32	           11 	
       33	            8 	
       34	            4 	
       35	            6 	
       36	           10 	
       37	           10 	
       38	            9 	
       39	            4 	
       40	           11 	
       41	           11 	
       42	            9 	
       43	           12 	
       44	            9 	
       45	           17 	
       46	           16 	
       47	           10 	
       48	            9 	
       49	           16 	
       50	           15 	
       51	            4 	
       52	           14 	
       53	           11 	
       54	           10 	
       55	            8 	
       56	            9 	
       57	           11 	
       58	           12 	
       59	           10 	
       60	           10 	
       61	           10 	
       62	           13 	
       63	           10 	
       64	           17 	
       65	           14 	
       66	           16 	
       67	           11 	
       68	            7 	
       69	            8 	
       70	           10 	
       71	           11 	
       72	           12 	
       73	            5 	
       74	            9 	
       75	            9 	
       76	           14 	
       77	           12 	
       78	           14 	
       79	           13 	
       80	           20 	
       81	           12 	
       82	            9 	
       83	            8 	
       84	            9 	
       85	           18 	
       86	           10 	
       87	            7 	
       88	            8 	
       89	            9 	
       90	           10 	
       91	           15 	
       92	           13 	
       93	            8 	
       94	           10 	
       95	           12 	
       96	           14 	
       97	            9 	
       98	            8 	
       99	            9 	
      100	           13 	
      101	           11 	
      102	           11 	
      103	           12 	
      104	           13 	
      105	           16 	
      106	           10 	
      107	           17 	
      108	            9 	
      109	           13 	
      110	            7 	
      111	            9 	
      112	            7 	
      113	           13 	
      114	           16 	
      115	           11 	
      116	           17 	
      117	           15 	
      118	            9 	
      119	           12 	
      120	           17 	
      121	           11 	
      122	           10 	
      123	           11 	
      124	           14 	
      125	           13 	
      126	           12 	
      127	           13 	
      128	           16 	
      129	           10 	
      130	            6 	
      131	           13 	
      132	           17 	
      133	           16 	
      134	           15 	
      135	           13 	
      136	           11 	
      137	           10 	
      138	           13 	
      139	            9 	
      140	           13 	
      141	           12 	
      142	           10 	
      143	           13 	
      144	            9 	
      145	            8 	
      146	           11 	
      147	           13 	
      148	            8 	
      149	            9 	
      150	            9 	
      151	           17 	
      152	           14 	
      153	           13 	
      154	           13 	
      155	           14 	
      156	           20 	
      157	           10 	
      158	           11 	
      159	           15 	
      160	            7 	
      161	            7 	
      162	           10 	
      163	            8 	
      164	           12 	
      165	           17 	
      166	            5 	
      167	            8 	
      168	            5 	
      169	           10 	
      170	           17 	
      171	           14 	
      172	            7 	
      173	           13 	
      174	            8 	
      175	           14 	
      176	            7 	
      177	           11 	
      178	           14 	
      179	           12 	
      180	           14 	
      181	            7 	
      182	            8 	
      183	            9 	
      184	            4 	
      185	           14 	
      186	           10 	
      187	           13 	
      188	            6 	
      189	           20 	
      190	           12 	
      191	            2 	
      192	            9 	
      193	           12 	
      194	           10 	
      195	           11 	
      196	           12 	
      197	            8 	
      198	           11 	
      199	           16 	
      200	            9 	
      201	           11 	
      202	           19 	
      203	            4 	
      204	            8 	
      205	           13 	
      206	           10 	
      207	           11 	
      208	           12 	
      209	            9 	
      210	            9 	
      211	           13 	
      212	            7 	
      213	           11 	
      214	           14 	
      215	           13 	
      216	           11 	
      217	            9 	
      218	           12 	
      219	           10 	
      220	            7 	
      221	           10 	
      222	           12 	
