Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2026-05-04
Time (HH:MM:SS):	19:04:25
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	10000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          392 	
        2	          352 	
        3	          410 	
        4	          421 	
        5	          407 	
        6	          349 	
        7	          427 	
        8	          402 	
        9	          367 	
       10	          366 	
       11	          419 	
       12	          432 	
       13	          407 	
       14	          416 	
       15	          402 	
       16	          391 	
       17	          384 	
       18	          395 	
       19	          392 	
       20	          340 	
       21	          380 	
       22	          404 	
       23	          393 	
       24	          395 	
       25	          398 	
       26	          421 	
       27	          417 	
       28	          369 	
       29	          374 	
       30	          411 	
       31	          378 	
       32	          369 	
       33	          383 	
       34	          420 	
       35	          422 	
       36	          423 	
       37	          427 	
       38	          392 	
       39	          399 	
       40	          382 	
       41	          397 	
       42	          401 	
       43	          443 	
       44	          383 	
       45	          426 	
       46	          375 	
       47	          402 	
       48	          378 	
       49	          370 	
       50	          419 	
       51	          399 	
       52	          362 	
       53	          361 	
       54	          410 	
       55	          437 	
       56	          363 	
       57	          423 	
       58	          392 	
       59	          428 	
       60	          401 	
       61	          414 	
       62	          387 	
       63	          369 	
       64	          385 	
       65	          408 	
       66	          364 	
       67	          372 	
       68	          380 	
       69	          410 	
       70	          397 	
       71	          418 	
       72	          423 	
       73	          409 	
       74	          382 	
       75	          356 	
       76	          376 	
       77	          367 	
       78	          402 	
       79	          335 	
       80	          384 	
       81	          392 	
       82	          392 	
       83	          430 	
       84	          443 	
       85	          410 	
       86	          361 	
       87	          370 	
       88	          414 	
       89	          420 	
       90	          400 	
       91	          406 	
       92	          434 	
       93	          423 	
       94	          407 	
       95	          378 	
       96	          393 	
       97	          406 	
       98	          442 	
       99	          407 	
      100	          403 	
      101	          390 	
      102	          387 	
      103	          390 	
      104	          385 	
      105	          401 	
      106	          401 	
      107	          452 	
      108	          431 	
      109	          384 	
      110	          388 	
      111	          391 	
      112	          399 	
      113	          409 	
      114	          384 	
      115	          410 	
      116	          374 	
      117	          422 	
      118	          404 	
      119	          435 	
      120	          439 	
      121	          413 	
      122	          401 	
      123	          346 	
      124	          407 	
      125	          448 	
      126	          373 	
      127	          389 	
      128	          391 	
      129	          418 	
      130	          398 	
      131	          395 	
      132	          407 	
      133	          379 	
      134	          365 	
      135	          411 	
      136	          428 	
      137	          378 	
      138	          370 	
      139	          416 	
      140	          441 	
      141	          444 	
      142	          388 	
      143	          411 	
      144	          415 	
      145	          382 	
      146	          412 	
      147	          389 	
      148	          428 	
      149	          422 	
      150	          379 	
      151	          366 	
      152	          396 	
      153	          416 	
      154	          406 	
      155	          415 	
      156	          399 	
      157	          394 	
      158	          383 	
      159	          405 	
      160	          372 	
      161	          345 	
      162	          371 	
      163	          358 	
      164	          416 	
      165	          408 	
      166	          430 	
      167	          393 	
      168	          420 	
      169	          388 	
      170	          373 	
      171	          393 	
      172	          429 	
      173	          332 	
      174	          382 	
      175	          358 	
      176	          384 	
      177	          396 	
      178	          462 	
      179	          401 	
      180	          413 	
      181	          392 	
      182	          413 	
      183	          409 	
      184	          415 	
      185	          351 	
      186	          408 	
      187	          395 	
      188	          435 	
      189	          401 	
      190	          376 	
      191	          407 	
      192	          395 	
      193	          387 	
      194	          401 	
      195	          428 	
      196	          407 	
      197	          405 	
      198	          426 	
      199	          396 	
      200	          435 	
      201	          426 	
      202	          401 	
      203	          403 	
      204	          402 	
      205	          387 	
      206	          407 	
      207	          398 	
      208	          398 	
      209	          389 	
      210	          406 	
      211	          401 	
      212	          372 	
      213	          404 	
      214	          385 	
      215	          383 	
      216	          374 	
      217	          406 	
      218	          395 	
      219	          413 	
      220	          399 	
      221	          359 	
      222	          412 	
      223	          413 	
      224	          380 	
      225	          430 	
      226	          429 	
      227	          351 	
      228	          361 	
      229	          378 	
      230	          399 	
      231	          388 	
      232	          416 	
      233	          399 	
      234	          401 	
      235	          417 	
      236	          356 	
      237	          388 	
      238	          399 	
      239	          408 	
      240	          392 	
      241	          388 	
      242	          389 	
      243	          404 	
      244	          383 	
      245	          364 	
      246	          413 	
      247	          391 	
      248	          394 	
      249	          372 	
      250	          391 	
      251	          413 	
      252	          401 	
      253	          354 	
      254	          417 	
      255	          388 	
      256	          390 	
      257	          373 	
      258	          405 	
      259	          367 	
      260	          401 	
      261	          385 	
      262	          387 	
      263	          400 	
      264	          349 	
      265	          388 	
      266	          436 	
      267	          356 	
      268	          379 	
      269	          410 	
      270	          381 	
      271	          412 	
      272	          412 	
      273	          398 	
      274	          418 	
      275	          395 	
      276	          409 	
      277	          423 	
      278	          387 	
      279	          354 	
      280	          360 	
      281	          435 	
      282	          397 	
      283	          388 	
      284	          395 	
      285	          422 	
      286	          409 	
      287	          388 	
      288	          360 	
      289	          403 	
      290	          454 	
      291	          401 	
      292	          363 	
      293	          397 	
      294	          372 	
      295	          395 	
      296	          406 	
      297	          404 	
      298	          402 	
      299	          370 	
      300	          398 	
      301	          403 	
      302	          367 	
      303	          376 	
      304	          386 	
      305	          370 	
      306	          405 	
      307	          434 	
      308	          388 	
      309	          415 	
      310	          414 	
      311	          396 	
      312	          358 	
      313	          405 	
      314	          376 	
      315	          363 	
      316	          371 	
      317	          414 	
      318	          441 	
      319	          421 	
      320	          393 	
      321	          412 	
      322	          369 	
      323	          375 	
      324	          395 	
      325	          439 	
      326	          400 	
      327	          393 	
      328	          423 	
      329	          393 	
      330	          435 	
      331	          404 	
      332	          410 	
      333	          416 	
      334	          395 	
      335	          409 	
      336	          346 	
      337	          382 	
      338	          377 	
      339	          407 	
      340	          366 	
      341	          413 	
      342	          386 	
      343	          422 	
      344	          405 	
      345	          361 	
      346	          379 	
      347	          430 	
      348	          434 	
      349	          377 	
      350	          367 	
      351	          396 	
      352	          440 	
      353	          413 	
      354	          415 	
      355	          397 	
      356	          416 	
      357	          404 	
      358	          387 	
      359	          422 	
      360	          416 	
      361	          413 	
      362	          386 	
      363	          363 	
      364	          393 	
      365	          438 	
      366	          432 	
      367	          385 	
      368	          418 	
      369	          407 	
      370	          368 	
      371	          421 	
      372	          375 	
      373	          380 	
      374	          384 	
      375	          381 	
      376	          414 	
      377	          393 	
      378	          389 	
      379	          417 	
      380	          395 	
      381	          364 	
      382	          335 	
      383	          422 	
      384	          410 	
      385	          376 	
      386	          349 	
      387	          407 	
      388	          405 	
      389	          373 	
      390	          397 	
      391	          412 	
      392	          372 	
      393	          375 	
      394	          393 	
      395	          370 	
      396	          359 	
      397	          375 	
      398	          399 	
      399	          397 	
      400	          401 	
      401	          406 	
      402	          419 	
      403	          413 	
      404	          438 	
      405	          379 	
      406	          372 	
      407	          388 	
      408	          386 	
      409	          363 	
      410	          399 	
      411	          386 	
      412	          403 	
      413	          394 	
      414	          390 	
      415	          386 	
      416	          369 	
      417	          393 	
      418	          446 	
      419	          378 	
      420	          385 	
      421	          426 	
      422	          431 	
      423	          400 	
      424	          414 	
      425	          390 	
      426	          389 	
      427	          388 	
      428	          396 	
      429	          378 	
      430	          378 	
      431	          388 	
      432	          374 	
      433	          405 	
      434	          372 	
      435	          430 	
      436	          386 	
      437	          394 	
      438	          404 	
      439	          359 	
      440	          390 	
      441	          394 	
      442	          387 	
      443	          372 	
      444	          375 	
      445	          419 	
      446	          424 	
      447	          425 	
      448	          413 	
      449	          351 	
      450	          425 	
      451	          437 	
      452	          397 	
      453	          382 	
      454	          393 	
      455	          387 	
      456	          383 	
      457	          400 	
      458	          404 	
      459	          420 	
      460	          472 	
      461	          388 	
      462	          400 	
      463	          405 	
      464	          361 	
      465	          433 	
      466	          394 	
      467	          396 	
      468	          357 	
      469	          420 	
      470	          414 	
      471	          348 	
      472	          386 	
      473	          395 	
      474	          408 	
      475	          383 	
      476	          349 	
      477	          379 	
      478	          381 	
      479	          375 	
      480	          393 	
      481	          407 	
      482	          408 	
      483	          444 	
      484	          375 	
      485	          405 	
      486	          391 	
      487	          395 	
      488	          377 	
      489	          383 	
      490	          418 	
      491	          373 	
      492	          418 	
      493	          400 	
      494	          370 	
      495	          390 	
      496	          405 	
      497	          356 	
      498	          389 	
      499	          367 	
      500	          368 	
      501	          376 	
      502	          402 	
      503	          368 	
      504	          394 	
      505	          414 	
      506	          401 	
      507	          416 	
      508	          407 	
      509	          424 	
      510	          358 	
      511	          391 	
      512	          394 	
      513	          379 	
      514	          379 	
      515	          395 	
      516	          402 	
      517	          406 	
      518	          391 	
      519	          412 	
      520	          372 	
      521	          402 	
      522	          380 	
      523	          378 	
      524	          411 	
      525	          414 	
      526	          372 	
      527	          386 	
      528	          392 	
      529	          369 	
      530	          417 	
      531	          382 	
      532	          402 	
      533	          410 	
      534	          376 	
      535	          421 	
      536	          345 	
      537	          409 	
      538	          361 	
      539	          393 	
      540	          429 	
      541	          377 	
      542	          394 	
      543	          389 	
      544	          396 	
      545	          377 	
      546	          381 	
      547	          375 	
