"Date","August-15-2025"
"Time","20h52m17s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,9.999880e-01,4.902741e-03,-5.894787e-05,1.404538e-01,-1.688732e-03,9.999940e-01,-6.888598e-01,1.007090e+02,-4.179805e+01,6.609902e-08,
2.999998e-02,9.999772e-01,6.665575e-03,1.070452e-03,1.909562e-01,3.066621e-02,9.999886e-01,9.123466e+00,1.007710e+02,-4.178637e+01,6.627710e-08,
5.999997e-02,9.999806e-01,5.614629e-03,2.689742e-03,1.608487e-01,7.705552e-02,9.999903e-01,2.559720e+01,1.006515e+02,-4.179916e+01,6.608211e-08,
8.999995e-02,9.999713e-01,7.556526e-03,4.919487e-04,2.164806e-01,1.409329e-02,9.999857e-01,3.724842e+00,1.007251e+02,-4.180217e+01,6.603636e-08,
1.199999e-01,9.999679e-01,7.974936e-03,-7.548326e-04,2.284676e-01,-2.162436e-02,9.999840e-01,-5.406973e+00,1.005728e+02,-4.180105e+01,6.605337e-08,
1.499999e-01,9.999753e-01,7.028205e-03,1.438481e-04,2.013449e-01,4.120944e-03,9.999876e-01,1.172524e+00,1.008192e+02,-4.179291e+01,6.617729e-08,
1.799999e-01,9.999448e-01,9.894546e-03,3.536336e-03,2.834643e-01,1.013088e-01,9.999724e-01,1.966702e+01,1.006278e+02,-4.180595e+01,6.597890e-08,
2.099999e-01,9.999854e-01,5.253208e-03,1.259589e-03,1.504941e-01,3.608457e-02,9.999927e-01,1.348355e+01,1.006175e+02,-4.180059e+01,6.606037e-08,
2.399999e-01,9.999679e-01,8.004739e-03,-3.076111e-04,2.293213e-01,-8.812410e-03,9.999840e-01,-2.200715e+00,1.007053e+02,-4.179415e+01,6.615842e-08,
2.699999e-01,9.999838e-01,5.532868e-03,1.337576e-03,1.585059e-01,3.831875e-02,9.999919e-01,1.359056e+01,1.005747e+02,-4.179012e+01,6.621983e-08,
2.999998e-01,9.999769e-01,6.348232e-03,2.431011e-03,1.818652e-01,6.964342e-02,9.999884e-01,2.095400e+01,1.006375e+02,-4.179607e+01,6.612916e-08,
3.299998e-01,9.999826e-01,5.806093e-03,1.064389e-03,1.663333e-01,3.049251e-02,9.999913e-01,1.038827e+01,1.005030e+02,-4.180598e+01,6.597840e-08,
3.599998e-01,9.999709e-01,7.588232e-03,-8.264337e-04,2.173890e-01,-2.367559e-02,9.999854e-01,-6.215581e+00,1.007436e+02,-4.180086e+01,6.605629e-08,
3.899998e-01,9.999877e-01,4.961391e-03,1.506207e-04,1.421340e-01,4.314965e-03,9.999938e-01,1.738883e+00,1.004944e+02,-4.179700e+01,6.611502e-08,
4.199998e-01,9.999437e-01,1.002567e-02,3.466012e-03,2.872209e-01,9.929413e-02,9.999719e-01,1.907097e+01,1.006532e+02,-4.179034e+01,6.621648e-08,
4.499998e-01,9.999795e-01,6.240243e-03,1.400538e-03,1.787711e-01,4.012246e-02,9.999898e-01,1.264964e+01,1.005359e+02,-4.180060e+01,6.606025e-08,
4.799997e-01,9.999792e-01,6.453390e-03,-2.296911e-04,1.848773e-01,-6.580166e-03,9.999896e-01,-2.038429e+00,1.005975e+02,-4.180373e+01,6.601265e-08,
5.099997e-01,9.999819e-01,5.995635e-03,-3.943116e-04,1.717633e-01,-1.129620e-02,9.999910e-01,-3.762721e+00,1.006633e+02,-4.179548e+01,6.613809e-08,
5.399997e-01,9.999921e-01,3.812461e-03,1.104865e-03,1.092193e-01,3.165205e-02,9.999961e-01,1.616178e+01,1.006863e+02,-4.179524e+01,6.614177e-08,
5.699997e-01,9.999904e-01,3.751181e-03,2.261534e-03,1.074639e-01,6.478823e-02,9.999952e-01,3.108518e+01,1.006669e+02,-4.179648e+01,6.612298e-08,
5.999997e-01,9.999883e-01,4.029170e-03,2.672606e-03,1.154279e-01,7.656462e-02,9.999942e-01,3.355689e+01,1.005496e+02,-4.180150e+01,6.604647e-08,
6.299997e-01,9.999977e-01,5.268252e-04,2.088001e-03,1.509247e-02,5.981685e-02,9.999988e-01,7.583921e+01,1.005954e+02,-4.179771e+01,6.610423e-08,
6.599996e-01,9.999956e-01,1.766120e-03,2.380664e-03,5.059579e-02,6.820106e-02,9.999978e-01,5.342974e+01,1.006997e+02,-4.179503e+01,6.614506e-08,
6.899996e-01,9.999989e-01,3.091574e-05,1.489224e-03,8.856716e-04,4.266315e-02,9.999994e-01,8.881073e+01,1.006102e+02,-4.180066e+01,6.605926e-08,
7.199996e-01,9.999965e-01,2.602018e-03,5.360684e-04,7.454243e-02,1.535723e-02,9.999982e-01,1.164121e+01,1.007224e+02,-4.179266e+01,6.618114e-08,
7.499996e-01,9.999854e-01,5.298746e-03,-1.098812e-03,1.517987e-01,-3.147866e-02,9.999927e-01,-1.171550e+01,1.004439e+02,-4.180052e+01,6.606139e-08,
7.799996e-01,9.999850e-01,5.379331e-03,-1.078181e-03,1.541073e-01,-3.088762e-02,9.999925e-01,-1.133364e+01,1.006394e+02,-4.179688e+01,6.611675e-08,
8.099996e-01,9.999991e-01,8.219881e-04,1.065724e-03,2.354824e-02,3.053075e-02,9.999995e-01,5.235716e+01,1.008278e+02,-4.178419e+01,6.631036e-08,
8.399996e-01,9.999946e-01,2.625379e-03,1.995212e-03,7.521179e-02,5.715864e-02,9.999973e-01,3.723378e+01,1.006520e+02,-4.179554e+01,6.613730e-08,
8.699995e-01,9.999921e-01,2.667095e-03,2.960877e-03,7.640707e-02,8.482300e-02,9.999960e-01,4.798815e+01,1.007596e+02,-4.179574e+01,6.613422e-08,
