"Date","August-15-2025"
"Time","20h51m00s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-9.999755e-01,-7.669716e-05,6.993452e-03,-8.999780e+01,2.003493e-01,1.222871e-05,9.062834e+01,1.057452e+02,-4.180881e+01,6.593541e-08,
2.999998e-02,-9.999970e-01,-2.379532e-03,-5.414544e-04,-8.993183e+01,-1.551153e-02,1.488838e-06,-1.671808e+02,1.037426e+02,-4.178029e+01,6.636981e-08,
5.999997e-02,-9.999974e-01,-8.793737e-04,-2.100720e-03,-8.997481e+01,-6.018123e-02,1.296582e-06,-1.127145e+02,1.047809e+02,-4.179725e+01,6.611118e-08,
8.999995e-02,-9.999675e-01,-6.368829e-03,4.935366e-03,-8.981754e+01,1.413884e-01,1.623022e-05,1.422270e+02,1.045668e+02,-4.178975e+01,6.622545e-08,
1.199999e-01,-9.999766e-01,3.648994e-03,5.785493e-03,8.989546e+01,1.657431e-01,1.169691e-05,5.775978e+01,1.047239e+02,-4.179298e+01,6.617617e-08,
1.499999e-01,-9.999821e-01,-4.978199e-03,3.315529e-03,-8.985738e+01,9.498309e-02,8.943880e-06,1.463360e+02,1.050740e+02,-4.180049e+01,6.606183e-08,
1.799999e-01,-9.999887e-01,-3.539050e-03,-3.171507e-03,-8.989861e+01,-9.085713e-02,5.645864e-06,-1.381350e+02,1.044785e+02,-4.178574e+01,6.628665e-08,
2.099999e-01,-9.999774e-01,-6.322020e-03,2.274578e-03,-8.981889e+01,6.516193e-02,1.128554e-05,1.602119e+02,1.048072e+02,-4.179127e+01,6.620222e-08,
2.399999e-01,-9.999680e-01,1.865753e-03,7.783907e-03,8.994655e+01,2.229948e-01,1.601782e-05,7.652086e+01,1.047017e+02,-4.178918e+01,6.623419e-08,
2.699999e-01,-9.999937e-01,-2.014938e-03,2.911572e-03,-8.994228e+01,8.341050e-02,3.134316e-06,1.246850e+02,1.050734e+02,-4.179877e+01,6.608803e-08,
