Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-02
Time (HH:MM:SS):	17:53:00
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	100
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           65 	
        2	           74 	
        3	           64 	
        4	           71 	
        5	           64 	
        6	           66 	
        7	           57 	
        8	           63 	
        9	           61 	
       10	           68 	
       11	           70 	
       12	           73 	
       13	           70 	
       14	           71 	
       15	           66 	
       16	           72 	
       17	           68 	
       18	           64 	
       19	           71 	
       20	           61 	
       21	           53 	
       22	           73 	
       23	           61 	
       24	           72 	
       25	           66 	
       26	           86 	
       27	           79 	
       28	           54 	
       29	           58 	
       30	           73 	
       31	           79 	
       32	           61 	
       33	           60 	
       34	           76 	
       35	           60 	
       36	           49 	
       37	           58 	
       38	           55 	
       39	           63 	
       40	           78 	
       41	           70 	
       42	           68 	
       43	           55 	
       44	           66 	
       45	           66 	
       46	           65 	
       47	           53 	
       48	           76 	
       49	           62 	
       50	           62 	
       51	           69 	
       52	           66 	
       53	           60 	
       54	           67 	
       55	           60 	
       56	           46 	
       57	           77 	
       58	           58 	
       59	           57 	
       60	           74 	
       61	           58 	
       62	           54 	
       63	           65 	
       64	           65 	
       65	           67 	
       66	           68 	
       67	           72 	
       68	           63 	
       69	           68 	
       70	           71 	
       71	           70 	
       72	           67 	
       73	           65 	
       74	           64 	
       75	           68 	
       76	           68 	
       77	           62 	
       78	           71 	
       79	           56 	
       80	           66 	
       81	           81 	
       82	           64 	
       83	           70 	
       84	           73 	
       85	           72 	
       86	           61 	
       87	           63 	
       88	           70 	
       89	           73 	
       90	           81 	
       91	           49 	
       92	           67 	
       93	           66 	
       94	           72 	
       95	           75 	
       96	           58 	
       97	           73 	
       98	           63 	
       99	           66 	
      100	           60 	
