Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-05
Time (HH:MM:SS):	21:35:12
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	100
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           43 	
        2	           49 	
        3	           36 	
        4	           47 	
        5	           56 	
        6	           53 	
        7	           57 	
        8	           46 	
        9	           46 	
       10	           49 	
       11	           52 	
       12	           46 	
       13	           48 	
       14	           53 	
       15	           46 	
       16	           41 	
       17	           48 	
       18	           45 	
       19	           38 	
       20	           43 	
       21	           62 	
       22	           44 	
       23	           49 	
       24	           61 	
       25	           47 	
       26	           56 	
       27	           40 	
       28	           51 	
       29	           43 	
       30	           49 	
       31	           31 	
       32	           25 	
       33	           16 	
       34	           38 	
       35	           42 	
       36	           47 	
       37	           56 	
       38	           50 	
       39	           46 	
       40	           41 	
       41	           51 	
       42	           49 	
       43	           46 	
       44	           51 	
       45	           55 	
       46	           44 	
       47	           47 	
       48	           45 	
       49	           40 	
       50	           42 	
       51	           34 	
       52	           48 	
       53	           38 	
       54	           40 	
       55	           47 	
       56	           42 	
       57	           37 	
       58	           43 	
       59	           39 	
       60	           51 	
       61	           37 	
       62	           55 	
       63	           53 	
       64	           34 	
       65	           35 	
       66	           41 	
       67	           22 	
       68	           42 	
       69	           57 	
       70	           51 	
       71	           65 	
       72	           56 	
       73	           49 	
       74	           56 	
       75	           41 	
       76	           40 	
       77	           44 	
       78	           52 	
       79	           50 	
       80	           44 	
       81	           40 	
       82	           34 	
       83	           54 	
       84	           59 	
       85	           38 	
       86	           35 	
       87	           48 	
       88	           42 	
       89	           48 	
       90	           42 	
       91	           42 	
       92	           41 	
       93	           53 	
       94	           42 	
       95	           42 	
       96	           37 	
       97	           41 	
       98	           44 	
       99	           62 	
      100	           43 	
