Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-05
Time (HH:MM:SS):	22:00:17
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	100
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	        54700 	
        2	        54657 	
        3	        54349 	
        4	        54263 	
        5	        54795 	
        6	        54687 	
        7	        54057 	
        8	        54818 	
        9	        54284 	
       10	        54405 	
       11	        54350 	
       12	        54534 	
       13	        54472 	
       14	        54337 	
       15	        54665 	
       16	        54440 	
       17	        54840 	
       18	        54380 	
       19	        54058 	
       20	        54462 	
       21	        54794 	
       22	        54414 	
       23	        54595 	
       24	        54979 	
       25	        54335 	
       26	        54683 	
       27	        54636 	
       28	        54534 	
       29	        54839 	
       30	        54428 	
       31	        54586 	
       32	        54285 	
       33	        54358 	
       34	        54475 	
       35	        54565 	
       36	        54333 	
       37	        54106 	
       38	        54543 	
       39	        54729 	
       40	        54911 	
       41	        54322 	
       42	        54112 	
       43	        54061 	
       44	        54296 	
       45	        53777 	
       46	        54776 	
       47	        54742 	
       48	        54662 	
       49	        54439 	
       50	        54656 	
       51	        54273 	
       52	        54488 	
       53	        54767 	
       54	        54960 	
       55	        54561 	
       56	        54207 	
       57	        54368 	
       58	        54640 	
       59	        54609 	
       60	        54452 	
       61	        54242 	
       62	        54444 	
       63	        54767 	
       64	        54356 	
       65	        54459 	
       66	        54690 	
       67	        54823 	
       68	        54578 	
       69	        54478 	
       70	        54549 	
       71	        54435 	
       72	        54650 	
       73	        54677 	
       74	        54982 	
       75	        54392 	
       76	        54917 	
       77	        54588 	
       78	        54419 	
       79	        54434 	
       80	        54527 	
       81	        54480 	
       82	        54761 	
       83	        54654 	
       84	        54371 	
       85	        54636 	
       86	        54620 	
       87	        54430 	
       88	        54468 	
       89	        54471 	
       90	        54599 	
       91	        54257 	
       92	        54517 	
       93	        54621 	
       94	        54610 	
       95	        54715 	
       96	        54714 	
       97	        54225 	
       98	        54628 	
       99	        54547 	
      100	        55022 	
