Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-05
Time (HH:MM:SS):	22:00:54
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	100
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	        59004 	
        2	        58817 	
        3	        59006 	
        4	        58908 	
        5	        59114 	
        6	        58811 	
        7	        58358 	
        8	        59059 	
        9	        58683 	
       10	        58726 	
       11	        58837 	
       12	        58850 	
       13	        58845 	
       14	        59340 	
       15	        58961 	
       16	        59074 	
       17	        58924 	
       18	        59531 	
       19	        59015 	
       20	        58822 	
       21	        59440 	
       22	        58944 	
       23	        58986 	
       24	        59405 	
       25	        58828 	
       26	        59184 	
       27	        58939 	
       28	        58965 	
       29	        59366 	
       30	        58183 	
       31	        59105 	
       32	        59266 	
       33	        59014 	
       34	        59040 	
       35	        59298 	
       36	        59165 	
       37	        59141 	
       38	        58998 	
       39	        58114 	
       40	        59043 	
       41	        58975 	
       42	        58599 	
       43	        59151 	
       44	        58621 	
       45	        59204 	
       46	        59087 	
       47	        58875 	
       48	        59144 	
       49	        58835 	
       50	        58840 	
       51	        58617 	
       52	        58350 	
       53	        58359 	
       54	        58630 	
       55	        58988 	
       56	        58949 	
       57	        58661 	
       58	        58735 	
       59	        58861 	
       60	        59358 	
       61	        58795 	
       62	        59047 	
       63	        59233 	
       64	        59294 	
       65	        58758 	
       66	        58965 	
       67	        59076 	
       68	        58720 	
       69	        58715 	
       70	        59490 	
       71	        59000 	
       72	        58811 	
       73	        58694 	
       74	        58907 	
       75	        58721 	
       76	        59207 	
       77	        58607 	
       78	        58917 	
       79	        58681 	
       80	        59014 	
       81	        58923 	
       82	        58719 	
       83	        58918 	
       84	        59178 	
       85	        58893 	
       86	        58593 	
       87	        58989 	
       88	        58880 	
       89	        58752 	
       90	        58673 	
       91	        58099 	
       92	        59224 	
       93	        58397 	
       94	        59119 	
       95	        59008 	
       96	        58871 	
       97	        59191 	
       98	        58937 	
       99	        59047 	
      100	        59016 	
