Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-06-27
Time (HH:MM:SS):	22:30:07
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	800
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          476 	
        2	          465 	
        3	          462 	
        4	          492 	
        5	          509 	
        6	          478 	
        7	          484 	
        8	          507 	
        9	          470 	
       10	          480 	
       11	          491 	
       12	          496 	
       13	          491 	
       14	          494 	
       15	          496 	
       16	          510 	
       17	          474 	
       18	          479 	
       19	          515 	
       20	          504 	
       21	          491 	
       22	          494 	
       23	          513 	
       24	          484 	
       25	          511 	
       26	          514 	
       27	          509 	
       28	          533 	
       29	          552 	
       30	          458 	
       31	          514 	
       32	          516 	
       33	          493 	
       34	          527 	
       35	          518 	
       36	          500 	
       37	          559 	
       38	          513 	
       39	          516 	
       40	          567 	
       41	          519 	
       42	          509 	
       43	          547 	
       44	          495 	
       45	          530 	
       46	          483 	
       47	          510 	
       48	          521 	
       49	          528 	
       50	          515 	
       51	          532 	
       52	          516 	
       53	          530 	
       54	          517 	
       55	          542 	
       56	          522 	
       57	          536 	
       58	          502 	
       59	          506 	
       60	          503 	
       61	          514 	
       62	          486 	
       63	          468 	
       64	          524 	
       65	          525 	
       66	          520 	
       67	          476 	
       68	          544 	
       69	          525 	
       70	          502 	
       71	          502 	
       72	          539 	
       73	          498 	
       74	          542 	
       75	          525 	
       76	          515 	
       77	          539 	
       78	          519 	
       79	          518 	
       80	          494 	
       81	          515 	
       82	          500 	
       83	          506 	
       84	          553 	
       85	          518 	
       86	          510 	
       87	          486 	
       88	          483 	
       89	          516 	
       90	          481 	
       91	          525 	
       92	          535 	
       93	          514 	
       94	          509 	
       95	          509 	
       96	          433 	
       97	          484 	
       98	          464 	
       99	          482 	
      100	          464 	
      101	          494 	
      102	          478 	
      103	          489 	
      104	          488 	
      105	          472 	
      106	          509 	
      107	          492 	
      108	          465 	
      109	          503 	
      110	          524 	
      111	          502 	
      112	          474 	
      113	          489 	
      114	          466 	
      115	          461 	
      116	          468 	
      117	          473 	
      118	          494 	
      119	          462 	
      120	          518 	
      121	          481 	
      122	          482 	
      123	          503 	
      124	          499 	
      125	          501 	
      126	          498 	
      127	          505 	
      128	          504 	
      129	          479 	
      130	          512 	
      131	          495 	
      132	          474 	
      133	          500 	
      134	          453 	
      135	          468 	
      136	          491 	
      137	          479 	
      138	          505 	
      139	          537 	
      140	          541 	
      141	          504 	
      142	          540 	
      143	          519 	
      144	          519 	
      145	          523 	
      146	          536 	
      147	          500 	
      148	          524 	
      149	          506 	
      150	          519 	
      151	          580 	
      152	          521 	
      153	          532 	
      154	          568 	
      155	          547 	
      156	          490 	
      157	          496 	
      158	          555 	
      159	          535 	
      160	          498 	
      161	          490 	
      162	          530 	
      163	          530 	
      164	          576 	
      165	          561 	
      166	          529 	
      167	          541 	
      168	          518 	
      169	          523 	
      170	          498 	
      171	          536 	
      172	          497 	
      173	          556 	
      174	          525 	
      175	          536 	
      176	          535 	
      177	          504 	
      178	          527 	
      179	          587 	
      180	          463 	
      181	          514 	
      182	          497 	
      183	          532 	
      184	          567 	
      185	          521 	
      186	          544 	
      187	          485 	
      188	          530 	
      189	          508 	
      190	          497 	
      191	          539 	
      192	          512 	
      193	          507 	
      194	          500 	
      195	          500 	
      196	          492 	
      197	          519 	
      198	          474 	
      199	          524 	
      200	          487 	
      201	          488 	
      202	          518 	
      203	          508 	
      204	          513 	
      205	          497 	
      206	          473 	
      207	          485 	
      208	          518 	
      209	          435 	
      210	          510 	
      211	          515 	
      212	          531 	
      213	          488 	
      214	          521 	
      215	          495 	
      216	          488 	
      217	          450 	
      218	          517 	
      219	          497 	
      220	          493 	
      221	          482 	
      222	          481 	
      223	          449 	
      224	          472 	
      225	          486 	
      226	          507 	
      227	          471 	
      228	          472 	
      229	          507 	
      230	          447 	
