Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-06-27
Time (HH:MM:SS):	22:08:59
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	800
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	            5 	
        2	            9 	
        3	           11 	
        4	            8 	
        5	           14 	
        6	            7 	
        7	            8 	
        8	            8 	
        9	            2 	
       10	            8 	
       11	            6 	
       12	            5 	
       13	            7 	
       14	            3 	
       15	            4 	
       16	           12 	
       17	            6 	
       18	           10 	
       19	            5 	
       20	            4 	
       21	            6 	
       22	            4 	
       23	            6 	
       24	            8 	
       25	            6 	
       26	            4 	
       27	            5 	
       28	           10 	
       29	            9 	
       30	            7 	
       31	            6 	
       32	            6 	
       33	            4 	
       34	            5 	
       35	            2 	
       36	            4 	
       37	            6 	
       38	            3 	
       39	           10 	
       40	            2 	
       41	            6 	
       42	            5 	
       43	            7 	
       44	           10 	
       45	            9 	
       46	            7 	
       47	            9 	
       48	            4 	
       49	            5 	
       50	           11 	
       51	            2 	
       52	            4 	
       53	            4 	
       54	            5 	
       55	            7 	
       56	            7 	
       57	            6 	
       58	            7 	
       59	            5 	
       60	            5 	
       61	            5 	
       62	            8 	
       63	            6 	
       64	            8 	
       65	            9 	
       66	            6 	
       67	            6 	
       68	           10 	
       69	            8 	
       70	            2 	
       71	            5 	
       72	           13 	
       73	           11 	
       74	            8 	
       75	            7 	
       76	            6 	
       77	            6 	
       78	            4 	
       79	            3 	
       80	            8 	
       81	            4 	
       82	            7 	
       83	            1 	
       84	            7 	
       85	            4 	
       86	            9 	
       87	            9 	
       88	            4 	
       89	            5 	
       90	            7 	
       91	           11 	
       92	            9 	
       93	            3 	
       94	            6 	
       95	            5 	
       96	            7 	
       97	            5 	
       98	            0 	
       99	            4 	
      100	            6 	
      101	            6 	
      102	           10 	
      103	            4 	
      104	            1 	
      105	           11 	
      106	            5 	
      107	            6 	
      108	            7 	
      109	           10 	
      110	            4 	
      111	            0 	
      112	            3 	
      113	            3 	
      114	            3 	
      115	           13 	
      116	            9 	
      117	            7 	
      118	           14 	
      119	            9 	
      120	            7 	
      121	           12 	
      122	            3 	
      123	            8 	
      124	            8 	
      125	            5 	
      126	            8 	
      127	            6 	
      128	            5 	
      129	            6 	
      130	            7 	
      131	            6 	
      132	            5 	
      133	            9 	
      134	            7 	
      135	            9 	
      136	            7 	
      137	            5 	
      138	            1 	
      139	            6 	
      140	            5 	
      141	            7 	
      142	            8 	
      143	            3 	
      144	            4 	
      145	            8 	
      146	            6 	
      147	            5 	
      148	            4 	
      149	            7 	
      150	            4 	
      151	            8 	
      152	            3 	
      153	            6 	
      154	            5 	
      155	            6 	
      156	            5 	
      157	            5 	
      158	            4 	
      159	            7 	
      160	            6 	
      161	            3 	
      162	            5 	
      163	            2 	
      164	            4 	
      165	            7 	
      166	            4 	
      167	            2 	
      168	            8 	
      169	            6 	
      170	            8 	
      171	            7 	
      172	            6 	
      173	            9 	
      174	            4 	
      175	            5 	
      176	            3 	
      177	            5 	
      178	            6 	
      179	            2 	
      180	            3 	
      181	            5 	
      182	           12 	
      183	            5 	
      184	            5 	
      185	            9 	
      186	            3 	
      187	            4 	
      188	            7 	
      189	            6 	
      190	            7 	
      191	           10 	
      192	            4 	
      193	           10 	
      194	            9 	
      195	            7 	
      196	            7 	
      197	            6 	
      198	            3 	
      199	            6 	
      200	            8 	
      201	            5 	
