Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-06-25
Time (HH:MM:SS):	17:14:41
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	100
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           30 	
        2	           35 	
        3	           54 	
        4	           48 	
        5	           50 	
        6	           56 	
        7	           56 	
        8	           49 	
        9	           42 	
       10	           49 	
       11	           43 	
       12	           61 	
       13	           48 	
       14	           53 	
       15	           30 	
       16	           55 	
       17	           36 	
       18	           45 	
       19	           39 	
       20	           34 	
       21	           44 	
       22	           46 	
       23	           47 	
       24	           51 	
       25	           43 	
       26	           59 	
       27	           39 	
       28	           37 	
       29	           59 	
       30	           40 	
       31	           61 	
       32	           41 	
       33	           42 	
       34	           51 	
       35	           41 	
       36	           56 	
       37	           55 	
       38	           35 	
       39	           39 	
       40	           44 	
       41	           45 	
       42	           53 	
       43	           54 	
       44	           42 	
       45	           45 	
       46	           48 	
       47	           49 	
       48	           34 	
       49	           51 	
       50	           43 	
       51	           49 	
       52	           52 	
       53	           44 	
       54	           50 	
       55	           55 	
       56	           45 	
       57	           52 	
       58	           65 	
       59	           48 	
       60	           41 	
       61	           36 	
       62	           61 	
       63	           43 	
       64	           42 	
       65	           35 	
       66	           42 	
       67	           33 	
       68	           59 	
       69	           42 	
       70	           45 	
       71	           31 	
       72	           47 	
       73	           48 	
       74	           58 	
       75	           31 	
       76	           46 	
       77	           35 	
       78	           43 	
       79	           48 	
       80	           40 	
       81	           51 	
       82	           32 	
       83	           45 	
       84	           40 	
       85	           41 	
       86	           42 	
       87	           42 	
       88	           43 	
       89	           34 	
       90	           54 	
       91	           36 	
       92	           47 	
       93	           35 	
       94	           54 	
       95	           54 	
       96	           46 	
       97	           35 	
       98	           39 	
       99	           38 	
      100	           39 	
