Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-06-25
Time (HH:MM:SS):	17:20:49
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	100
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          411 	
        2	          417 	
        3	          406 	
        4	          451 	
        5	          414 	
        6	          417 	
        7	          405 	
        8	          450 	
        9	          471 	
       10	          451 	
       11	          383 	
       12	          432 	
       13	          450 	
       14	          431 	
       15	          409 	
       16	          433 	
       17	          440 	
       18	          417 	
       19	          454 	
       20	          417 	
       21	          446 	
       22	          407 	
       23	          439 	
       24	          407 	
       25	          408 	
       26	          431 	
       27	          398 	
       28	          472 	
       29	          421 	
       30	          403 	
       31	          394 	
       32	          434 	
       33	          393 	
       34	          441 	
       35	          423 	
       36	          416 	
       37	          389 	
       38	          414 	
       39	          433 	
       40	          460 	
       41	          440 	
       42	          450 	
       43	          435 	
       44	          431 	
       45	          402 	
       46	          462 	
       47	          441 	
       48	          412 	
       49	          444 	
       50	          458 	
       51	          458 	
       52	          390 	
       53	          437 	
       54	          404 	
       55	          422 	
       56	          409 	
       57	          451 	
       58	          446 	
       59	          432 	
       60	          442 	
       61	          431 	
       62	          438 	
       63	          461 	
       64	          452 	
       65	          453 	
       66	          425 	
       67	          397 	
       68	          434 	
       69	          410 	
       70	          428 	
       71	          436 	
       72	          430 	
       73	          426 	
       74	          426 	
       75	          435 	
       76	          431 	
       77	          402 	
       78	          418 	
       79	          415 	
       80	          406 	
       81	          410 	
       82	          409 	
       83	          418 	
       84	          437 	
       85	          448 	
       86	          436 	
       87	          422 	
       88	          454 	
       89	          447 	
       90	          420 	
       91	          437 	
       92	          398 	
       93	          386 	
       94	          405 	
       95	          435 	
       96	          410 	
       97	          457 	
       98	          456 	
       99	          413 	
      100	          415 	
