Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-06-24
Time (HH:MM:SS):	14:53:23
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	100
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           51 	
        2	           31 	
        3	           37 	
        4	           47 	
        5	           44 	
        6	           36 	
        7	           31 	
        8	           44 	
        9	           30 	
       10	           36 	
       11	           45 	
       12	           35 	
       13	           55 	
       14	           42 	
       15	           36 	
       16	           35 	
       17	           36 	
       18	           48 	
       19	           51 	
       20	           41 	
       21	           43 	
       22	           40 	
       23	           43 	
       24	           27 	
       25	           53 	
       26	           39 	
       27	           41 	
       28	           36 	
       29	           39 	
       30	           52 	
       31	           47 	
       32	           33 	
       33	           44 	
       34	           41 	
       35	           41 	
       36	           47 	
       37	           37 	
       38	           44 	
       39	           33 	
       40	           35 	
       41	           50 	
       42	           41 	
       43	           36 	
       44	           53 	
       45	           40 	
       46	           61 	
       47	           33 	
       48	           39 	
       49	           27 	
       50	           37 	
       51	           41 	
       52	           47 	
       53	           28 	
       54	           36 	
       55	           40 	
       56	           52 	
       57	           43 	
       58	           34 	
       59	           40 	
       60	           43 	
       61	           43 	
       62	           37 	
       63	           45 	
       64	           41 	
       65	           44 	
       66	           38 	
       67	           43 	
       68	           32 	
       69	           31 	
       70	           43 	
       71	           49 	
       72	           38 	
       73	           36 	
       74	           34 	
       75	           42 	
       76	           42 	
       77	           52 	
       78	           45 	
       79	           43 	
       80	           46 	
       81	           45 	
       82	           35 	
       83	           38 	
       84	           46 	
       85	           34 	
       86	           49 	
       87	           39 	
       88	           43 	
       89	           39 	
       90	           48 	
       91	           23 	
       92	           40 	
       93	           55 	
       94	           36 	
       95	           37 	
       96	           42 	
       97	           40 	
       98	           50 	
       99	           37 	
      100	           40 	
