Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-06-26
Time (HH:MM:SS):	23:19:37
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	100
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           76 	
        2	           69 	
        3	           71 	
        4	           66 	
        5	           72 	
        6	           69 	
        7	           68 	
        8	           87 	
        9	           62 	
       10	           59 	
       11	           74 	
       12	           83 	
       13	           81 	
       14	           78 	
       15	           68 	
       16	           72 	
       17	           82 	
       18	           81 	
       19	           80 	
       20	           65 	
       21	           81 	
       22	           84 	
       23	           72 	
       24	           55 	
       25	           89 	
       26	           72 	
       27	           80 	
       28	           78 	
       29	           77 	
       30	           79 	
       31	           70 	
       32	           85 	
       33	           60 	
       34	           87 	
       35	           67 	
       36	           97 	
       37	           72 	
       38	           89 	
       39	           82 	
       40	           86 	
       41	           79 	
       42	           83 	
       43	           75 	
       44	           56 	
       45	           79 	
       46	           72 	
       47	           74 	
       48	           72 	
       49	           72 	
       50	           66 	
       51	           74 	
       52	           71 	
       53	           81 	
       54	           75 	
       55	           82 	
       56	           76 	
       57	           69 	
       58	           69 	
       59	           71 	
       60	           68 	
       61	           69 	
       62	           83 	
       63	           63 	
       64	           73 	
       65	           73 	
       66	           86 	
       67	           65 	
       68	           87 	
       69	           69 	
       70	           88 	
       71	           78 	
       72	           77 	
       73	           73 	
       74	           82 	
       75	           67 	
       76	           66 	
       77	           75 	
       78	           66 	
       79	           82 	
       80	           74 	
       81	           75 	
       82	           67 	
       83	           85 	
       84	           78 	
       85	          103 	
       86	           76 	
       87	           68 	
       88	           62 	
       89	           71 	
       90	           89 	
       91	           73 	
       92	           75 	
       93	           85 	
       94	           68 	
       95	           75 	
       96	           74 	
       97	           76 	
       98	           62 	
       99	           75 	
      100	           79 	
