Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-06-26
Time (HH:MM:SS):	23:16:11
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	100
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           56 	
        2	           61 	
        3	           52 	
        4	           56 	
        5	           51 	
        6	           55 	
        7	           38 	
        8	           53 	
        9	           65 	
       10	           54 	
       11	           61 	
       12	           65 	
       13	           42 	
       14	           42 	
       15	           54 	
       16	           68 	
       17	           47 	
       18	           52 	
       19	           45 	
       20	           43 	
       21	           59 	
       22	           54 	
       23	           64 	
       24	           48 	
       25	           65 	
       26	           40 	
       27	           41 	
       28	           57 	
       29	           45 	
       30	           46 	
       31	           50 	
       32	           49 	
       33	           57 	
       34	           45 	
       35	           44 	
       36	           62 	
       37	           64 	
       38	           67 	
       39	           63 	
       40	           58 	
       41	           52 	
       42	           53 	
       43	           47 	
       44	           45 	
       45	           48 	
       46	           45 	
       47	           63 	
       48	           53 	
       49	           44 	
       50	           50 	
       51	           51 	
       52	           43 	
       53	           52 	
       54	           59 	
       55	           52 	
       56	           48 	
       57	           44 	
       58	           53 	
       59	           39 	
       60	           51 	
       61	           60 	
       62	           47 	
       63	           68 	
       64	           55 	
       65	           56 	
       66	           45 	
       67	           70 	
       68	           50 	
       69	           45 	
       70	           42 	
       71	           71 	
       72	           46 	
       73	           46 	
       74	           52 	
       75	           58 	
       76	           48 	
       77	           57 	
       78	           60 	
       79	           64 	
       80	           45 	
       81	           56 	
       82	           72 	
       83	           65 	
       84	           49 	
       85	           53 	
       86	           44 	
       87	           47 	
       88	           51 	
       89	           40 	
       90	           42 	
       91	           52 	
       92	           36 	
       93	           53 	
       94	           49 	
       95	           53 	
       96	           57 	
       97	           51 	
       98	           58 	
       99	           55 	
      100	           52 	
