"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [�]","Ellipticity [�]","Power Split Ratio","Phase Difference [�]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,3.360426e-02,2.404330e-01,-9.700839e-01,4.102178e+01,-3.797496e+01,5.168021e-01,-7.607988e+01,9.968877e+01,-2.370409e+01,4.261783e-06,
2.999998e-02,3.210488e-02,2.412469e-01,-9.699326e-01,4.120984e+01,-3.795713e+01,5.160524e-01,-7.603251e+01,9.976978e+01,-2.371777e+01,4.248375e-06,
5.999997e-02,3.305598e-02,2.407282e-01,-9.700295e-01,4.109062e+01,-3.796854e+01,5.165280e-01,-7.606271e+01,9.965838e+01,-2.373180e+01,4.234675e-06,
8.999995e-02,3.177887e-02,2.436644e-01,-9.693388e-01,4.128469e+01,-3.788757e+01,5.158894e-01,-7.588981e+01,9.970909e+01,-2.373890e+01,4.227759e-06,
1.199999e-01,3.236312e-02,2.459012e-01,-9.687545e-01,4.125119e+01,-3.781976e+01,5.161816e-01,-7.575728e+01,9.971604e+01,-2.373135e+01,4.235112e-06,
1.499999e-01,3.203881e-02,2.471577e-01,-9.684454e-01,4.130700e+01,-3.778415e+01,5.160194e-01,-7.568311e+01,9.974969e+01,-2.372794e+01,4.238441e-06,
1.799999e-01,3.203911e-02,2.483738e-01,-9.681343e-01,4.132484e+01,-3.774847e+01,5.160196e-01,-7.561115e+01,9.974554e+01,-2.372318e+01,4.243087e-06,
2.099999e-01,3.223603e-02,2.483240e-01,-9.681405e-01,4.130177e+01,-3.774918e+01,5.161180e-01,-7.561401e+01,9.971768e+01,-2.372398e+01,4.242311e-06,
2.399999e-01,3.295096e-02,2.505806e-01,-9.675348e-01,4.125434e+01,-3.768021e+01,5.164755e-01,-7.548007e+01,9.970709e+01,-2.372936e+01,4.237052e-06,
2.699999e-01,3.184460e-02,2.519476e-01,-9.672168e-01,4.139819e+01,-3.764425e+01,5.159223e-01,-7.539964e+01,9.974158e+01,-2.372861e+01,4.237786e-06,
2.999998e-01,3.269009e-02,2.527571e-01,-9.669774e-01,4.131531e+01,-3.761729e+01,5.163450e-01,-7.535127e+01,9.968156e+01,-2.372311e+01,4.243158e-06,
3.299998e-01,3.174300e-02,2.545334e-01,-9.665429e-01,4.144566e+01,-3.756861e+01,5.158715e-01,-7.524646e+01,9.975272e+01,-2.372778e+01,4.238598e-06,
3.599998e-01,3.180307e-02,2.556281e-01,-9.662519e-01,4.145409e+01,-3.753618e+01,5.159015e-01,-7.518152e+01,9.975015e+01,-2.372795e+01,4.238432e-06,
3.899998e-01,3.289190e-02,2.550726e-01,-9.663623e-01,4.132610e+01,-3.754847e+01,5.164460e-01,-7.521393e+01,9.967481e+01,-2.373247e+01,4.234019e-06,
4.199998e-01,3.278199e-02,2.585060e-01,-9.654532e-01,4.138636e+01,-3.744787e+01,5.163910e-01,-7.501032e+01,9.974606e+01,-2.373766e+01,4.228968e-06,
4.499998e-01,3.247131e-02,2.578105e-01,-9.656497e-01,4.141069e+01,-3.746950e+01,5.162357e-01,-7.505175e+01,9.970734e+01,-2.374080e+01,4.225908e-06,
4.799997e-01,3.124954e-02,2.601815e-01,-9.650539e-01,4.157560e+01,-3.740409e+01,5.156248e-01,-7.491163e+01,9.979034e+01,-2.374146e+01,4.225268e-06,
5.099997e-01,3.220869e-02,2.600230e-01,-9.650651e-01,4.146941e+01,-3.740531e+01,5.161043e-01,-7.492056e+01,9.971127e+01,-2.373038e+01,4.236059e-06,
5.399997e-01,3.194145e-02,2.612026e-01,-9.647554e-01,4.151407e+01,-3.737152e+01,5.159707e-01,-7.485065e+01,9.976916e+01,-2.372928e+01,4.237134e-06,
5.699997e-01,3.216948e-02,2.614855e-01,-9.646712e-01,4.149319e+01,-3.736236e+01,5.160847e-01,-7.483374e+01,9.974314e+01,-2.373423e+01,4.232305e-06,
5.999997e-01,3.262079e-02,2.614756e-01,-9.646587e-01,4.144436e+01,-3.736100e+01,5.163104e-01,-7.483410e+01,9.970472e+01,-2.373404e+01,4.232491e-06,
6.299997e-01,3.176061e-02,2.663805e-01,-9.633445e-01,4.160035e+01,-3.721941e+01,5.158803e-01,-7.454301e+01,9.976987e+01,-2.373719e+01,4.229417e-06,
6.599996e-01,3.185493e-02,2.697919e-01,-9.623916e-01,4.163307e+01,-3.711829e+01,5.159275e-01,-7.433996e+01,9.972774e+01,-2.373119e+01,4.235270e-06,
