"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [�]","Ellipticity [�]","Power Split Ratio","Phase Difference [�]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,1.930917e-02,8.365132e-01,-5.476065e-01,4.433884e+01,-1.660148e+01,5.096546e-01,-3.320995e+01,1.001771e+02,-2.349701e+01,4.469914e-06,
9.899995e-01,1.900906e-02,8.429985e-01,-5.375799e-01,4.435412e+01,-1.625952e+01,5.095045e-01,-3.252564e+01,1.001987e+02,-2.351210e+01,4.454404e-06,
1.979999e+00,1.859028e-02,8.448979e-01,-5.346045e-01,4.436976e+01,-1.615855e+01,5.092951e-01,-3.232336e+01,1.002149e+02,-2.349445e+01,4.472548e-06,
2.969998e+00,1.789570e-02,8.450526e-01,-5.343836e-01,4.439341e+01,-1.615106e+01,5.089479e-01,-3.230792e+01,1.003932e+02,-2.352881e+01,4.437300e-06,
3.959998e+00,1.967012e-02,8.450732e-01,-5.342887e-01,4.433331e+01,-1.614784e+01,5.098351e-01,-3.230269e+01,1.000836e+02,-2.350372e+01,4.463011e-06,
4.949997e+00,1.942101e-02,8.451587e-01,-5.341626e-01,4.434181e+01,-1.614357e+01,5.097105e-01,-3.229397e+01,1.002171e+02,-2.353534e+01,4.430632e-06,
5.939997e+00,1.917475e-02,8.461073e-01,-5.326676e-01,4.435088e+01,-1.609294e+01,5.095874e-01,-3.219250e+01,1.003131e+02,-2.351011e+01,4.456449e-06,
6.929996e+00,1.915761e-02,8.459428e-01,-5.329294e-01,4.435134e+01,-1.610180e+01,5.095788e-01,-3.221022e+01,1.002040e+02,-2.349972e+01,4.467126e-06,
7.919996e+00,1.916684e-02,8.461559e-01,-5.325907e-01,4.435119e+01,-1.609033e+01,5.095834e-01,-3.218729e+01,1.002423e+02,-2.353048e+01,4.435592e-06,
8.909995e+00,1.870984e-02,8.462888e-01,-5.323957e-01,4.436675e+01,-1.608373e+01,5.093549e-01,-3.217378e+01,1.002136e+02,-2.350895e+01,4.457643e-06,
9.899995e+00,2.074866e-02,8.455648e-01,-5.334694e-01,4.429717e+01,-1.612008e+01,5.103743e-01,-3.224795e+01,1.001003e+02,-2.350714e+01,4.459503e-06,
1.088999e+01,1.870121e-02,8.460821e-01,-5.327244e-01,4.436689e+01,-1.609486e+01,5.093506e-01,-3.219603e+01,1.002184e+02,-2.351966e+01,4.446659e-06,
1.187999e+01,1.682477e-02,8.461952e-01,-5.326074e-01,4.443047e+01,-1.609090e+01,5.084124e-01,-3.218690e+01,1.001559e+02,-2.354811e+01,4.417623e-06,
1.286999e+01,1.936851e-02,8.467868e-01,-5.315796e-01,4.434485e+01,-1.605612e+01,5.096843e-01,-3.211899e+01,1.001920e+02,-2.352435e+01,4.441858e-06,
1.385999e+01,1.951833e-02,8.474725e-01,-5.304803e-01,4.434032e+01,-1.601896e+01,5.097592e-01,-3.204474e+01,1.001517e+02,-2.351036e+01,4.456194e-06,
1.484999e+01,1.901393e-02,8.482006e-01,-5.293337e-01,4.435791e+01,-1.598022e+01,5.095070e-01,-3.196691e+01,1.001896e+02,-2.351181e+01,4.454709e-06,
1.583999e+01,1.990743e-02,8.469255e-01,-5.313388e-01,4.432674e+01,-1.604798e+01,5.099537e-01,-3.210308e+01,1.002387e+02,-2.352027e+01,4.446040e-06,
1.682999e+01,1.863475e-02,8.467397e-01,-5.316809e-01,4.436963e+01,-1.605955e+01,5.093174e-01,-3.212535e+01,1.002423e+02,-2.351455e+01,4.451897e-06,
1.781999e+01,1.894299e-02,8.454934e-01,-5.336498e-01,4.435826e+01,-1.612619e+01,5.094715e-01,-3.225888e+01,1.001756e+02,-2.352455e+01,4.441658e-06,
1.880999e+01,1.851340e-02,8.471745e-01,-5.309921e-01,4.437405e+01,-1.603626e+01,5.092567e-01,-3.207867e+01,1.002569e+02,-2.352216e+01,4.444103e-06,
1.979999e+01,2.157055e-02,8.469408e-01,-5.312495e-01,4.427053e+01,-1.604496e+01,5.107853e-01,-3.209828e+01,9.990814e+01,-2.351634e+01,4.450062e-06,
2.078999e+01,1.978424e-02,8.465066e-01,-5.320104e-01,4.433057e+01,-1.607070e+01,5.098921e-01,-3.214844e+01,1.001335e+02,-2.351484e+01,4.451603e-06,
2.177999e+01,2.043834e-02,8.464118e-01,-5.321366e-01,4.430837e+01,-1.607496e+01,5.102192e-01,-3.215745e+01,1.001212e+02,-2.350908e+01,4.457507e-06,
2.276999e+01,1.878835e-02,8.453672e-01,-5.338552e-01,4.436340e+01,-1.613315e+01,5.093942e-01,-3.227269e+01,1.002292e+02,-2.352231e+01,4.443947e-06,
2.375999e+01,1.863003e-02,8.461564e-01,-5.326089e-01,4.436935e+01,-1.609095e+01,5.093150e-01,-3.218816e+01,1.002487e+02,-2.351202e+01,4.454491e-06,
2.474999e+01,1.779983e-02,8.481119e-01,-5.295180e-01,4.439884e+01,-1.598645e+01,5.088999e-01,-3.197856e+01,1.003183e+02,-2.351981e+01,4.446511e-06,
2.573999e+01,1.977273e-02,8.477590e-01,-5.300129e-01,4.433195e+01,-1.600316e+01,5.098864e-01,-3.201333e+01,1.001287e+02,-2.350604e+01,4.460630e-06,
2.672999e+01,1.915035e-02,8.486474e-01,-5.286122e-01,4.435365e+01,-1.595587e+01,5.095752e-01,-3.191828e+01,1.001755e+02,-2.352466e+01,4.441540e-06,
2.771999e+01,1.958449e-02,8.487248e-01,-5.284720e-01,4.433906e+01,-1.595114e+01,5.097922e-01,-3.190912e+01,1.001944e+02,-2.352607e+01,4.440105e-06,
